Country	Balance (2010)	Balance (2019)
Vanuatu	-42	85
Venezuela, RB	5585	..
Vietnam	-4276	5899
Virgin Islands (U.S.)	..	..
West Bank and Gaza	-1307	-1659
Yemen, Rep.	-1054	..
Zambia	1525	242
Zimbabwe	-1444	-308
World	..	..
East Asia & Pacific	..	..
Europe & Central Asia	..	..
Latin America & Caribbean	..	..
Middle East & North Africa	..	..
North America	..	..
South Asia	..	..
Sub-Saharan Africa	..	..
Low income	..	..
Lower middle income	..	..
Upper middle income	..	..
High income	..	..
