Country	% 1990	% 2014
Mauritania	..	..
Mauritius	0	0.3
Mexico	2	2.1
Micronesia, Fed. Sts.	..	..
Moldova	37.7	2.5
Monaco	..	..
Mongolia	8.2	6.4
Montenegro	..	0.5
Morocco	3.6	4.5
Mozambique	13.9	0.8
Myanmar	0	14.6
Namibia	49.6	34.8
Nepal	11.2	7.6
Netherlands	5.2	4.5
New Caledonia	..	..
New Zealand	5.5	5.1
Nicaragua	4.3	0.9
Niger	..	0
Nigeria	0	10.8
Northern Mariana Islands	..	..
Norway	5.1	5.3
Oman	4.7	2.6
Pakistan	1.7	0.3
Palau	..	..
Panama	0	0.6
Papua New Guinea	..	..
Paraguay	0	0
Peru	3.6	0.8
Philippines	2.1	0.6
Poland	2.3	3.4
Portugal	3.9	2.7
Puerto Rico	..	..
Qatar	0	0
Romania	4.8	2
Russian Federation	4.3	1.2
Rwanda	..	..
Samoa	..	..
San Marino	..	..
Sao Tome and Principe	..	..
Saudi Arabia	0	0
Senegal	8	0.6
Serbia	8.3	0.9
Seychelles	..	..
Sierra Leone	..	..
Singapore	0.3	0
Sint Maarten (Dutch part)	..	..
Slovak Republic	3.3	1.1
Slovenia	0.1	2.1
Solomon Islands	..	..
Somalia	..	..
South Africa	1.2	2.4
South Sudan	..	3.3
Spain	2.1	3.3
Sri Lanka	14.4	2.1
St. Kitts and Nevis	..	..
St. Lucia	..	..
St. Martin (French part)	..	..
St. Vincent and the Grenadines	..	..
Sudan	0.2	4.7
Suriname	..	17.1
Sweden	2.7	1
Switzerland	1.4	1.2
Syrian Arab Republic	22.6	7.3
Taiwan, China	..	..
Tajikistan	79.4	60.5
Tanzania	0	0.7
Thailand	6.9	5
Timor-Leste	..	..
Togo	0	0
Tonga	..	..
Trinidad and Tobago	0	0
Tunisia	5.6	4.4
Turkey	4.6	3.7
Turkmenistan	27.7	17.3
Turks and Caicos Islands	..	..
Tuvalu	..	..
Uganda	..	..
Ukraine	3.9	1.9
United Arab Emirates	0	0
United Kingdom	2.5	1
United States	1.4	0.9
Uruguay	11.7	8
Uzbekistan	53.9	3.5
Vanuatu	..	..
Venezuela, RB	0	0
Vietnam	4.1	1.1
Virgin Islands (U.S.)	..	..
West Bank and Gaza	..	..
Yemen, Rep.	0	4.1
Zambia	4.7	5.3
Zimbabwe	9	7.6
World	3.7	2
East Asia & Pacific	4.2	1.9
Europe & Central Asia	4.9	2.2
Latin America & Caribbean	3.3	3.4
Middle East & North Africa	2.8	1.3
North America	1.4	1.1
South Asia	5.2	2.9
Sub-Saharan Africa	2.1	3.3
Low income	18.9	10.8
Lower middle income	8	3
Upper middle income	5.2	2.2
High income	1.8	1.2
