Country	Urban (2000)	Urban (2017)	Rural (2000)	Rural (2017)
South Africa	71.1	76.3	42.5	74.7
South Sudan	..	36.9	..	5.2
Spain	99.9	99.9	100	100
Sri Lanka	84.6	94.8	84.7	96
St. Kitts and Nevis	..	..	..	..
St. Lucia	82.7	77.8	81	90.8
St. Martin (French part)	..	..	..	..
St. Vincent and the Grenadines	..	..	..	..
Sudan	40.5	60.1	11	24.2
Suriname	89.3	89.4	59.2	74.8
Sweden	99.3	99.2	99.7	99.6
Switzerland	99.9	99.9	99.9	99.9
Syrian Arab Republic	96.4	91.4	88.4	91
Tajikistan	92.7	94.9	88.6	97.8
Tanzania	10.6	42.6	2.5	23.7
Thailand	89.2	99.2	93.3	98.3
Timor-Leste	61.7	75.9	29	43.8
Togo	24.4	28.6	2.9	7.4
Tonga	98.9	96.6	85.7	92.5
Trinidad and Tobago	..	..	..	..
Tunisia	93.6	95.3	48.4	81.4
Turkey	88.9	99.8	69.2	89.9
Turkmenistan	89.4	98	95.7	99.5
Turks and Caicos Islands	..	..	..	..
Tuvalu	84.9	82.8	75.3	86.2
Uganda	30.6	26.1	15.1	16.2
Ukraine	97.1	97.4	88.9	93.6
United Arab Emirates	..	..	..	..
United Kingdom	99	99	99.5	99.5
United States	100	100	99.9	99.9
Uruguay	94.6	96.6	84.7	97.1
Uzbekistan	97.6	100	88.4	100
Vanuatu	67.5	48.3	60.3	29.3
Venezuela, RB	..	..	..	..
Vietnam	80.6	94.3	43.3	77.7
Virgin Islands (U.S.)	..	..	..	..
West Bank and Gaza	91.5	97.2	86.7	96.1
Yemen, Rep.	85.8	87.9	26.6	42.8
Zambia	45.9	36.2	11.8	18.9
Zimbabwe	65	46.2	36.2	31.5
World	77.5	84.4	34.3	58.7
East Asia & Pacific	76.5	89.3	45	74.1
Europe & Central Asia	96.1	98	84	93.1
Latin America & Caribbean	82	91.3	46.4	68.5
Middle East & North Africa	90.6	94.1	71.4	81.2
North America	100	99.9	99.8	99.8
South Asia	50.8	70.5	8.1	52.8
Sub-Saharan Africa	36.9	44.9	16.6	21.7
Low income	38	46	15	21.9
Lower middle income	58.7	70.8	19.2	53.2
Upper middle income	80.9	91	47.4	76.3
High income	99	99.3	96.2	97.7
