Country	Hectares (2000)	Hectares (2016)
Sierra Leone	0.11	0.22
Singapore	0	0
Sint Maarten (Dutch part)	..	..
Slovak Republic	0.28	0.25
Slovenia	0.09	0.09
Solomon Islands	0.03	0.03
Somalia	0.12	0.08
South Africa	0.31	0.22
South Sudan	..	..
Spain	0.33	0.27
Sri Lanka	0.05	0.06
St. Kitts and Nevis	0.16	0.1
St. Lucia	0.01	0.02
St. Martin (French part)	..	..
St. Vincent and the Grenadines	0.05	0.05
Sudan	..	..
Suriname	0.12	0.12
Sweden	0.3	0.26
Switzerland	0.06	0.05
Syrian Arab Republic	0.28	0.27
Tajikistan	0.13	0.08
Tanzania	0.26	0.25
Thailand	0.25	0.24
Timor-Leste	0.14	0.13
Togo	0.51	0.35
Tonga	0.15	0.18
Trinidad and Tobago	0.03	0.02
Tunisia	0.3	0.26
Turkey	0.38	0.26
Turkmenistan	0.43	0.34
Turks and Caicos Islands	0.05	0.03
Tuvalu	..	..
Uganda	0.22	0.17
Ukraine	0.66	0.73
United Arab Emirates	0.02	0
United Kingdom	0.1	0.09
United States	0.62	0.47
Uruguay	0.41	0.7
Uzbekistan	0.18	0.14
Vanuatu	0.11	0.07
Venezuela, RB	0.11	0.09
Vietnam	0.08	0.07
Virgin Islands (U.S.)	0.02	0.01
West Bank and Gaza	0.03	0.01
Yemen, Rep.	0.09	0.05
Zambia	0.27	0.23
Zimbabwe	0.3	0.29
World	0.23	0.19
East Asia & Pacific	0.12	0.11
Europe & Central Asia	0.41	0.37
Latin America & Caribbean	0.27	0.28
Middle East & North Africa	0.17	0.12
North America	0.71	0.55
South Asia	0.15	0.12
Sub-Saharan Africa	0.26	0.21
Low income	0.24	0.21
Lower middle income	0.18	0.14
Upper middle income	0.21	0.2
High income	0.36	0.3
