Country	Communicable diseases and maternal, prenatal, and nutrition conditions	Non-communicable diseases	Injuries
Suriname	13	76	11
Sweden	5	90	5
Switzerland	4	90	6
Syrian Arab Republic	5	45	50
Tajikistan	23	69	8
Tanzania	56	33	11
Thailand	16	74	10
Timor-Leste	46	45	9
Togo	52	38	11
Tonga	12	83	6
Trinidad and Tobago	9	81	10
Tunisia	8	86	6
Turkey	4	89	6
Turkmenistan	17	76	7
Turks and Caicos Islands	..	..	..
Tuvalu	..	..	..
Uganda	55	33	13
Ukraine	4	91	5
United Arab Emirates	7	77	17
United Kingdom	8	89	4
United States	5	88	7
Uruguay	8	85	8
Uzbekistan	10	84	6
Vanuatu	19	74	7
Venezuela, RB	11	70	19
Vietnam	12	77	11
Virgin Islands (U.S.)	..	..	..
West Bank and Gaza	..	..	..
Yemen, Rep.	29	57	15
Zambia	61	29	10
Zimbabwe	55	33	12
World	20	71	9
East Asia & Pacific	9	84	7
Europe & Central Asia	5	89	5
Latin America & Caribbean	14	75	12
Middle East & North Africa	12	75	13
North America	5	88	7
South Asia	27	62	11
Sub-Saharan Africa	56	34	10
Low income	50	38	12
Lower middle income	31	59	10
Upper middle income	9	83	8
High income	7	88	6
