Country	exports (2010)	exports (2019)
Philippines	7.4	8.8
Poland	10.8	13.3
Portugal	11.4	11.8
Puerto Rico	..	..
Qatar	0	0
Romania	8.1	10.3
Russian Federation	1.9	5.5
Rwanda	52.6	..
Samoa	21	62.1
San Marino	..	..
Sao Tome and Principe	94.6	74.3
Saudi Arabia	1.2	1.2
Senegal	29.7	38.4
Serbia	..	..
Seychelles	85.1	78
Sierra Leone	..	73.3
Singapore	2	3.6
Sint Maarten (Dutch part)	..	..
Slovak Republic	4.4	3.5
Slovenia	4.1	4.5
Solomon Islands	38.4	20.2
Somalia	..	..
South Africa	10	11.5
South Sudan	..	..
Spain	15.1	16.5
Sri Lanka	26.9	26
St. Kitts and Nevis	11.5	13.3
St. Lucia	49.6	30.1
St. Martin (French part)	..	..
St. Vincent and the Grenadines	82.3	73.3
Sudan	3.8	..
Suriname	2.4	23.6
Sweden	4.7	6.3
Switzerland	3.8	3.7
Syrian Arab Republic	21	..
Tajikistan	..	..
Tanzania	31.9	21.5
Thailand	13.2	13.7
Timor-Leste	..	64
Togo	18.1	22.4
Tonga	88.6	..
Trinidad and Tobago	2.5	..
Tunisia	7.7	10.6
Turkey	10.6	10.8
Turkmenistan	..	..
Turks and Caicos Islands	14.9	..
Tuvalu	..	..
Uganda	66.8	65.7
Ukraine	19.2	39.1
United Arab Emirates	1.7	4.6
United Kingdom	6.2	7
United States	9.8	9.4
Uruguay	61.9	59.8
Uzbekistan	..	13
Vanuatu	83.7	..
Venezuela, RB	0.2	..
Vietnam	19.3	10.6
Virgin Islands (U.S.)	..	..
West Bank and Gaza	15.2	..
Yemen, Rep.	6.6	..
Zambia	6.5	7.3
Zimbabwe	25.2	31.2
World	8	8.6
East Asia & Pacific	5	4.9
Europe & Central Asia	8.3	9.3
Latin America & Caribbean	20.3	24.1
Middle East & North Africa	3.2	3.5
North America	10	10.1
South Asia	9.3	11.3
Sub-Saharan Africa	12.4	12.2
Low income	20.5	..
Lower middle income	12	13.8
Upper middle income	8.1	9.6
High income	7.5	7.4
