Country	Reference Year	Most recen year	Bottom 40% (Baseline)	Bottom 40% (Recent)	Total population (Baseline)	Total population (Recent)
El Salvador	2013	2018	3.9	4.7	10.1	11.1
Equatorial Guinea	..	..	..	..	..	..
Eritrea	..	..	..	..	..	..
Estonia	2012	2017	11.6	17	23.1	32.7
Ethiopia	2010	2015	1.5	1.5	2.9	3.1
Faroe Islands	..	..	..	..	..	..
Fiji	..	..	..	..	..	..
Finland	2012	2017	28.9	29.7	49.4	51
France	2012	2017	26.7	27.6	52.5	53
French Polynesia	..	..	..	..	..	..
Gabon	..	..	..	..	..	..
Gambia, The	..	..	..	..	..	..
Georgia	2013	2018	3	3.4	7.1	7.7
Germany	2011	2016	28.2	27.9	52.5	54.7
Ghana	2012	2016	2.4	2.3	6.2	6.6
Gibraltar	..	..	..	..	..	..
Greece	2012	2017	9.6	10.5	22.4	22.5
Greenland	..	..	..	..	..	..
Grenada	..	..	..	..	..	..
Guam	..	..	..	..	..	..
Guatemala	..	..	..	..	..	..
Guinea	..	..	..	..	..	..
Guinea-Bissau	..	..	..	..	..	..
Guyana	..	..	..	..	..	..
Haiti	..	..	..	..	..	..
Honduras	2013	2018	2.1	2.3	8	8.7
Hungary	2012	2017	9.8	12.4	18.7	23.5
Iceland	2010	2015	27.1	31.6	45.5	53.6
India	..	..	..	..	..	..
Indonesia	2014	2018	2.4	2.9	5.4	6.5
Iran, Islamic Rep.	2014	2017	7	7	16.3	17.3
Iraq	..	..	..	..	..	..
Ireland	2011	2016	21.4	25.3	42.6	49.5
Isle of Man	..	..	..	..	..	..
Israel	2010	2016	11.2	14.3	31.1	36.2
Italy	2012	2017	18.3	18.8	39.9	42
Jamaica	..	..	..	..	..	..
Japan	..	..	..	..	..	..
Jordan	..	..	..	..	..	..
Kazakhstan	2012	2017	6.5	6.5	11.5	11.2
Kenya	..	..	..	..	..	..
Kiribati	..	..	..	..	..	..
Korea, Dem. Peopleâ€™s Rep.	..	..	..	..	..	..
Korea, Rep.	..	..	..	..	..	..
Kosovo	2012	2017	4.7	5.2	8.4	9.2
Kuwait	..	..	..	..	..	..
Kyrgyz Republic	2013	2018	2.9	3.3	5	5.7
Lao PDR	..	..	..	..	..	..
Latvia	2012	2017	8.2	12	17.8	26.4
Lebanon	..	..	..	..	..	..
Lesotho	..	..	..	..	..	..
Liberia	..	..	..	..	..	..
Libya	..	..	..	..	..	..
Liechtenstein	..	..	..	..	..	..
Lithuania	2012	2017	9.3	12.6	19.8	28.3
Luxembourg	2012	2017	33.4	38.7	70.9	84.8
North Macedonia	2012	2017	3.9	5.4	9.8	12.1
Madagascar	..	..	..	..	..	..
Malawi	2010	2016	0.7	0.8	1.8	2
Malaysia	2012	2016	7.9	11.1	21.8	28
Maldives	..	..	..	..	..	..
Mali	..	..	..	..	..	..
Malta	2012	2017	20.7	25	37.9	45.6
Marshall Islands	..	..	..	..	..	..
Mauritania	..	..	..	..	..	..
Mauritius	2012	2017	5.7	6.5	12.5	13.8
Mexico	..	..	..	..	..	..
Micronesia, Fed. Sts.	..	..	..	..	..	..
Moldova	2013	2018	5.4	5.9	9.6	9.8
Monaco	..	..	..	..	..	..
Mongolia	2011	2018	4.3	4.6	8.8	9.2
Montenegro	2012	2015	4.8	5.5	13.2	13.8
Morocco	..	..	..	..	..	..
Mozambique	..	..	..	..	..	..
Myanmar	..	..	..	..	..	..
Namibia	2009	2015	1.8	2.4	7.8	11.3
Nepal	..	..	..	..	..	..
Netherlands	2012	2017	28.1	30.3	49.2	54.1
New Caledonia	..	..	..	..	..	..
New Zealand	..	..	..	..	..	..
Nicaragua	..	..	..	..	..	..
Niger	..	..	..	..	..	..
Nigeria	..	..	..	..	..	..
Northern Mariana Islands	..	..	..	..	..	..
Norway	2012	2017	39	39.9	65.8	69.2
Oman	..	..	..	..	..	..
Pakistan	2010	2015	2.3	2.6	4	4.9
Palau	..	..	..	..	..	..
Panama	2013	2018	5.9	7.7	21.4	25.9
Papua New Guinea	..	..	..	..	..	..
Paraguay	2013	2018	5.4	5.9	16.7	17
Peru	2013	2018	4.5	5.1	12.8	13.7
Philippines	2012	2015	2.4	2.8	6.9	7.5
Poland	2012	2017	11	14.7	22.3	27.2
Portugal	2012	2017	11.7	13.7	25.1	27.7
Puerto Rico	..	..	..	..	..	..
Qatar	..	..	..	..	..	..
Romania	2012	2017	3.8	6.2	9.2	14.7
Russian Federation	2013	2018	10.3	10.1	24.9	22.2
Rwanda	2013	2016	1	1	2.6	2.6
Samoa	..	..	..	..	..	..
San Marino	..	..	..	..	..	..
Sao Tome and Principe	..	..	..	..	..	..
Saudi Arabia	..	..	..	..	..	..
Senegal	..	..	..	..	..	..
Serbia	2013	2017	4.1	4.8	10.9	11.6
Seychelles	..	..	..	..	..	..
Sierra Leone	2011	2018	1.2	1.4	2.3	2.8
Singapore	..	..	..	..	..	..
Sint Maarten (Dutch part)	..	..	..	..	..	..
Slovak Republic	2011	2016	13.8	13.4	23.8	22.5
Slovenia	2012	2017	19.8	22.1	33	35.6
Solomon Islands	..	..	..	..	..	..
Somalia	..	..	..	..	..	..
South Africa	..	..	..	..	..	..
South Sudan	..	..	..	..	..	..
Spain	2012	2017	16	17.5	36.3	38.3
Sri Lanka	2012	2016	3.4	3.9	7.5	8.8
St. Kitts and Nevis	..	..	..	..	..	..
St. Lucia	..	..	..	..	..	..
St. Martin (French part)	..	..	..	..	..	..
St. Vincent and the Grenadines	..	..	..	..	..	..
Sudan	..	..	..	..	..	..
Suriname	..	..	..	..	..	..
Eswatini	2009	2016	1.1	1.5	3.9	5.8
Sweden	2012	2017	28	30	49.5	54.6
Switzerland	2012	2017	34.4	33.9	66.2	67.3
Syrian Arab Republic	..	..	..	..	..	..
Taiwan, China	..	..	..	..	..	..
Tajikistan	..	..	..	..	..	..
Tanzania	2011	2018	1.2	1.2	2.6	2.7
Thailand	2014	2018	6.7	7.1	14.7	15.4
Timor-Leste	..	..	..	..	..	..
Togo	2011	2015	0.9	1	2.6	2.7
Tonga	..	..	..	..	..	..
Trinidad and Tobago	..	..	..	..	..	..
Tunisia	2010	2015	4.3	5.6	9.5	11.2
Turkey	2013	2018	6.9	7.7	17	19.4
Turkmenistan	..	..	..	..	..	..
Turks and Caicos Islands	..	..	..	..	..	..
Tuvalu	..	..	..	..	..	..
Uganda	2012	2016	1.4	1.3	3.3	3.2
Ukraine	2013	2018	8.1	7.9	13.1	13.2
United Arab Emirates	..	..	..	..	..	..
United Kingdom	2011	2016	21.7	23.7	45	50.7
United States	2010	2016	24.5	26.5	62.6	69.1
Uruguay	2013	2018	10.1	11.2	25.5	27.4
Uzbekistan	..	..	..	..	..	..
Vanuatu	..	..	..	..	..	..
Venezuela, RB	..	..	..	..	..	..
Vietnam	2012	2018	3.7	4.9	7.8	10.5
Virgin Islands (U.S.)	..	..	..	..	..	..
West Bank and Gaza	2011	2016	5.3	5	10.8	10.5
Yemen, Rep.	..	..	..	..	..	..
Zambia	2010	2015	0.7	0.7	2.6	3
Zimbabwe	2011	2017	1.9	1.5	4.9	3.9
