Country	imports (2010)	imports (2019)
Kenya	1.5	1.2
Kiribati	0.3	..
Korea, Dem. Peopleâ€™s Rep.	..	..
Korea, Rep.	8.2	6.7
Kosovo	..	..
Kuwait	2.3	3.4
Kyrgyz Republic	0.9	0.8
Lao PDR	1.6	0.8
Latvia	2.2	1.2
Lebanon	2.1	1.7
Lesotho	0.8	0.2
Liberia	..	..
Libya	1.6	..
Liechtenstein	..	..
Lithuania	1.6	2
Luxembourg	8.1	6.4
Madagascar	0.4	1.8
Malawi	1	0.9
Malaysia	5.2	5.3
Maldives	2.2	4.8
Mali	0.6	0.5
Malta	0.7	0.6
Marshall Islands	..	..
Mauritania	0.2	0.3
Mauritius	1.1	1.1
Mexico	2.7	1.9
Micronesia, Fed. Sts.	..	..
Moldova	0.9	2.2
Monaco	..	..
Mongolia	..	0.3
Montenegro	1.2	0.9
Morocco	3.3	4
Mozambique	0.5	7.8
Myanmar	0.8	0.8
Namibia	2.5	18.6
Nepal	3.6	4
Netherlands	2.8	2.7
New Caledonia	1.1	..
New Zealand	2	1.2
Nicaragua	0.3	0.7
Niger	0.9	..
Nigeria	1.1	1.2
North Macedonia	7.1	17.3
Northern Mariana Islands	..	..
Norway	6.9	5.2
Oman	3.6	6.4
Pakistan	3	4.3
Palau	0.5	0.4
Panama	0.4	..
Papua New Guinea	0.5	..
Paraguay	0.6	0.6
Peru	1.3	1.2
Philippines	3.8	2.3
Poland	3.3	3.4
Portugal	2.9	2.2
Puerto Rico	..	..
Qatar	4.2	5.1
Romania	2.8	2.3
Russian Federation	0.9	1.8
Rwanda	2.9	..
Samoa	0.7	0.9
San Marino	..	..
Sao Tome and Principe	1.1	1.2
Saudi Arabia	5	3.4
Senegal	1.7	1.8
Serbia	..	..
Seychelles	0.6	0.5
Sierra Leone	..	1.1
Singapore	1.6	1.1
Sint Maarten (Dutch part)	..	..
Slovak Republic	3.6	2.6
Slovenia	6	5.4
Solomon Islands	0.5	0.3
Somalia	..	..
South Africa	1.7	2
South Sudan	..	..
Spain	3.9	3.5
Sri Lanka	1.8	1.5
St. Kitts and Nevis	1.1	0.8
St. Lucia	0.7	0.6
St. Martin (French part)	..	..
St. Vincent and the Grenadines	0.7	0.6
Sudan	0.6	..
Suriname	1.7	0.3
Sweden	3.7	2.5
Switzerland	4.1	2.8
Syrian Arab Republic	2.9	..
Tajikistan	..	..
Tanzania	1	1
Thailand	4.9	4.4
Timor-Leste	..	0.9
Togo	3.4	0.9
Tonga	0.5	..
Trinidad and Tobago	4.9	..
Tunisia	3.6	3.7
Turkey	8.1	7.6
Turkmenistan	..	..
Turks and Caicos Islands	1	..
Tuvalu	2.8	..
Uganda	1.3	1.5
Ukraine	3.6	2.5
United Arab Emirates	3.1	2.9
United Kingdom	4.1	3.3
United States	2.3	2.1
Uruguay	1.1	1
Uzbekistan	..	2.5
Vanuatu	0.6	..
Venezuela, RB	1.4	..
Vietnam	4.9	4.4
Virgin Islands (U.S.)	..	..
West Bank and Gaza	1.6	..
Yemen, Rep.	0.6	..
Zambia	21.1	5
Zimbabwe	2.2	0.8
World	4.7	4.1
East Asia & Pacific	8.1	6.2
Europe & Central Asia	4	3.7
Latin America & Caribbean	2.4	2.4
Middle East & North Africa	3.2	3.3
North America	2.4	2.2
South Asia	4.7	5.2
Sub-Saharan Africa	1.7	2.2
Low income	1.3	..
Lower middle income	3.8	4.2
Upper middle income	7.8	6.7
High income	3.8	3.3
