Country	Total	Women's share of population ages 15+ living with HIV	Youth, Male	Youth, Female
Myanmar	0.7	38	0.3	0.3
Namibia	11.5	63	2.7	4.8
Nepal	0.1	40	0.1	0.1
Netherlands	0.2	17	0.1	0.1
New Caledonia	..	..	..	..
New Zealand	0.1	16	0.1	0.1
Nicaragua	0.2	33	0.1	0.1
Niger	0.2	57	0.1	0.1
Nigeria	1.3	59	0.3	0.6
North Macedonia	..	..	..	..
Northern Mariana Islands	..	..	..	..
Norway	..	..	..	..
Oman	0.1	31	0.1	0.1
Pakistan	0.1	30	0.1	0.1
Palau	..	..	..	..
Panama	..	..	..	..
Papua New Guinea	0.9	57	0.2	0.3
Paraguay	0.5	31	0.2	0.1
Peru	0.3	24	0.1	0.1
Philippines	0.2	6	0.2	0.1
Poland	..	..	..	..
Portugal	..	..	..	..
Puerto Rico	..	..	..	..
Qatar	..	..	..	..
Romania	0.1	40	0.1	0.1
Russian Federation	..	..	..	..
Rwanda	2.6	61	0.7	1.1
Samoa	..	..	..	..
San Marino	..	..	..	..
Sao Tome and Principe	..	..	..	..
Saudi Arabia	..	..	..	..
Senegal	0.4	58	0.1	0.1
Serbia	0.1	15	0.1	0.1
Seychelles	..	..	..	..
Sierra Leone	1.6	60	0.6	1.2
Singapore	0.2	9	0.1	0.1
Sint Maarten (Dutch part)	..	..	..	..
Slovak Republic	..	..	..	..
Slovenia	..	..	..	..
Solomon Islands	..	..	..	..
Somalia	0.1	54	0.1	0.1
South Africa	19	65	3.4	10.2
South Sudan	2.5	59	0.7	1.3
Spain	0.4	18	0.1	0.1
Sri Lanka	0.1	29	0.1	0.1
St. Kitts and Nevis	..	..	..	..
St. Lucia	..	..	..	..
St. Martin (French part)	..	..	..	..
St. Vincent and the Grenadines	..	..	..	..
Sudan	0.2	48	0.1	0.1
Suriname	1.3	45	0.2	0.3
Sweden	..	..	..	..
Switzerland	0.2	..	..	..
Syrian Arab Republic	0.1	31	0.1	0.1
Tajikistan	0.2	26	0.1	0.1
Tanzania	4.8	61	1.2	2.2
Thailand	1	44	0.3	0.2
Timor-Leste	0.2	45	0.1	0.1
Togo	2.2	63	0.5	1
Tonga	..	..	..	..
Trinidad and Tobago	0.7	51	0.1	0.1
Tunisia	0.1	26	0.1	0.1
Turkey	..	..	..	..
Turkmenistan	..	..	..	..
Turks and Caicos Islands	..	..	..	..
Tuvalu	..	..	..	..
Uganda	5.8	61	1.2	2.8
Ukraine	1	45	0.1	0.1
United Arab Emirates	..	..	..	..
United Kingdom	..	..	..	..
United States	0.4	22	0.1	0.1
Uruguay	..	..	..	..
Uzbekistan	0.2	37	0.1	0.1
Vanuatu	..	..	..	..
Venezuela, RB	0.6	41	0.2	0.3
Vietnam	0.3	31	0.1	0.1
Virgin Islands (U.S.)	..	..	..	..
West Bank and Gaza	..	..	..	..
Yemen, Rep.	0.1	22	0.1	0.1
Zambia	11.5	60	2.6	5.5
Zimbabwe	12.8	60	3.3	5.9
World	0.7	53	0.2	0.4
East Asia & Pacific	..	..	..	..
Europe & Central Asia	..	..	..	..
Latin America & Caribbean	0.5	..	..	..
Middle East & North Africa	0.1	36	0.1	0.1
North America	0.4	22	0.1	0.1
South Asia	..	..	..	..
Sub-Saharan Africa	3.7	61	0.8	1.8
Low income	1.9	58	0.5	1
Lower middle income	..	..	..	..
Upper middle income	..	..	..	..
High income	..	..	..	..
