Country	Growth % (2017-18)	Growth % (2018-19)
Poland	1.8	2.2
Portugal	1	0.3
Puerto Rico	..	..
Qatar	0.3	-0.7
Romania	4.6	3.8
Russian Federation	2.9	4.5
Rwanda	-0.3	3.4
Samoa	4.2	1
San Marino	..	..
Sao Tome and Principe	7.9	..
Saudi Arabia	2.5	-2.1
Senegal	0.5	1.8
Serbia	2	1.8
Seychelles	3.7	1.8
Sierra Leone	16	14.8
Singapore	0.4	0.6
Sint Maarten (Dutch part)	..	..
Slovak Republic	2.5	2.7
Slovenia	1.7	1.6
Solomon Islands	3.5	1.6
Somalia	..	..
South Africa	4.5	4.1
South Sudan	..	..
Spain	1.7	0.7
Sri Lanka	2.1	3.5
St. Kitts and Nevis	-1	..
St. Lucia	1.9	..
St. Martin (French part)	..	..
St. Vincent and the Grenadines	2.3	..
Sudan	63.3	51
Suriname	..	..
Eswatini	4.8	..
Sweden	2	1.8
Switzerland	0.9	0.4
Syrian Arab Republic	..	..
Tajikistan	..	..
Tanzania	3.5	3.5
Thailand	1.1	0.7
Timor-Leste	2.6	..
Togo	0.9	0.7
Tonga	..	..
Trinidad and Tobago	1	..
Tunisia	7.3	6.7
Turkey	16.3	15.2
Turkmenistan	..	..
Turks and Caicos Islands	..	..
Tuvalu	..	..
Uganda	2.6	2.9
Ukraine	11	7.9
United Arab Emirates	3.1	-1.9
United Kingdom	2.3	1.7
United States	2.4	1.8
Uruguay	7.6	7.9
Uzbekistan	..	..
Vanuatu	2.3	2.8
Venezuela, RB	..	..
Vietnam	3.5	2.8
Virgin Islands (U.S.)	..	..
West Bank and Gaza	-0.2	1.6
Yemen, Rep.	..	..
Zambia	7.5	9.2
Zimbabwe	..	..
