Country	exports (2010)	exports (2019)
Kenya	4.3	0.9
Kiribati	0	..
Korea, Dem. Peopleâ€™s Rep.	..	..
Korea, Rep.	6.9	7.6
Kosovo	..	..
Kuwait	92.8	90.9
Kyrgyz Republic	15.3	12
Lao PDR	0.9	24.9
Latvia	5.3	4.6
Lebanon	0.2	0.9
Lesotho	0.1	0.1
Liberia	..	..
Libya	97.7	..
Liechtenstein	..	..
Lithuania	23.4	14.6
Luxembourg	1	0.1
Madagascar	6.7	3.1
Malawi	0.2	0.1
Malaysia	15.9	15.3
Maldives	0	0
Mali	0.1	0.1
Malta	25.7	28.1
Marshall Islands	..	..
Mauritania	16.6	..
Mauritius	0	0.9
Mexico	14	5.3
Micronesia, Fed. Sts.	..	..
Moldova	0.3	0
Monaco	..	..
Mongolia	..	46.7
Montenegro	10.8	20.8
Morocco	1.1	1.5
Mozambique	19.7	47
Myanmar	35.2	21.6
Namibia	1.3	0.6
Nepal	0	0
Netherlands	10	10.3
New Caledonia	0.1	..
New Zealand	5	1.5
Nicaragua	1.4	0.3
Niger	1.9	..
Nigeria	87.1	94
North Macedonia	7.7	2.1
Northern Mariana Islands	..	..
Norway	63.8	62.3
Oman	77.8	75.2
Pakistan	5.7	1.6
Palau	0.1	0.5
Panama	0.3	..
Papua New Guinea	0.6	..
Paraguay	30.5	23.3
Peru	11.9	10.4
Philippines	1.9	1.6
Poland	4.1	2.2
Portugal	6.1	5.8
Puerto Rico	..	..
Qatar	92.6	93.9
Romania	5.2	3.7
Russian Federation	65.6	52
Rwanda	0.1	..
Samoa	0	25.7
San Marino	..	..
Sao Tome and Principe	0	0
Saudi Arabia	87.5	..
Senegal	23.2	23.7
Serbia	..	..
Seychelles	0	0
Sierra Leone	..	0.1
Singapore	16.2	12.6
Sint Maarten (Dutch part)	..	..
Slovak Republic	5.3	2.8
Slovenia	4.3	5.2
Solomon Islands	0	0
Somalia	..	..
South Africa	10.6	11.1
South Sudan	..	..
Spain	4.9	5.8
Sri Lanka	0.2	2.6
St. Kitts and Nevis	0	0
St. Lucia	0	5.6
St. Martin (French part)	..	..
St. Vincent and the Grenadines	0	0
Sudan	94.4	..
Suriname	13	..
Sweden	6.9	6.3
Switzerland	2.9	1
Syrian Arab Republic	49.9	..
Tajikistan	..	..
Tanzania	2.5	0.9
Thailand	4.8	3.9
Timor-Leste	..	2
Togo	0.1	2.1
Tonga	0	..
Trinidad and Tobago	66.1	..
Tunisia	14.2	6
Turkey	3.9	4.3
Turkmenistan	..	..
Turks and Caicos Islands	0	..
Tuvalu	..	..
Uganda	1.2	6.7
Ukraine	6.9	1.5
United Arab Emirates	53.5	74.8
United Kingdom	12.4	8.9
United States	7.2	14.4
Uruguay	3.2	1.2
Uzbekistan	..	34.3
Vanuatu	0.2	..
Venezuela, RB	93.4	..
Vietnam	11.1	1.6
Virgin Islands (U.S.)	..	..
West Bank and Gaza	0.1	..
Yemen, Rep.	91.2	..
Zambia	0.6	1.1
Zimbabwe	2	1.5
World	15.4	12.6
East Asia & Pacific	7	5.9
Europe & Central Asia	11.8	10.4
Latin America & Caribbean	20.5	7.2
Middle East & North Africa	74.9	..
North America	11.6	16.8
South Asia	14.4	12.5
Sub-Saharan Africa	47.9	50.4
Low income	48.4	..
Lower middle income	32.3	27.6
Upper middle income	21	13.6
High income	11.7	7.1
