Country	%_2000	%_2018
Peru	5.8	3.5
Philippines	4	2.7
Poland	18.3	3.8
Portugal	4.7	7.4
Puerto Rico	7.4	7.2
Qatar	4	0.5
Romania	6.4	3.5
Russian Federation	10.4	4.8
Rwanda	0.5	1.1
Samoa	5.7	9.8
San Marino	..	..
Sao Tome and Principe	17.8	20.8
Saudi Arabia	9.4	22.5
Senegal	7.8	7.1
Serbia	15	13.7
Seychelles	..	..
Sierra Leone	2.3	3.6
Singapore	3.5	4.3
Sint Maarten (Dutch part)	..	..
Slovak Republic	18.6	7
Slovenia	7.1	5.7
Solomon Islands	1.7	0.6
Somalia	11.2	11
South Africa	36.3	29.1
South Sudan	13.8	13.4
Spain	20.4	17
Sri Lanka	11.5	6.6
St. Kitts and Nevis	..	..
St. Lucia	21.3	23
St. Martin (French part)	..	..
St. Vincent and the Grenadines	19	16.7
Sudan	20.4	29.1
Suriname	19.7	11.4
Sweden	5	6.3
Switzerland	3.1	5.1
Syrian Arab Republic	19.6	20.9
Tajikistan	13.8	10.1
Tanzania	3.1	2.5
Thailand	2.3	0.7
Timor-Leste	4.2	6
Togo	4.4	1.6
Tonga	5.6	1.9
Trinidad and Tobago	4.4	2.5
Tunisia	16.1	23.1
Turkey	6.3	13.7
Turkmenistan	8.9	2.1
Turks and Caicos Islands	..	..
Tuvalu	..	..
Uganda	3.2	2.2
Ukraine	11.3	7.4
United Arab Emirates	2.7	6.2
United Kingdom	4.9	3.9
United States	4.1	3.8
Uruguay	15.9	10.1
Uzbekistan	11.8	5.5
Vanuatu	5.2	4.9
Venezuela, RB	14.6	8
Vietnam	2.1	1.8
Virgin Islands (U.S.)	10.3	9.1
West Bank and Gaza	8	41.8
Yemen, Rep.	8.9	25.3
Zambia	11.4	12.4
Zimbabwe	4.6	5.6
Arab World	17.4	20.4
Caribbean small states	16.2	10.4
Central Europe and the Baltics	13	4.3
Early-demographic dividend	7	6.5
East Asia & Pacific	3.2	3.4
East Asia & Pacific (excluding high income)	3.1	3.4
East Asia & Pacific (IDA & IBRD countries)	3.1	3.4
Euro area	11.5	8.6
Europe & Central Asia	10.6	7
Europe & Central Asia (excluding high income)	11.1	7
Europe & Central Asia (IDA & IBRD countries)	11.5	6.6
European Union	11.5	7.6
Fragile and conflict affected situations	5.3	7.9
Heavily indebted poor countries (HIPC)	5	4.7
High income	7.1	5.4
IBRD only	6.1	5.8
IDA & IBRD total	5.8	5.7
IDA blend	4.3	6.1
IDA only	4.6	4.8
IDA total	4.5	5.2
Late-demographic dividend	5.1	4.9
Latin America & Caribbean	11.5	9.4
Latin America & Caribbean (excluding high income)	11.5	9.5
Latin America & the Caribbean (IDA & IBRD countries)	11.6	9.6
Least developed countries: UN classification	4.1	4.8
Low & middle income	5.6	5.6
Low income	4.8	5
Lower middle income	5.4	5.5
Middle East & North Africa	17.1	18.4
Middle East & North Africa (excluding high income)	18.7	20.7
Middle East & North Africa (IDA & IBRD countries)	18.8	20.5
Middle income	5.7	5.7
North America	4.4	4
Not classified	..	..
OECD members	7.5	5.7
Other small states	16.4	12.3
Pacific island small states	3.9	3.3
Post-demographic dividend	7	5.3
Pre-demographic dividend	4.5	6.1
Small states	15.7	11.5
South Asia	5	5.3
South Asia (IDA & IBRD)	5	5.3
Sub-Saharan Africa	6.7	6.7
Sub-Saharan Africa (excluding high income)	6.7	6.7
Sub-Saharan Africa (IDA & IBRD countries)	6.7	6.7
Upper middle income	5.8	5.8
World	5.9	5.6
