Country	Most recent year	Tariff
Lesotho	2017	0.3
Liberia	..	8.4
Libya	..	0
Liechtenstein	2017	..
Lithuania	2017	1.7
Luxembourg	2017	1.7
North Macedonia	2017	3.2
Madagascar	2017	5
Malawi	2016	4.1
Malaysia	2016	3.5
Maldives	2017	4.8
Mali	2017	14.1
Malta	2017	1.7
Marshall Islands	..	..
Mauritania	2015	8.9
Mauritius	2017	0.8
Mexico	2017	0.7
Micronesia, Fed. Sts.	..	..
Moldova	2016	3.3
Monaco	..	..
Mongolia	2017	7.9
Montenegro	2017	2.8
Morocco	2017	8.7
Mozambique	2016	3.7
Myanmar	2015	1.2
Namibia	2017	1
Nepal	2016	12.3
Netherlands	2017	1.7
New Caledonia	..	..
New Zealand	2017	0.6
Nicaragua	2017	3.3
Niger	2017	16.1
Nigeria	2016	8.3
Northern Mariana Islands	..	..
Norway	2017	15.2
Oman	2017	1.9
Pakistan	2016	7.7
Palau	..	61.6
Panama	2015	13.5
Papua New Guinea	2013	4.2
Paraguay	2017	2.5
Peru	2017	0.1
Philippines	2017	2.3
Poland	2017	1.7
Portugal	2017	1.7
Puerto Rico	..	..
Qatar	2017	8
Romania	2017	1.7
Russian Federation	2017	4.3
Rwanda	2016	7.3
Samoa	2017	11.8
San Marino	..	..
Sao Tome and Principe	..	8.2
Saudi Arabia	2017	9.5
Senegal	2017	13
Serbia	..	..
Seychelles	2017	11.3
Sierra Leone	2012	12.6
Singapore	2017	0.3
Sint Maarten (Dutch part)	..	..
Slovak Republic	2017	1.7
Slovenia	2017	1.7
Solomon Islands	2017	33.6
Somalia	..	..
South Africa	2017	2.7
South Sudan	..	..
Spain	2017	1.7
Sri Lanka	2017	15.2
St. Kitts and Nevis	2017	38
St. Lucia	2016	8.1
St. Martin (French part)	..	..
St. Vincent and the Grenadines	2017	7.8
Sudan	..	9.1
Suriname	2013	5.7
Eswatini	2017	0.2
Sweden	2017	1.7
Switzerland	2017	18.3
Syrian Arab Republic	..	9.5
Tajikistan	2017	1
Tanzania	2016	11.1
Thailand	2015	5.7
Timor-Leste	..	2.5
Togo	2017	14.4
Tonga	2017	2.6
Trinidad and Tobago	2013	8
Tunisia	2016	9.1
Turkey	2017	12
Turkmenistan	..	..
Turks and Caicos Islands	..	..
Tuvalu	..	7.2
Uganda	2016	9.9
Ukraine	2017	1.1
United Arab Emirates	2017	16.6
United Kingdom	2017	1.7
United States	2017	2.3
Uruguay	2017	2.8
Uzbekistan	..	12.7
Vanuatu	2017	13.8
Venezuela, RB	2017	12.2
Vietnam	2017	3.6
Virgin Islands (U.S.)	..	..
West Bank and Gaza	..	..
Yemen, Rep.	2017	4.3
Zambia	2016	4
Zimbabwe	2016	5.5
World	2017	..
East Asia & Pacific	2017	..
Europe & Central Asia	2017	..
Latin America & Caribbean	2017	..
Middle East & North Africa	2017	..
North America	..	..
South Asia	2017	..
Sub-Saharan Africa	2017	..
Low income	2017	..
Lower middle income	..	..
Upper middle income	2017	..
High income	2017	..
