Country	Survey Year	Total	Male	Female	Work only	Study and work
Morocco	2004	4.5	6	3	84.5	15.5
Mozambique	2008	27.4	27.2	27.7	18.2	81.8
Myanmar	..	..	..	..	..	..
Namibia	..	..	..	..	..	..
Nepal	2014	42.8	41.5	44.1	8.8	91.2
Netherlands	..	..	..	..	..	..
New Caledonia	..	..	..	..	..	..
New Zealand	..	..	..	..	..	..
Nicaragua	2012	47.7	56.2	39	15.6	84.4
Niger	2012	48.5	50.3	46.7	54.5	45.5
Nigeria	2011	35.1	34.1	36	23.4	76.6
North Macedonia	2011	19.8	20.3	19.2	1.4	98.6
Northern Mariana Islands	..	..	..	..	..	..
Norway	..	..	..	..	..	..
Oman	..	..	..	..	..	..
Pakistan	2011	13	12.5	13.5	87.4	12.6
Palau	..	..	..	..	..	..
Panama	2014	5.6	7	4.1	13.1	86.9
Papua New Guinea	..	..	..	..	..	..
Paraguay	2014	10.4	15.7	4.7	9.3	90.7
Peru	2015	22.6	23.1	22	24.1	75.9
Philippines	2011	9	10.9	7.2	13.9	86.1
Poland	..	..	..	..	..	..
Portugal	2001	3.6	4.6	2.6	3.6	96.4
Puerto Rico	..	..	..	..	..	..
Qatar	..	..	..	..	..	..
Romania	2000	1.4	1.7	1.1	20.7	79.3
Russian Federation	..	..	..	..	..	..
Rwanda	2014	5.9	6	5.7	20.8	79.2
Samoa	..	..	..	..	..	..
San Marino	..	..	..	..	..	..
Sao Tome and Principe	..	..	..	..	..	..
Saudi Arabia	..	..	..	..	..	..
Senegal	2015	25.1	37.3	13.1	44.7	55.3
Serbia	2014	17.9	23.4	12.9	0.8	99.2
Seychelles	..	..	..	..	..	..
Sierra Leone	2013	59.2	60.7	57.5	26.8	73.2
Singapore	..	..	..	..	..	..
Sint Maarten (Dutch part)	..	..	..	..	..	..
Slovak Republic	..	..	..	..	..	..
Slovenia	..	..	..	..	..	..
Solomon Islands	..	..	..	..	..	..
Somalia	2006	43.5	45.5	41.5	53.5	46.5
South Africa	..	..	..	..	..	..
South Sudan	2008	45.6	45.6	45.7	76	24
Spain	..	..	..	..	..	..
Sri Lanka	2009	10.7	13	8.5	3.2	96.8
St. Kitts and Nevis	..	..	..	..	..	..
St. Lucia	..	..	..	..	..	..
St. Martin (French part)	..	..	..	..	..	..
St. Vincent and the Grenadines	..	..	..	..	..	..
Sudan	2014	30.6	34.3	26.9	25.5	74.5
Suriname	..	..	..	..	..	..
Sweden	..	..	..	..	..	..
Switzerland	..	..	..	..	..	..
Syrian Arab Republic	2006	6.6	8.8	4.3	34.6	65.4
Tajikistan	2005	8.9	8.7	9.1	9	91
Tanzania	2014	34.7	35.3	34.2	29.2	70.8
Thailand	2006	15.1	15.7	14.4	4.2	95.8
Timor-Leste	2007	19.9	22.2	17.7	36.6	63.4
Togo	2014	35.2	37.1	33.1	14.9	85.1
Tonga	..	..	..	..	..	..
Trinidad and Tobago	2006	3.4	4.1	2.7	2.6	97.4
Tunisia	2012	3.4	3.9	2.7	15.4	84.6
Turkey	2006	2.6	3.3	1.8	38.8	61.2
Turkmenistan	..	..	..	..	..	..
Turks and Caicos Islands	..	..	..	..	..	..
Tuvalu	..	..	..	..	..	..
Uganda	2012	36.7	37.1	36.3	6.6	93.4
Ukraine	2012	5	5.1	5	1.3	98.7
United Arab Emirates	..	..	..	..	..	..
United Kingdom	..	..	..	..	..	..
United States	..	..	..	..	..	..
Uruguay	2009	7.3	9.4	5	10.7	89.3
Uzbekistan	2006	5.1	5.3	4.9	1	99
Vanuatu	..	..	..	..	..	..
Venezuela, RB	2013	3.9	5.4	2.4	31.1	68.9
Vietnam	2012	10.9	11.7	10.1	19	81
Virgin Islands (U.S.)	..	..	..	..	..	..
West Bank and Gaza	..	..	..	..	..	..
Yemen, Rep.	2010	16.1	17.1	15	36	64
Zambia	2008	34.4	35.4	33.3	18.6	81.4
Zimbabwe	..	..	..	..	..	..
