Country	%_2000	%_2018
Turkey	6.6	9.5
Turkmenistan	13.6	5
Turks and Caicos Islands	..	..
Tuvalu	..	..
Uganda	2.5	1.3
Ukraine	12.1	10
United Arab Emirates	2.2	1.4
United Kingdom	6.1	4
United States	3.9	3.9
Uruguay	10.2	6.9
Uzbekistan	12.3	5.9
Vanuatu	4.2	4
Venezuela, RB	13.6	6.7
Vietnam	2.4	2.1
Virgin Islands (U.S.)	8.5	7.7
West Bank and Gaza	11.1	22.4
Yemen, Rep.	12.3	12
Zambia	14.3	10.6
Zimbabwe	6.5	4.6
Arab World	11.1	8
Caribbean small states	8.4	6.8
Central Europe and the Baltics	12	4.3
Early-demographic dividend	5.9	5.3
East Asia & Pacific	3.8	4.1
East Asia & Pacific (excluding high income)	3.7	4.2
East Asia & Pacific (IDA & IBRD countries)	3.7	4.2
Euro area	7.9	7.9
Europe & Central Asia	9.1	6.8
Europe & Central Asia (excluding high income)	10.8	7.2
Europe & Central Asia (IDA & IBRD countries)	11	6.8
European Union	8.5	7
Fragile and conflict affected situations	6.3	6.7
Heavily indebted poor countries (HIPC)	5.3	4.2
High income	6.1	4.8
IBRD only	6	5.6
IDA & IBRD total	5.7	5.4
IDA blend	3.4	4.9
IDA only	4.5	4
IDA total	4.2	4.3
Late-demographic dividend	5.2	5.2
Latin America & Caribbean	7.7	6.9
Latin America & Caribbean (excluding high income)	7.6	6.9
Latin America & the Caribbean (IDA & IBRD countries)	7.7	7
Least developed countries: UN classification	4.2	4
Low & middle income	5.6	5.4
Low income	5.3	4.8
Lower middle income	5.5	5
Middle East & North Africa	10.7	8
Middle East & North Africa (excluding high income)	11.8	9.7
Middle East & North Africa (IDA & IBRD countries)	11.8	9.5
Middle income	5.6	5.4
North America	4.2	4.2
Not classified	..	..
OECD members	6.2	5.2
Other small states	10.8	7.2
Pacific island small states	3.2	2.8
Post-demographic dividend	6.1	5.3
Pre-demographic dividend	5.4	5.4
Small states	9.8	6.9
South Asia	5	5
South Asia (IDA & IBRD)	5	5
Sub-Saharan Africa	6.5	5.7
Sub-Saharan Africa (excluding high income)	6.5	5.7
Sub-Saharan Africa (IDA & IBRD countries)	6.5	5.7
Upper middle income	5.7	5.8
World	5.7	5.3
