Country	Most recent year	Tariff
Pakistan	2016	12.7
Palau	..	3.8
Panama	2015	7.1
Papua New Guinea	2013	3.1
Paraguay	2017	8.3
Peru	2017	1.5
Philippines	2017	3.6
Poland	2017	1.7
Portugal	2017	1.7
Puerto Rico	..	..
Qatar	2017	3.9
Romania	2017	1.7
Russian Federation	2017	5.1
Rwanda	2016	11.1
Samoa	2017	11.4
San Marino	..	..
Sao Tome and Principe	..	9.8
Saudi Arabia	2017	4.2
Senegal	2017	12.7
Serbia	..	..
Seychelles	2017	1.9
Sierra Leone	2012	12.4
Singapore	2017	0
Sint Maarten (Dutch part)	..	..
Slovak Republic	2017	1.7
Slovenia	2017	1.7
Solomon Islands	2017	8.6
Somalia	..	..
South Africa	2017	7
South Sudan	..	..
Spain	2017	1.7
Sri Lanka	2017	8.3
St. Kitts and Nevis	2017	11.4
St. Lucia	2016	7.8
St. Martin (French part)	..	..
St. Vincent and the Grenadines	2017	8.2
Sudan	..	12.1
Suriname	2013	10.1
Eswatini	2017	3.2
Sweden	2017	1.7
Switzerland	2017	0.9
Syrian Arab Republic	..	15.1
Tajikistan	2017	5.1
Tanzania	2016	11.6
Thailand	2015	7.3
Timor-Leste	..	2.5
Togo	2017	12.7
Tonga	2017	11.2
Trinidad and Tobago	2013	10.6
Tunisia	2016	9.3
Turkey	2017	1.4
Turkmenistan	..	..
Turks and Caicos Islands	..	..
Tuvalu	..	8.2
Uganda	2016	11.2
Ukraine	2017	2.4
United Arab Emirates	2017	4.2
United Kingdom	2017	1.7
United States	2017	2.8
Uruguay	2017	10.3
Uzbekistan	..	13.5
Vanuatu	2017	8.7
Venezuela, RB	2017	12
Vietnam	2017	6.2
Virgin Islands (U.S.)	..	..
West Bank and Gaza	..	..
Yemen, Rep.	2017	5.7
Zambia	2016	14.9
Zimbabwe	2016	9.8
World	2017	..
East Asia & Pacific	2017	..
Europe & Central Asia	2017	..
Latin America & Caribbean	2017	..
Middle East & North Africa	2017	..
North America	..	..
South Asia	2017	..
Sub-Saharan Africa	2017	..
Low income	2017	..
Lower middle income	..	..
Upper middle income	2017	..
High income	2017	..
