Country	Reference Year	Population below $1.90 a day	Population below $3.20 a day	Population below $5.50 a day
Ghana	2016	13.3	30.5	56.9
Gibraltar	..	..	..	..
Greece	2017	0.9	1.6	4.4
Greenland	..	..	..	..
Grenada	..	..	..	..
Guam	..	..	..	..
Guatemala	2014	8.7	24.2	48.8
Guinea	2012	35.3	70.3	92.3
Guinea-Bissau	2010	67.1	84.5	93.4
Guyana	1998	13.7	28.9	55.5
Haiti	2012	24.2	49.9	78.4
Honduras	2018	16.5	30	50.3
Hong Kong SAR, China	..	..	..	..
Hungary	2017	0.6	1.2	3
Iceland	2015	0	0	0.1
India	2011	21.2	60.4	86.8
Indonesia	2018	4.6	24.2	56
Iran, Islamic Rep.	2017	0.3	2.3	10.9
Iraq	2012	2.5	17.9	57.3
Ireland	2016	0.1	0.4	0.7
Isle of Man	..	..	..	..
Israel	2016	0.2	0.7	2.7
Italy	2017	1.4	1.8	3.2
Jamaica	2004	1.7	9.1	29.7
Japan	2013	0.7	0.9	1.2
Jordan	2010	0.1	2.1	18.1
Kazakhstan	2017	0	0.4	8.6
Kenya	2015	36.8	66.2	86.5
Kiribati	2006	12.9	34.6	69.4
Korea, Dem. Peopleâ€™s Rep.	..	..	..	..
Korea, Rep.	2012	0.2	0.5	1.2
Kosovo	2017	0.2	2.6	21.6
Kuwait	..	..	..	..
Kyrgyz Republic	2018	0.9	15.5	61.3
Lao PDR	2012	22.7	58.7	85
Latvia	2017	0.8	1.5	3.4
Lebanon	2011	0	0.1	1.9
Lesotho	2017	26.9	49.7	73.1
Liberia	2016	40.9	72.6	92.2
Libya	..	..	..	..
Liechtenstein	..	..	..	..
Lithuania	2017	1	1.5	3.8
Luxembourg	2017	0.3	0.4	0.7
Macao SAR, China	..	..	..	..
North Macedonia	2017	4.4	8.6	18.2
Madagascar	2012	77.6	91	97.3
Malawi	2016	70.3	89.4	96.7
Malaysia	2015	0	0.2	2.7
Maldives	2016	0	0.5	6.6
Mali	2009	49.7	79.3	94.9
Malta	2017	0.2	0.2	0.3
Marshall Islands	..	..	..	..
Mauritania	2014	6	24.1	58.8
Mauritius	2017	0.2	2.1	12.1
Mexico	2018	1.7	6.6	23
Micronesia, Fed. Sts.	2013	15.4	38.7	69.1
Moldova	2018	0	0.9	13.3
Monaco	..	..	..	..
Mongolia	2018	0.5	5.6	28.9
Montenegro	2015	1.7	8.2	19.9
Morocco	2013	1	7.7	31.3
Mozambique	2014	62.9	81.9	92
Myanmar	2017	2	19.3	60.8
Namibia	2015	13.4	29.6	50.1
Nepal	2010	15	50.9	83
Netherlands	2017	0.2	0.3	0.4
New Caledonia	..	..	..	..
New Zealand	..	..	..	..
Nicaragua	2014	3.2	12.8	34.8
Niger	2014	44.5	76.9	93.4
Nigeria	2009	53.5	77.6	92.1
Northern Mariana Islands	..	..	..	..
Norway	2017	0.2	0.3	0.5
Oman	..	..	..	..
Pakistan	2015	3.9	34.7	75.4
Palau	..	..	..	..
Panama	2018	1.7	5.2	12.7
Papua New Guinea	2009	38	65.6	86.9
Paraguay	2018	1.6	5.9	17
Peru	2018	2.6	8.3	22.1
Philippines	2015	6.1	26	55.1
Poland	2017	0.3	0.6	1.4
Portugal	2017	0.4	0.7	1.9
Puerto Rico	..	..	..	..
Qatar	..	..	..	..
Romania	2017	3.5	7	15.6
Russian Federation	2018	0	0.2	2.3
Rwanda	2016	55.5	79.7	91.6
Samoa	2013	1.1	9.6	33.9
San Marino	..	..	..	..
Sao Tome and Principe	2017	34.5	63.8	85.5
Saudi Arabia	..	..	..	..
Senegal	2011	38	67.5	88.1
Serbia	2017	5.5	9.8	20.3
Seychelles	2013	1.1	2.5	6.6
Sierra Leone	2018	40.1	74.4	92.1
Singapore	..	..	..	..
Sint Maarten (Dutch part)	..	..	..	..
Slovak Republic	2016	1.4	1.8	3.3
Slovenia	2017	0	0	0.1
Solomon Islands	2013	25.1	58.8	84.7
Somalia	..	..	..	..
South Africa	2014	18.9	37.6	57.1
South Sudan	2009	42.7	64.8	84.8
Spain	2017	0.7	1.1	2.2
Sri Lanka	2016	0.8	10.1	40.4
St. Kitts and Nevis	..	..	..	..
St. Lucia	2016	4.7	10.6	20.3
St. Martin (French part)	..	..	..	..
St. Vincent and the Grenadines	..	..	..	..
Sudan	2014	12.7	45	79.9
Suriname	1999	23.4	42.8	55.7
Eswatini	2016	28.4	51.8	71.4
Sweden	2017	0.2	0.3	0.5
Switzerland	2017	0	0	0.1
Syrian Arab Republic	2004	1.7	15.3	50.4
Taiwan, China	..	..	..	..
Tajikistan	2015	4.8	20.3	54.2
Tanzania	2017	49.1	76.6	91.7
Thailand	2018	0	0.5	8.6
Timor-Leste	2014	30.7	73.3	94
Togo	2015	49.8	73.4	90.4
Tonga	2015	1	7.5	27.5
Trinidad and Tobago	1992	3.4	13.1	32.9
Tunisia	2015	0.2	3	17.5
Turkey	2018	0.1	1.4	9.2
Turkmenistan	1998	51.4	77.8	92.5
Turks and Caicos Islands	..	..	..	..
Tuvalu	2010	3.3	17.6	46.7
Uganda	2016	41.7	69.9	87.8
Ukraine	2018	0	0.4	4
United Arab Emirates	2014	0	0	0
United Kingdom	2016	0.2	0.3	0.5
United States	2016	1.2	1.5	2
Uruguay	2018	0.1	0.4	2.9
Uzbekistan	2003	62.1	86.4	96.4
Vanuatu	2010	13.2	39.4	72.4
Venezuela, RB	2006	10.2	17.8	35.6
Vietnam	2018	1.9	7	23.6
Virgin Islands (U.S.)	..	..	..	..
West Bank and Gaza	2016	1	5	23.6
Yemen, Rep.	2014	18.8	52.2	81.6
Zambia	2015	57.5	74.3	87.2
Zimbabwe	2017	33.9	61	81.3
