Country	GDP per person employed_2000-02	GDP per person employed_2015-18
Lebanon	37.8	30.9
Lesotho	16.1	14.1
Liberia	70.7	65.4
Libya	6.4	6.4
Liechtenstein	..	..
Lithuania	20.4	10.8
Luxembourg	6.5	5.7
Madagascar	80.9	81
Malawi	56.5	53.7
Malaysia	22.8	20.3
Maldives	22.8	15.6
Mali	77.1	75.9
Malta	10.2	12.7
Marshall Islands	..	..
Mauritania	50.8	46
Mauritius	20.6	18.2
Mexico	30.9	25.4
Micronesia, Fed. Sts.	..	..
Moldova	35	41
Monaco	..	..
Mongolia	58.1	51.7
Montenegro	15.8	16.8
Morocco	52.6	44
Mozambique	78.5	72.9
Myanmar	72.4	58.6
Namibia	20.3	24.3
Nepal	74.1	65.5
Netherlands	8.2	14.2
New Caledonia	13.6	13.1
New Zealand	16.5	13.6
Nicaragua	46	36
Niger	88.5	91
Nigeria	74.7	71.9
North Macedonia	20.7	21.1
Northern Mariana Islands	..	..
Norway	7.5	6.2
Oman	9.8	2.4
Pakistan	63.1	51.7
Palau	..	..
Panama	36.5	34.7
Papua New Guinea	73	69.4
Paraguay	52.1	35.4
Peru	48.4	44.9
Philippines	43.2	30.1
Poland	24.4	18.6
Portugal	18.9	14.2
Puerto Rico	14	17
Qatar	0.7	0.2
Romania	42.4	24.9
Russian Federation	10.3	5.9
Rwanda	86.4	58.2
Samoa	32	33
San Marino	..	..
Sao Tome and Principe	47	44.5
Saudi Arabia	6	3.3
Senegal	75	59.8
Serbia	32.6	27.2
Seychelles	..	..
Sierra Leone	83.1	80.5
Singapore	11.5	11.9
Sint Maarten (Dutch part)	..	..
Slovak Republic	7.6	14.9
Slovenia	13.4	12.8
Solomon Islands	60.9	57.2
Somalia	86.4	85.2
South Africa	7.4	10.4
South Sudan	76.2	79.5
Spain	15.1	13.2
Sri Lanka	40.3	37
St. Kitts and Nevis	..	..
St. Lucia	31.4	32.4
St. Martin (French part)	..	..
St. Vincent and the Grenadines	22	21.8
Sudan	55.2	44.9
Suriname	18.9	13.5
Sweden	9.7	7.9
Switzerland	10.4	8.6
Syrian Arab Republic	40.6	35.4
Tajikistan	42.1	39.3
Tanzania	84.8	78
Thailand	55.1	47.6
Timor-Leste	74	58.6
Togo	81.7	74.1
Tonga	52.9	49.3
Trinidad and Tobago	18.3	21.9
Tunisia	25.7	21.9
Turkey	34.6	24.9
Turkmenistan	27.7	25.7
Turks and Caicos Islands	..	..
Tuvalu	..	..
Uganda	79.1	68.4
Ukraine	15.6	16.7
United Arab Emirates	1.7	0.7
United Kingdom	11.5	16
United States	4.7	4.3
Uruguay	25.4	26.5
Uzbekistan	44.5	40.5
Vanuatu	68.8	67.4
Venezuela, RB	35	35.3
Vietnam	77.6	48.8
Virgin Islands (U.S.)	8.4	9.1
West Bank and Gaza	27.1	23.4
Yemen, Rep.	36.9	43.8
Zambia	73	69.2
Zimbabwe	46	54.5
World	50.3	44.1
East Asia & Pacific	52.4	40.2
Europe & Central Asia	17.7	15.5
Latin America & Caribbean	35.1	33
Middle East & North Africa	28.6	23.6
North America	5.4	5.1
South Asia	77.2	68.8
Sub-Saharan Africa	70.9	67.4
Low income	77.6	72.8
Lower middle income	70.3	61.7
Upper middle income	47.7	37.4
High income	12.1	10.1
