Country	Both sexes	Male	Female
Mongolia	29.0	32.3	25.6
Montenegro	29.1	34.4	23.8
Morocco	26.1	26.2	25.8
Mozambique	29.1	28.1	29.7
Myanmar	24.6	24.9	24.2
Namibia	28.5	28.2	28.4
Nauru	20.5	23.8	17.2
Nepal	29.4	29.7	29.5
Netherlands	18.7	23.1	14.3
New Zealand	16.2	19.3	13.3
Nicaragua	20.8	21.6	19.9
Niger	33.4	31.3	35.8
Nigeria	23.9	22.7	25.0
Niue	24.2	26.1	22.1
Norway	19.7	24.6	14.7
Oman	24.8	25.7	22.5
Pakistan	30.5	31.5	29.5
Palau	22.9	25.7	20.0
Panama	19.9	22.3	17.3
Papua New Guinea	25.6	25.1	25.8
Paraguay	24.6	27.8	21.3
Peru	13.7	16.1	11.2
Philippines	22.6	24.1	21.0
Poland	28.7	34.6	23.0
Portugal	24.4	29.3	19.6
Qatar	22.4	23.0	19.1
Republic of Korea	11.0	13.8	8.2
Republic of Moldova	29.8	33.6	26.2
North Macedonia	28.5	32.7	24.1
Romania	30.0	34.7	25.2
Russian Federation	27.2	32.6	22.3
Rwanda	26.7	25.2	27.9
Saint Kitts and Nevis	25.3	27.9	22.7
Saint Lucia	27.1	29.9	24.4
Saint Vincent and the Grenadines	23.3	25.9	20.7
Samoa	24.0	26.6	21.0
San Marino			
Sao Tome and Principe	25.8	26.9	24.6
Saudi Arabia	23.3	24.7	20.8
Senegal	30.2	29.7	30.4
Serbia	29.5	33.8	25.2
Seychelles	23.5	26.4	20.2
Sierra Leone	30.3	29.4	31.0
Singapore	14.6	17.8	11.3
Slovakia	28.5	34.3	22.8
Slovenia	30.5	35.8	24.9
Solomon Islands	22.0	20.4	23.6
Somalia	32.9	33.5	32.2
South Africa	26.9	27.4	26.1
South Sudan			
Spain	19.2	23.5	14.7
Sri Lanka	22.4	23.0	21.6
Sudan			
Sudan (former)	30.2	30.6	29.6
Suriname	22.4	24.6	19.9
Sweden	19.3	24.1	14.4
Switzerland	18.0	22.3	13.7
Syrian Arab Republic	24.5	25.1	23.8
Tajikistan	26.1	26.4	25.7
Thailand	22.3	24.2	20.3
Timor-Leste	27.6	26.9	28.1
Togo	28.9	28.3	29.2
Tonga	23.7	25.4	21.8
Trinidad and Tobago	25.8	27.6	23.9
Tunisia	23.2	23.8	22.5
Turkey	20.3	20.3	20.1
Turkmenistan	25.4	26.6	24.1
Tuvalu	23.7	26.1	21.2
Uganda	27.3	26.7	27.7
Ukraine	27.1	32.3	22.3
United Arab Emirates	21.1	22.1	18.3
United Kingdom of Great Britain and Northern Ireland	15.2	17.9	12.4
United Republic of Tanzania	27.3	26.6	27.7
United States of America	12.9	15.3	10.5
Uruguay	20.7	24.7	16.8
Uzbekistan	25.6	26.5	24.4
Vanuatu	24.2	24.2	24.1
Venezuela (Bolivarian Republic of)	18.6	21.5	15.7
Viet Nam	23.4	25.0	21.6
Yemen	30.7	29.9	31.2
Zambia	27.1	27.6	26.5
Zimbabwe	28.2	26.9	29.2
