Country	Rank	Education Index	Expected years of schooling	Mean years  of schooling	HDI rank
Moldova	61	725	11.8	11.9	107
Azerbaijan	64	723	12.7	11.2	78
Kyrgyzstan	65	721	13.0	10.8	120
Andorra	66	718	13.5	10.3	32
Bahrain	67	717	14.5	9.4	47
Trinidad and Tobago	67	717	12.7	10.9	65
Uruguay	67	717	15.5	8.6	54
Brunei Darussalam	70	716	14.9	9.0	30
Albania	71	715	14.2	9.6	75
Bahamas	71	715	12.7	10.9	58
Venezuela	73	710	14.3	9.4	71
Seychelles	74	706	14.1	9.4	63
South Africa	75	705	13.0	10.3	119
Belize	76	704	12.8	10.5	103
Iran	76	704	14.8	8.8	69
Samoa	78	702	12.9	10.3	104
Jordan	79	701	13.1	10.1	86
Malaysia	80	700	13.1	10.1	59
Qatar	81	698	13.4	9.8	33
Antigua and Barbuda	82	694	13.9	9.2	62
Bosnia and Herzegovina	82	694	14.2	9.0	81
Panama	84	691	13.0	9.9	60
United Arab Emirates	85	687	13.3	9.5	42
Costa Rica	86	684	14.2	8.7	66
Brazil	87	681	15.2	7.8	79
Jamaica	88	678	12.8	9.6	94
Saint Lucia	89	677	13.1	9.3	92
North Macedonia	90	673	12.9	9.4	82
Peru	91	672	13.4	9.0	87
Turkey	92	668	14.6	7.9	71
Ecuador	93	665	14.0	8.3	89
Saint Kitts and Nevis	94	659	13.7	8.4	74
Algeria	95	658	14.4	7.8	83
Botswana	95	658	12.6	9.2	108
Tajikistan	95	658	11.3	10.4	129
Saint Vincent and the Grenadines	98	657	13.3	8.6	99
Bolivia	99	656	13.8	8.2	118
Lebanon	99	656	13.3	8.6	76
Mexico	101	655	13.3	8.6	77
Palestine	101	655	12.8	8.9	114
Oman	103	652	13.7	8.1	52
Micronesia	104	649	11.7	9.7	127
Tunisia	105	643	14.6	7.1	97
Thailand	106	641	13.6	7.9	87
Philippines	107	637	11.7	9.3	116
China	108	631	13.5	7.6	90
Colombia	109	630	13.6	7.6	95
Suriname	109	630	12.7	8.3	97
Turkmenistan	111	629	10.8	9.9	111
India	112	624	12.6	6.9	131
Dominican Republic	113	622	13.2	7.7	99
Indonesia	113	622	12.9	7.9	113
Dominica	115	618	12.8	7.9	96
Gabon	115	618	12.6	8.1	109
Viet Nam	117	617	12.6	8.0	115
Libya	118	616	13.4	7.3	102
Paraguay	119	613	12.3	8.1	110
Kuwait	120	611	13.3	7.3	51
Egypt	121	601	13.1	7.1	111
Kiribati	121	590	11.9	7.8	137
El Salvador	123	584	13.2	6.5	117
Zambia	124	577	12.5	6.9	139
Guyana	125	568	10.3	8.4	127
Maldives	126	561	12.7	6.2	105
Ghana	127	551	11.5	6.9	139
Pakistan	128	550	12.1	10.1	147
Namibia	129	546	11.7	6.7	125
Eswatini	130	545	11.4	6.8	148
Zimbabwe	131	544	10.3	7.7	154
Nicaragua	132	542	11.7	6.5	124
Cabo Verde	133	534	13.5	4.8	122
Vanuatu	134	526	10.8	6.8	134
Congo	135	520	11.1	6.3	135
Honduras	136	518	11.2	6.2	130
Kenya	136	518	11.1	6.3	146
Sao Tome and Principe	138	509	12.0	5.3	142
Guatemala	139	508	10.7	6.3	125
Lesotho	140	503	10.7	6.1	160
Morocco	140	503	12.1	5.0	123
Iraq	142	500	10.1	6.6	121
Timor-Leste	143	494	12.5	4.4	133
Cameroon	144	493	10.4	6.1	153
Madagascar	145	492	10.3	6.1	158
Togo	146	489	12.0	4.7	166
Angola	147	482	11.4	5.0	150
Nigeria	148	477	10.0	6.0	152
Democratic Republic of the Congo	149	475	9.8	6.1	176
Nepal	149	475	12.2	4.1	144
Laos	151	474	10.8	5.2	138
Comoros	152	469	11.1	4.8	160
Uganda	153	467	10.0	5.7	163
Cambodia	154	459	10.9	4.7	143
Bangladesh	155	457	10.2	5.2	139
Bhutan	156	452	12.5	3.1	132
Malawi	157	445	10.8	4.4	170
Solomon Islands	157	445	9.6	5.3	156
Tanzania	159	441	8.9	5.8	151
Equatorial Guinea	160	439	9.2	5.5	135
Rwanda	161	426	10.8	3.8	159
Haiti	162	425	9.1	5.2	163
Liberia	163	423	9.9	4.4	177
Papua New Guinea	164	419	9.9	4.3	154
Syrian Arab Republic	165	417	9.0	5.1	149
Cote d'Ivoire	166	415	8.9	5.0	171
Benin	167	414	10.7	3.5	167
Myanmar	168	410	9.1	4.7	145
Afghanistan	169	398	10.1	3.5	169
Burundi	170	395	10.6	3.0	184
Mauritania	171	377	8.5	4.3	157
Sierra Leone	172	374	9.5	3.3	179
Mozambique	173	369	9.1	3.5	181
Gambia	174	358	8.9	3.3	173
Senegal	175	355	9.5	2.8	162
Guinea-Bissau	176	353	9.2	2.9	178
Yemen	177	350	9.0	3.0	168
Central African Republic	178	338	7.1	4.2	188
Guinea	179	330	8.8	2.6	183
Ethiopia	180	318	8.4	2.6	174
Sudan	180	318	7.2	3.5	165
Mali	182	312	8.4	2.3	175
Djibouti	183	310	6.3	4.1	172
South Sudan	184	297	4.9	4.8	181
Chad	185	280	7.3	2.3	186
Eritrea	186	267	5.0	3.9	179
Burkina Faso	187	262	7.7	1.4	185
Niger	188	206	5.4	1.7	187
