Country	Tractors (2000)	Tractors (2009)
Lithuania	354.4	631.6
Luxembourg	1155.6	1039.7
North Macedonia	973	1.8
Madagascar	2.7	1.9
Malawi	..	..
Malaysia	480.5	..
Maldives	..	..
Mali	4.2	2.2
Malta	1215	1.3
Marshall Islands	..	..
Mauritania	7.8	9.8
Mauritius	..	..
Mexico	119.3	101.5
Micronesia, Fed. Sts.	..	..
Moldova	229.1	197.6
Monaco	..	..
Mongolia	40	40
Montenegro	..	..
Morocco	49	..
Mozambique	..	..
Myanmar	10.7	10.7
Namibia	..	..
Nepal	111.7	111.7
Netherlands	1.9	1.5
New Caledonia	1.3	1.4
New Zealand	..	..
Nicaragua	15.4	..
Niger	0.1	..
Nigeria	5.5	6.7
Northern Mariana Islands	510	990
Norway	1.2	1.1
Oman	58.1	58.1
Pakistan	105.2	105.2
Palau	..	..
Panama	147.2	147.2
Papua New Guinea	58.9	..
Paraguay	70	68.7
Peru	35.3	..
Philippines	116.8	116.8
Poland	933.8	1307.2
Portugal	970.2	1.2
Puerto Rico	501.2	501.5
Qatar	63.1	63.1
Romania	170.6	201.2
Russian Federation	60.1	27.1
Rwanda	0.7	0.5
Samoa	60	72.3
San Marino	..	..
Sao Tome and Principe	..	..
Saudi Arabia	26.9	..
Senegal	1.8	2.2
Serbia	26.2	22
Seychelles	..	..
Sierra Leone	1.7	..
Singapore	..	..
Sint Maarten (Dutch part)	..	..
Slovak Republic	153.7	154.6
Slovenia	1.5	5895.2
Solomon Islands	..	..
Somalia	9.6	12
South Africa	52.3	47.5
South Sudan	..	..
Spain	671.4	831.2
Sri Lanka	..	..
St. Kitts and Nevis	207.1	55
St. Lucia	675	58.3
St. Martin (French part)	..	..
St. Vincent and the Grenadines	208	224
Sudan	..	..
Suriname	161.1	215.5
Sweden	610.4	591.5
Switzerland	2681	1.9
Syrian Arab Republic	215	215
Tajikistan	310.2	310.2
Tanzania	19	24.7
Thailand	280.5	280.5
Timor-Leste	7.1	..
Togo	0.3	0.6
Tonga	80	162
Trinidad and Tobago	1.3	1.7
Tunisia	114.2	142.6
Turkey	395.3	395.3
Turkmenistan	329.8	..
Turks and Caicos Islands	..	..
Tuvalu	..	..
Uganda	..	..
Ukraine	97.9	102.7
United Arab Emirates	63.3	63.3
United Kingdom	..	..
United States	256.8	271.2
Uruguay	265.6	199.7
Uzbekistan	..	..
Vanuatu	..	..
Venezuela, RB	..	..
Vietnam	262.5	262.5
Virgin Islands (U.S.)	490	1190
West Bank and Gaza	737.3	737.3
Yemen, Rep.	41	41
Zambia	..	..
Zimbabwe	64.3	..
World	193.2	..
East Asia & Pacific	..	..
Latin America & Caribbean	119.7	..
Middle East & North Africa	163.6	163.6
North America	236.6	251.2
South Asia	116.2	116.2
Sub-Saharan Africa	..	..
Low income	..	..
Lower middle income	93.7	..
Upper middle income	104.8	104.8
High income	459.9	..
Europe & Central Asia	329.5	329.5
