Country	Tons	Change %
St. Lucia	4	100
St. Martin (French part)	..	..
St. Vincent and the Grenadines	-47	..
Sudan	297048	7326.2
Suriname	-476	-99.8
Eswatini	922	375.8
Sweden	4576	86.1
Switzerland	3931	-5.5
Syrian Arab Republic	5794	983.4
Tajikistan	4515	-86.9
Tanzania	185379	319.3
Thailand	45142	227.6
Timor-Leste	-556	-500
Togo	12378	57.3
Tonga	-116	-100
Trinidad and Tobago	12088	6425
Tunisia	3680	435.4
Turkey	-6438	187.4
Turkmenistan	-3906	88.9
Turks and Caicos Islands	..	-540
Tuvalu	0	-620
Uganda	40137	168.1
Ukraine	-196	-77
United Arab Emirates	-10935	68.4
United Kingdom	39448	-2.7
United States	448686	120.2
Uruguay	-1393	-56.7
Uzbekistan	258	-9.6
Vanuatu	-20	650
Venezuela, RB	11262	-42.4
Vietnam	-2038	348
Virgin Islands (U.S.)	0	1250
West Bank and Gaza	..	..
Yemen, Rep.	6024	433.3
Zambia	301826	112.2
Zimbabwe	48486	5764.5
World	7747218	30.4
East Asia & Pacific	1233141	-31.7
Europe & Central Asia	710048	-14.9
Latin America & Caribbean	2581472	92.9
Middle East & North Africa	-49504	-31.2
North America	644803	240.3
South Asia	59587	188.2
Sub-Saharan Africa	3014792	62.2
Low income	2116785	45.4
Lower middle income	2077510	1.6
Upper middle income	2741398	74.7
High income	1258647	63.4
