Country	Consumption (2010)	Consumption (2019)
South Africa	79.2	81.5
South Sudan	57.8	..
Spain	78.7	76.3
Sri Lanka	76.9	78.7
St. Kitts and Nevis	..	65.3
St. Lucia	..	..
St. Martin (French part)	..	..
St. Vincent and the Grenadines	..	..
Sudan	77.6	78.1
Suriname	49.3	..
Sweden	71.9	71.3
Switzerland	65.5	65
Syrian Arab Republic	..	..
Tajikistan	122.3	100.2
Tanzania	76.4	67.9
Thailand	68	66.2
Timor-Leste	174.6	123.5
Togo	93.9	83.9
Tonga	116	..
Trinidad and Tobago	..	..
Tunisia	79.2	93
Turkey	78	73.1
Turkmenistan	12.2	..
Turks and Caicos Islands	..	..
Tuvalu	..	..
Uganda	85.1	78.7
Ukraine	83.2	95.2
United Arab Emirates	52.3	52.2
United Kingdom	85.9	83.8
United States	84.7	82.1
Uruguay	79.6	81.4
Uzbekistan	70.4	70.8
Vanuatu	79.5	..
Venezuela, RB	67.1	..
Vietnam	72.6	74.6
Virgin Islands (U.S.)	..	..
West Bank and Gaza	121.8	115.9
Yemen, Rep.	..	..
Zambia	64	56
Zimbabwe	105.1	102.7
World	..	..
East Asia & Pacific	..	..
Europe & Central Asia	..	..
Latin America & Caribbean	..	..
Middle East & North Africa	..	..
North America	..	..
South Asia	..	..
Sub-Saharan Africa	..	..
Low income	..	..
Lower middle income	..	..
Upper middle income	..	..
High income	..	..
