Country	$ billions	$ per capita
Mexico	-0.1	-1.2
Micronesia, Fed. Sts.	0.2	-0.8
Moldova	3.5	5.3
Monaco	6.1	5.3
Mongolia	5.1	3.3
Montenegro	3.6	3.6
Morocco	2.3	1.0
Mozambique	2.2	-0.7
Myanmar	2.9	2.2
Namibia	-1.1	-3.0
Nauru	0.0	1.0
Nepal	7.0	5.0
Netherlands	1.8	1.2
New Caledonia	..	..
New Zealand	2.2	0.6
Nicaragua	-3.9	-5.1
Niger	5.8	1.9
Nigeria	2.2	-0.4
North Macedonia	3.6	3.5
Northern Mariana Islands	-19.6	-20.1
Norway	1.2	0.5
Oman	0.5	-2.4
Pakistan	1.0	-1.0
Palau	1.7	1.1
Panama	3.0	1.3
Papua New Guinea	5.6	3.6
Paraguay	0.0	-1.3
Peru	2.2	0.5
Philippines	6.0	4.6
Poland	4.1	4.2
Portugal	2.2	2.3
Puerto Rico	1.2	1.2
Qatar	-0.2	-2.0
Romania	4.1	4.7
Russian Federation	1.3	1.4
Rwanda	9.4	6.6
Samoa	3.5	3.0
San Marino	1.2	0.8
Sao Tome and Principe	2.4	0.5
Saudi Arabia	0.3	-1.3
Senegal	5.3	2.4
Serbia	4.2	4.8
Seychelles	4.7	3.8
Sierra Leone	5.5	3.3
Singapore	0.7	-0.4
Sint Maarten (Dutch part)	-8.4	-9.8
Slovak Republic	2.4	2.3
Slovenia	2.4	1.8
Solomon Islands	2.7	0.1
Somalia	..	..
South Africa	0.2	-1.2
South Sudan	..	..
Spain	2.0	1.4
Sri Lanka	2.3	1.7
St. Kitts and Nevis	2.5	1.8
St. Lucia	1.7	1.2
St. Martin (French part)	..	..
St. Vincent and the Grenadines	0.3	0.0
Sudan	-2.6	-4.9
Suriname	-0.8	-1.7
Sweden	1.2	0.1
Switzerland	0.9	0.2
Syrian Arab Republic	..	..
Tajikistan	7.0	4.5
Tanzania	5.8	2.7
Thailand	2.4	2.1
Timor-Leste	3.4	1.4
Togo	5.3	2.8
Tonga	0.3	-0.9
Trinidad and Tobago	0.0	-0.4
Tunisia	1.0	-0.1
Turkey	0.9	-0.5
Turkmenistan	6.2	4.5
Turks and Caicos Islands	5.3	3.7
Tuvalu	9.8	8.5
Uganda	6.5	2.8
Ukraine	3.2	3.8
United Arab Emirates	1.7	0.2
United Kingdom	1.4	0.8
United States	2.3	1.8
Uruguay	0.2	-0.1
Uzbekistan	5.6	3.6
Vanuatu	2.9	0.4
Venezuela, RB	..	..
Vietnam	7.0	6.0
Virgin Islands (U.S.)	-1.7	-1.5
West Bank and Gaza	0.9	-1.6
Yemen, Rep.	0.8	-1.6
Zambia	1.7	-1.2
Zimbabwe	-8.1	-9.4
World	2.5	1.4
East Asia & Pacific	3.8	3.2
Europe & Central Asia	1.5	1.2
Latin America & Caribbean	0.8	-0.1
Middle East & North Africa	1.8	0.1
North America	2.3	1.7
South Asia	4.8	3.6
Sub-Saharan Africa	2.3	-0.4
Low income	3.9	1.2
Lower middle income	4.4	2.9
Upper middle income	3.8	3.2
High income	1.7	1.2
