Country	$ billions	$ per capita
Isle of Man	..	..
Israel	381.5	42,14
Italy	2,687.8	44,58
Jamaica	28.8	9,77
Japan	5,654.4	44,78
Jordan	103.5	10,24
Kazakhstan	445.2	24,05
Kenya	232.3	4,42
Kiribati	0.5	4,65
Korea, Dem. People’s Rep.	..	..
Korea, Rep.	2,245.5	43,43
Kosovo	21.7	12,09
Kuwait	247.1	59,72
Kyrgyz Republic	32.7	5,07
Lao PDR	57.1	7,96
Latvia	60.8	31,77
Lebanon	104.6	15,26
Lesotho	7.0	3,29
Liberia	6.5	1,32
Libya	109.0	16,09
Liechtenstein	..	..
Lithuania	103.2	37,01
Luxembourg	48.1	77,57
Madagascar	44.7	1,66
Malawi	20.1	1,08
Malaysia	916.2	28,68
Maldives	9.5	17,88
Mali	46.4	2,36
Malta	21.0	41,69
Marshall Islands	0.3	5,09
Mauritania	24.2	5,35
Mauritius	33.4	26,41
Mexico	2,527.0	19,81
Micronesia, Fed. Sts.	0.4	3,64
Moldova	35.9	13,28
Monaco	..	..
Mongolia	36.7	11,37
Montenegro	14.4	23,07
Morocco	284.4	7,68
Mozambique	39.5	1,3
Myanmar	278.8	5,16
Namibia	24.3	9,75
Nauru	0.2	17,79
Nepal	103.0	3,6
Netherlands	1,038.1	59,89
New Caledonia	..	..
New Zealand	210.0	42,71
Nicaragua	35.9	5,49
Niger	29.2	1,25
Nigeria	1,039.6	5,17
North Macedonia	35.6	17,11
Northern Mariana Islands	..	..
Norway	372.3	69,61
Oman	142.2	28,59
Pakistan	1,129.1	5,21
Palau	0.3	19,5
Panama	130.0	30,6
Papua New Guinea	39.2	4,47
Paraguay	89.7	12,73
Peru	414.7	12,76
Philippines	1,102.8	10,2
Poland	1,242.1	32,71
Portugal	365.6	35,6
Puerto Rico	77.4	24,24
Qatar	266.7	94,17
Romania	616.6	31,86
Russian Federation	4,147.4	28,27
Rwanda	28.3	2,24
Samoa	1.3	6,49
San Marino	..	..
Sao Tome and Principe	0.9	4,09
Saudi Arabia	1,692.9	49,4
Senegal	56.1	3,44
Serbia	124.8	17,96
Seychelles	2.9	29,3
Sierra Leone	13.0	1,67
Singapore	524.8	92,02
Sint Maarten (Dutch part)	1.3	31,34
Slovak Republic	183.7	33,68
Slovenia	83.7	40,07
Solomon Islands	1.6	2,35
Somalia	..	..
South Africa	739.7	12,63
South Sudan	..	..
Spain	1,991.3	42,3
Sri Lanka	288.4	13,23
St. Kitts and Nevis	1.4	25,92
St. Lucia	2.8	15,14
St. Martin (French part)	..	..
St. Vincent and the Grenadines	1.4	12,88
Sudan	170.7	3,99
Suriname	8.8	15,2
Sweden	589.3	57,3
Switzerland	620.7	72,39
Syrian Arab Republic	..	..
Tajikistan	38.2	4,1
Tanzania	152.0	2,7
Thailand	1,289.4	18,52
Timor-Leste	6.1	4,73
Togo	13.5	1,67
Tonga	0.7	6,51
Trinidad and Tobago	37.6	26,95
Tunisia	126.2	10,8
Turkey	2,287.0	27,41
Turkmenistan	85.2	14,56
Turks and Caicos Islands	1.0	26,21
Tuvalu	0.1	6,17
Uganda	97.9	2,21
Ukraine	578.0	13,75
United Arab Emirates	686.3	70,24
United Kingdom	3,210.9	48,04
United States	21,625.0	65,88
Uruguay	73.1	21,12
Uzbekistan	248.5	7,4
Vanuatu	1.0	3,31
Venezuela, RB	..	..
Vietnam	747.2	7,75
Virgin Islands (U.S.)	..	..
West Bank and Gaza	30.8	6,74
Yemen, Rep.	..	..
Zambia	63.9	3,58
Zimbabwe	40.0	2,73
World	134,984.3	17,591
East Asia & Pacific	43,119.4	18,422
Europe & Central Asia	33,674.1	36,557
Latin America & Caribbean	10,473.5	16,202
Middle East & North Africa	7,947.4	17,402
North America	23,541.2	64,339
South Asia	11,979.8	6,526
Sub-Saharan Africa	4,202.1	3,796
Low income	1,641.6	2,456
Lower middle income	19,790.1	6,793
Upper middle income	49,211.5	17,232
High income	64,662.0	52,322
