Country	Underweight, male	Underweight, female	Stunting, male	Stunting, female	Wasting, male	Wasting, female	Severe wasting, male	Severe wasting, female
Jamaica	2.9	1.3	7	4.9	3.5	3.7	0.6	0.5
Japan	..	..	..	..	..	..	..	..
Jordan	3.4	2.6	9.3	6.2	2.4	2.4	0.5	0.8
Kazakhstan	1.9	2	7.7	8.3	2.9	3.3	1.1	1
Kenya	12.4	10	29.9	22.4	4.5	3.9	1.1	0.9
Kiribati	..	..	..	..	..	..	..	..
Korea, Dem. Peopleâ€™s Rep.	..	..	..	..	..	..	..	..
Korea, Rep.	..	..	..	..	..	..	..	..
Kosovo	..	..	..	..	..	..	..	..
Kuwait	..	..	..	..	..	..	..	..
Kyrgyz Republic	2	1.6	12.5	10.9	2	2.1	0.7	0.7
Lao PDR	21.6	20.6	34	32.1	9.4	8.6	3.2	2.8
Latvia	..	..	..	..	..	..	..	..
Lebanon	..	..	..	..	..	..	..	..
Lesotho	12	9.1	36.6	32.7	2.4	1.7	0.8	0.8
Liberia	15	12.2	32.3	28	5.5	3.2	0.6	0.7
Libya	..	..	..	..	..	..	..	..
Liechtenstein	..	..	..	..	..	..	..	..
Lithuania	..	..	..	..	..	..	..	..
Luxembourg	..	..	..	..	..	..	..	..
North Macedonia	1.5	1.1	5.6	4.3	2.2	1.4	0.3	0.1
Madagascar	28.4	24.2	44.6	38.5	7.5	5.3	1.1	0.8
Malawi	11.8	11.8	41.4	36.6	1.7	0.9	0.1	0
Malaysia	..	..	..	..	..	..	..	..
Maldives	..	..	..	..	..	..	..	..
Mali	19.6	17.6	28	25.7	10.4	7.6	3.1	2
Malta	..	..	..	..	..	..	..	..
Marshall Islands	14.1	9.5	39.3	30	4.6	2.4	0.9	1.4
Mauritania	21.2	17.1	25.5	20.1	13.3	9.7	2.6	2
Mauritius	..	..	..	..	..	..	..	..
Mexico	5.2	3.2	10.7	9.3	2.6	1.4	0.4	0.2
Micronesia, Fed. Sts.	..	..	..	..	..	..	..	..
Moldova	2.1	2.2	5.8	7	2.1	1.8	0.5	0.4
Monaco	..	..	..	..	..	..	..	..
Mongolia	2	1.7	10.9	7.8	1	0.8	0.3	0.3
Montenegro	1.1	0.9	10.3	8.4	3.1	2.4	1.8	0.6
Morocco	2.6	2.5	17.4	12.6	2.4	2.8	0.9	1.3
Mozambique	16.7	14.6	46.8	38	4.2	4.6	1.7	1.7
Myanmar	19.1	17.9	31.1	27.5	7	6.2	1.5	1.1
Namibia	15	11.4	25.1	20.4	9	5.3	4	1.6
Nepal	27.2	27.3	36.2	35.8	9.4	9.9	2.1	1.7
Netherlands	..	..	..	..	..	..	..	..
New Caledonia	..	..	..	..	..	..	..	..
New Zealand	..	..	..	..	..	..	..	..
Nicaragua	5	4.3	18.2	16.4	2.2	2.1	0.9	0.5
Niger	33	30.9	42.8	39.8	12.7	8.2	2.6	1.6
Nigeria	23.1	20.4	39.4	34.1	8	5.5	2.2	1.4
Northern Mariana Islands	..	..	..	..	..	..	..	..
Norway	..	..	..	..	..	..	..	..
Oman	..	..	..	..	..	..	..	..
Pakistan	24	22.1	38.2	37.1	7.6	6.6	2.7	2.1
Palau	..	..	..	..	..	..	..	..
Panama	..	..	..	..	..	..	..	..
Papua New Guinea	..	..	..	..	..	..	..	..
Paraguay	1.4	1.2	6.7	4.4	1	0.9	0.5	0.2
Peru	2.6	2.7	12.4	11.9	0.5	0.4	0.1	0.1
Philippines	21.5	21.3	33.9	32.1	7.5	6.1	1.7	1.5
Poland	..	..	..	..	..	..	..	..
Portugal	..	..	..	..	..	..	..	..
Puerto Rico	..	..	..	..	..	..	..	..
Qatar	..	..	..	..	..	..	..	..
Romania	..	..	..	..	..	..	..	..
Russian Federation	..	..	..	..	..	..	..	..
Rwanda	10.4	7.5	41	33	2.2	1.7	0.6	0.2
Samoa	3.3	3.2	5.6	4.1	3	4.9	1.3	1.4
San Marino	..	..	..	..	..	..	..	..
Sao Tome and Principe	10.6	6.9	20.5	14	4.7	3.3	0.7	0.8
Saudi Arabia	..	..	..	..	..	..	..	..
Senegal	14.1	12.5	20.7	16.9	8.9	7.3	2.2	2.1
Serbia	1.8	1.7	6.8	5.1	4.2	3.6	1	1.2
Seychelles	..	..	..	..	..	..	..	..
Sierra Leone	15.7	11.6	33.1	25.6	6.3	4	1.1	0.8
Singapore	..	..	..	..	..	..	..	..
Sint Maarten (Dutch part)	..	..	..	..	..	..	..	..
Slovak Republic	..	..	..	..	..	..	..	..
Slovenia	..	..	..	..	..	..	..	..
Solomon Islands	16.2	16.1	33.7	29.6	8.4	8.5	3.7	3.5
Somalia	..	..	..	..	..	..	..	..
South Africa	6.7	5.1	29.8	25	2.1	2.8	0.7	0.4
South Sudan	..	..	..	..	..	..	..	..
Spain	..	..	..	..	..	..	..	..
Sri Lanka	25.6	26.6	14.8	14.5	22.1	20.5	3.5	2.6
St. Kitts and Nevis	..	..	..	..	..	..	..	..
St. Lucia	4	1.6	4	1	4.1	3.4	1	0.3
St. Martin (French part)	..	..	..	..	..	..	..	..
St. Vincent and the Grenadines	..	..	..	..	..	..	..	..
Sudan	34.6	31.5	40.3	36.1	16.9	15.7	5.1	3.8
Suriname	..	..	..	..	..	..	..	..
Eswatini	7.3	4.3	29.2	21.8	2.3	1.7	0.5	0.2
Sweden	..	..	..	..	..	..	..	..
Switzerland	..	..	..	..	..	..	..	..
Syrian Arab Republic	..	..	..	..	..	..	..	..
Tajikistan	8.1	7	17.9	17.2	6.1	5	2.1	1.5
Tanzania	14.1	13.2	36.7	32.2	5.2	3.8	1.2	1.2
Thailand	7.6	5.6	11.5	9.4	5.5	5.2	1.3	1.6
Timor-Leste	38.7	36.1	54.6	48.5	12	7.7	2.7	1.6
Togo	17.1	15.1	28.2	26.9	7.6	5.6	1.6	1.4
Tonga	..	..	..	..	..	..	..	..
Trinidad and Tobago	6.1	3.8	12.2	6.4	5.7	7.1	2	2.2
Tunisia	1.8	1.3	8	8.8	2.1	2.1	0.9	1
Turkey	2.3	2.3	11.1	8.7	1.6	2.2	0.5	0.5
Turkmenistan	3.2	3.2	11.5	11.4	4.4	3.9	1.3	1
Turks and Caicos Islands	..	..	..	..	..	..	..	..
Tuvalu	..	..	..	..	..	..	..	..
Uganda	11.3	9.4	30.9	26.9	4.1	2.9	1.6	1
Ukraine	..	..	..	..	..	..	..	..
United Arab Emirates	..	..	..	..	..	..	..	..
United Kingdom	..	..	..	..	..	..	..	..
United States	..	..	..	..	..	..	..	..
Uruguay	..	..	..	..	..	..	..	..
Uzbekistan	3.1	2.7	11.5	10.1	2	1.6	0.2	0.4
Vanuatu	13	10.3	33.2	24.5	5.5	4	1.9	1.1
Venezuela, RB	..	..	..	..	..	..	..	..
Vietnam	..	..	..	..	..	..	..	..
Virgin Islands (U.S.)	..	..	..	..	..	..	..	..
West Bank and Gaza	1.6	1.1	8.1	6.6	1.2	1.2	0.3	0.3
Yemen, Rep.	40.9	39	47.5	45.3	17.9	14.8	5.9	4.8
Zambia	13.5	10.2	38.3	31	4.8	3.7	1.6	1.4
Zimbabwe	10.3	9	26.7	20.4	3	2.8	0.4	0.3
World	..	..	..	..	..	..	..	..
East Asia & Pacific	..	..	..	..	..	..	..	..
Europe & Central Asia	..	..	..	..	..	..	..	..
Latin America & Caribbean	..	..	..	..	..	..	..	..
Middle East & North Africa	..	..	..	..	..	..	..	..
North America	..	..	..	..	..	..	..	..
South Asia	..	..	..	..	..	..	..	..
Sub-Saharan Africa	..	..	..	..	..	..	..	..
Low income	..	..	..	..	..	..	..	..
Lower middle income	..	..	..	..	..	..	..	..
Upper middle income	..	..	..	..	..	..	..	..
High income	..	..	..	..	..	..	..	..
