Country	exports (2010)	exports (2019)
Liberia	..	..
Libya	0	..
Liechtenstein	..	..
Lithuania	2.3	3
Luxembourg	3	1.5
Madagascar	3.2	2.3
Malawi	3.3	1.6
Malaysia	2.6	1.3
Maldives	0	0
Mali	48	23.1
Malta	0.1	0.2
Marshall Islands	..	..
Mauritania	0	0
Mauritius	0.5	1.2
Mexico	0.4	0.2
Micronesia, Fed. Sts.	..	..
Moldova	1	0.6
Monaco	..	..
Mongolia	..	5.4
Montenegro	6.5	7.3
Morocco	1.7	1
Mozambique	4.4	0.6
Myanmar	8.8	1.9
Namibia	0.7	1.2
Nepal	3.9	3.8
Netherlands	2.7	3
New Caledonia	0.1	..
New Zealand	10.7	11.5
Nicaragua	1.2	0.8
Niger	2.8	..
Nigeria	1.6	0.1
North Macedonia	0.5	0.4
Northern Mariana Islands	..	..
Norway	0.5	0.7
Oman	0	0
Pakistan	1.8	0.9
Palau	0.9	0.2
Panama	2.4	..
Papua New Guinea	4.8	..
Paraguay	2.1	1.5
Peru	1.3	0.9
Philippines	0.7	0.7
Poland	1.2	1
Portugal	3.1	2.3
Puerto Rico	..	..
Qatar	0	0
Romania	2	1.2
Russian Federation	2.1	2.2
Rwanda	3	..
Samoa	0.4	0.2
San Marino	..	..
Sao Tome and Principe	0.7	0.1
Saudi Arabia	0	0.1
Senegal	1.5	1.3
Serbia	..	..
Seychelles	0	0
Sierra Leone	..	14
Singapore	0.3	0.5
Sint Maarten (Dutch part)	..	..
Slovak Republic	1.3	0.8
Slovenia	1.9	2
Solomon Islands	60.7	73.7
Somalia	..	..
South Africa	1.8	2.3
South Sudan	..	..
Spain	1.1	1
Sri Lanka	3.9	2.6
St. Kitts and Nevis	0	0.1
St. Lucia	0.2	0.1
St. Martin (French part)	..	..
St. Vincent and the Grenadines	0	0.1
Sudan	1.1	..
Suriname	0.5	15.4
Sweden	4.1	3.8
Switzerland	0.3	0.2
Syrian Arab Republic	1.7	..
Tajikistan	..	..
Tanzania	7.4	1.4
Thailand	5.3	3.2
Timor-Leste	..	25.1
Togo	3.9	12.3
Tonga	2	..
Trinidad and Tobago	0	..
Tunisia	0.5	0.5
Turkey	0.4	0.5
Turkmenistan	..	..
Turks and Caicos Islands	0.3	..
Tuvalu	..	..
Uganda	7.2	4.6
Ukraine	1.1	2
United Arab Emirates	0.1	0.1
United Kingdom	0.7	0.5
United States	2.6	2
Uruguay	8.7	16.3
Uzbekistan	..	4.5
Vanuatu	1.6	..
Venezuela, RB	0	..
Vietnam	3.4	0.9
Virgin Islands (U.S.)	..	..
West Bank and Gaza	2	..
Yemen, Rep.	0.3	..
Zambia	1.4	1.3
Zimbabwe	8.8	2.9
World	1.6	1.5
East Asia & Pacific	1.5	1
Europe & Central Asia	1.4	1.4
Latin America & Caribbean	2	2.5
Middle East & North Africa	0.3	0.2
North America	3	2.5
South Asia	2.1	1
Sub-Saharan Africa	3	2.1
Low income	5.6	..
Lower middle income	2.1	1.6
Upper middle income	1.5	1.4
High income	1.6	1.3
