Country	Coal	Natural gas	Oil	Hydropower	Renewable sources	Nuclear power
Iceland	0	0	0	73.3	26.7	0
India	75.3	4.9	1.7	10	5.4	2.8
Indonesia	55.8	25.2	8.4	5.9	4.8	0
Iran, Islamic Rep.	0.2	79.3	14.4	5	0.1	1.6
Iraq	0	24.4	25.7	3.7	0	0
Ireland	17.3	44	1.4	2.9	25.1	0
Isle of Man	..	..	..	..	..	..
Israel	45.4	51.6	0.7	0	1.9	0
Italy	16.1	39.4	4.8	16.2	22.5	0
Jamaica	0	0	89.7	3.1	7.1	0
Japan	33.2	39.6	7.5	8.2	7.8	0.9
Jordan	0	48.4	50.6	0.3	0.7	0
Kazakhstan	71.6	18.4	1.2	8.7	0.2	0
Kenya	0	0	12.5	39.2	48.3	0
Kiribati	..	..	..	..	..	..
Korea, Dem. Peopleâ€™s Rep.	21.3	0	5.9	72.8	0	0
Korea, Rep.	43.1	22.4	2.3	0.4	1.5	30
Kosovo	97.5	0	0.2	2.3	0	0
Kuwait	0	36.4	63.6	0	0	0
Kyrgyz Republic	13.2	1.3	0.3	85.2	0	0
Lao PDR	..	..	..	..	..	..
Latvia	0	49.8	0	33.6	16.6	0
Lebanon	0	0	97.4	2.6	0	0
Lesotho	..	..	..	..	..	..
Liberia	..	..	..	..	..	..
Libya	0	53.7	46.3	0	0	0
Liechtenstein	..	..	..	..	..	..
Lithuania	0	46.5	6.5	8.2	31.2	0
Luxembourg	0	62.7	0	7.4	24.9	0
North Macedonia	58.4	3.2	2.5	33	2.9	0
Madagascar	..	..	..	..	..	..
Malawi	..	..	..	..	..	..
Malaysia	42.3	46.6	1.2	9.3	0.7	0
Maldives	..	..	..	..	..	..
Mali	..	..	..	..	..	..
Malta	0	0	92.3	0	7.7	0
Marshall Islands	..	..	..	..	..	..
Mauritania	..	..	..	..	..	..
Mauritius	39.4	0	37.8	4.1	18.7	0
Mexico	10.9	59.9	10.1	9.9	5.5	3.7
Micronesia, Fed. Sts.	..	..	..	..	..	..
Moldova	0	94.5	0.1	5.1	0.3	0
Monaco	..	..	..	..	..	..
Mongolia	92.7	0	4.2	0	3.1	0
Montenegro	50.3	0	0	49.7	0	0
Morocco	55.5	18.8	7.2	6.1	8.2	0
Mozambique	0	12.8	0.8	86.4	0	0
Myanmar	1.8	39	0.3	58.9	0	0
Namibia	0.5	0	1.8	97.8	0	0
Nepal	0	0	0	99.8	0.2	0
Netherlands	38.7	42.3	1.3	0.1	12.4	3.5
New Caledonia	..	..	..	..	..	..
New Zealand	4.3	15.5	0	55.5	24.6	0
Nicaragua	0	0	49.9	6.4	43.6	0
Niger	41.6	0	57.6	0	0.8	0
Nigeria	0	81.8	0	18.2	0	0
Northern Mariana Islands	..	..	..	..	..	..
Norway	0.1	1.8	0	95.8	1.9	0
Oman	0	97.4	2.6	0	0	0
Pakistan	0.1	25.7	37.2	30.7	0.8	4.8
Palau	..	..	..	..	..	..
Panama	6.9	0	27.8	60.8	4.6	0
Papua New Guinea	..	..	..	..	..	..
Paraguay	0	0	0	100	0	0
Peru	0.8	45	1.4	49.1	3.6	0
Philippines	44.5	22.9	7.1	10.5	14.9	0
Poland	80.9	3.9	1.3	1.1	12.7	0
Portugal	28.7	20.6	2.6	16.9	30.6	0
Puerto Rico	..	..	..	..	..	..
Qatar	0	100	0	0	0	0
Romania	27.6	14.2	0.7	25.2	14.5	17.9
Russian Federation	14.8	49.7	0.9	15.8	0.1	17
Rwanda	..	..	..	..	..	..
Samoa	..	..	..	..	..	..
San Marino	..	..	..	..	..	..
Sao Tome and Principe	..	..	..	..	..	..
Saudi Arabia	0	55.8	20.4	0	0	0
Senegal	0	4.2	83.6	8.6	1.8	0
Serbia	72.4	0.6	0.1	26.8	0.1	0
Seychelles	..	..	..	..	..	..
Sierra Leone	..	..	..	..	..	..
Singapore	1.2	95	0.7	0	1.8	0
Sint Maarten (Dutch part)	..	..	..	..	..	..
Slovak Republic	12.5	6	1.4	14.5	8.2	56.9
Slovenia	29.6	2.7	0.1	25.7	3.7	38.1
Solomon Islands	..	..	..	..	..	..
Somalia	..	..	..	..	..	..
South Africa	92.7	0	0.1	0.3	1.9	5.5
South Sudan	0	0	99.4	0	0.6	0
Spain	19	18.9	6.2	10.1	24.8	20.6
Sri Lanka	33.7	0	17.8	45.3	3.2	0
St. Kitts and Nevis	..	..	..	..	..	..
St. Lucia	..	..	..	..	..	..
St. Martin (French part)	..	..	..	..	..	..
St. Vincent and the Grenadines	..	..	..	..	..	..
Sudan	0	0	22.6	64.5	0	0
Suriname	0	0	39.9	60.1	0	0
Sweden	0.7	0.3	0.2	46.5	16.8	34.7
Switzerland	0	1	0.1	57.9	4.3	34.9
Syrian Arab Republic	0	68.6	29.1	2.3	0	0
Tajikistan	1.5	0	0	98.5	0	0
Tanzania	0	43.9	21.9	33.5	0.7	0
Thailand	19.5	71.4	0.6	2.7	5.9	0
Timor-Leste	..	..	..	..	..	..
Togo	0	0	24.7	69.1	6.2	0
Tonga	..	..	..	..	..	..
Trinidad and Tobago	0	99.8	0.2	0	0	0
Tunisia	0	91.4	4.6	0.4	2.5	0
Turkey	29.1	37.9	0.8	25.6	6.3	0
Turkmenistan	0	100	0	0	0	0
Turks and Caicos Islands	..	..	..	..	..	..
Tuvalu	..	..	..	..	..	..
Uganda	..	..	..	..	..	..
Ukraine	34.6	6.2	0.5	3.3	1.1	48.6
United Arab Emirates	0	98.5	1.2	0	0.2	0
United Kingdom	22.8	29.7	0.6	1.9	23	20.9
United States	34.2	31.9	0.9	5.8	7.4	19.3
Uruguay	0	0	11.4	60.2	28.4	0
Uzbekistan	4.1	75	0.3	20.7	0	0
Vanuatu	..	..	..	..	..	..
Venezuela, RB	0	19.4	16.9	63.7	0	0
Vietnam	29.6	33.2	0.5	36.6	0.1	0
Virgin Islands (U.S.)	..	..	..	..	..	..
West Bank and Gaza	..	..	..	..	..	..
Yemen, Rep.	0	39.8	60.2	0	0	0
Zambia	0	0	3	97	0	0
Zimbabwe	46.8	0	0.5	51.4	1.3	0
World	39.2	2020.8	2020.3	2020.9	2020.8	2020.1
East Asia & Pacific	59.4	2020.5	2020.7	2020.2	5	2020.9
Europe & Central Asia	23.2	24.3	1.4	16.2	11.8	16.1
Latin America & Caribbean	6.7	27.2	9.9	44	7.6	0.7
Middle East & North Africa	3.2	67.1	18.6	2.3	0.5	0
North America	30.9	29	0.9	12.7	7.2	18.8
South Asia	66.1	9.1	4.8	11.5	4.8	2.8
Sub-Saharan Africa	50.6	9.5	4	20.5	2.4	3
Low income	2.2	11.1	9.4	47	0.5	0
Lower middle income	45.2	20.3	5.5	13.3	3.9	5
Upper middle income	49.8	2020.9	2020.9	2020.9	2020.3	0.1
High income	28.8	27.8	3	11.7	9.7	17.3
