Country	Total (1990)	Total (2018)	% Total (1990)	% Total (2018)
Slovenia	1007	1131	50	55
Solomon Islands	43	155	14	24
Somalia	2143	6749	30	45
South Africa	19150	38340	52	66
South Sudan	729	2153	13	20
Spain	29287	37588	75	80
Sri Lanka	3211	4004	19	18
St. Kitts and Nevis	14	16	35	31
St. Lucia	41	34	29	19
St. Martin (French part)	..	..	..	..
St. Vincent and the Grenadines	45	58	41	52
Sudan	5764	14481	29	35
Suriname	266	381	66	66
Sweden	7112	8896	83	87
Switzerland	4965	6283	74	74
Syrian Arab Republic	6090	9157	49	54
Tajikistan	1673	2469	32	27
Tanzania	4759	19022	19	34
Thailand	16642	34679	29	50
Timor-Leste	154	388	21	31
Togo	1079	3290	29	42
Tonga	22	24	23	23
Trinidad and Tobago	661	739	54	53
Tunisia	4776	7974	58	69
Turkey	31923	61858	59	75
Turkmenistan	1661	3019	45	52
Turks and Caicos Islands	9	35	74	93
Tuvalu	4	7	41	62
Uganda	1922	10157	11	24
Ukraine	34641	30947	67	69
United Arab Emirates	1445	8333	79	87
United Kingdom	44733	55427	78	83
United States	187966	268720	75	82
Uruguay	2767	3288	89	95
Uzbekistan	8484	16636	41	50
Vanuatu	27	74	19	25
Venezuela, RB	16547	25466	84	88
Vietnam	13773	34317	20	36
Virgin Islands (U.S.)	91	102	88	96
West Bank and Gaza	1339	3480	68	76
Yemen, Rep.	2451	10442	21	37
Zambia	3167	7552	39	44
Zimbabwe	3024	4651	29	32
World	2271139	4195080	43	55
East Asia & Pacific	618773	1374809	34	59
Europe & Central Asia	567662	661536	68	72
Latin America & Caribbean	312289	516335	71	81
Middle East & North Africa	139667	293463	55	65
North America	209232	298953	75	82
South Asia	284109	616754	25	34
Sub-Saharan Africa	139407	433229	27	40
Low income	74941	214250	25	33
Lower middle income	521947	1126269	30	39
Upper middle income	915753	1859597	42	66
High income	758498	994964	74	81
