Country	imports (2010)	imports (2019)
Mauritania	52.9	67.4
Mauritius	56.4	57.4
Mexico	79.5	74.1
Micronesia, Fed. Sts.	..	..
Moldova	62.3	66.2
Monaco	..	..
Mongolia	..	65.8
Montenegro	61	66.8
Morocco	58.8	67.6
Mozambique	49.6	54.7
Myanmar	54.3	64.8
Namibia	72.6	59.1
Nepal	62.1	60.8
Netherlands	57.4	67.7
New Caledonia	56.6	..
New Zealand	70.9	74.2
Nicaragua	60.8	69.5
Niger	69.4	..
Nigeria	86.4	57.5
North Macedonia	61.7	62
Northern Mariana Islands	..	..
Norway	75.8	77
Oman	74.6	72.4
Pakistan	48.5	51.7
Palau	45.3	50.8
Panama	89.8	..
Papua New Guinea	75.9	..
Paraguay	79.4	76.3
Peru	72.5	70
Philippines	67.3	73.8
Poland	74.1	76.5
Portugal	67.4	71.3
Puerto Rico	..	..
Qatar	83.9	79.4
Romania	75.2	78.5
Russian Federation	74.5	83.3
Rwanda	75.7	..
Samoa	54	49.5
San Marino	..	..
Sao Tome and Principe	52	46.5
Saudi Arabia	77.7	71.5
Senegal	44.4	50.4
Serbia	..	..
Seychelles	46.6	63.2
Sierra Leone	..	64.2
Singapore	65.7	71.8
Sint Maarten (Dutch part)	..	..
Slovak Republic	75.7	82.6
Slovenia	69.6	74.9
Solomon Islands	51.8	60
Somalia	..	..
South Africa	65.1	63.1
South Sudan	..	..
Spain	65.3	67.2
Sri Lanka	64.5	66.6
St. Kitts and Nevis	73.6	71.1
St. Lucia	60	57.3
St. Martin (French part)	..	..
St. Vincent and the Grenadines	53.3	57.2
Sudan	65.6	..
Suriname	63.6	49
Sweden	69.3	70.5
Switzerland	80.7	86.5
Syrian Arab Republic	54.1	..
Tajikistan	..	..
Tanzania	60.4	69.5
Thailand	70	69.8
Timor-Leste	..	46.6
Togo	66.8	64.3
Tonga	44.8	..
Trinidad and Tobago	49.8	..
Tunisia	72.3	70.4
Turkey	63.3	61.3
Turkmenistan	..	..
Turks and Caicos Islands	41.6	..
Tuvalu	15.5	..
Uganda	65.1	63
Ukraine	53	63.5
United Arab Emirates	79.5	81.2
United Kingdom	65.9	74.1
United States	70.1	78.2
Uruguay	67.1	68.6
Uzbekistan	..	80
Vanuatu	58.6	..
Venezuela, RB	81.1	..
Vietnam	72.9	76.8
Virgin Islands (U.S.)	..	..
West Bank and Gaza	44	..
Yemen, Rep.	46.7	..
Zambia	61.9	69.4
Zimbabwe	59.9	59.3
World	67.8	71
East Asia & Pacific	64.5	66.2
Europe & Central Asia	68.4	73
Latin America & Caribbean	75.9	74.3
Middle East & North Africa	69.9	72.4
North America	71.2	78.2
South Asia	51.4	53.7
Sub-Saharan Africa	67.8	62
Low income	57.4	..
Lower middle income	60.1	60.1
Upper middle income	67.4	67
High income	68.7	73.9
