Country	Total_2000	Total_2018	Youth_2000	Youth_2018
India	54.3	46.8	36.8	21.3
Indonesia	63.2	64.5	43	39.7
Iran, Islamic Rep.	39.2	39.5	25.7	20.2
Iraq	38.6	37.3	29.5	20.4
Ireland	59.8	58.8	61.5	40.4
Isle of Man	..	..	..	..
Israel	54.4	61.5	48.6	44.6
Italy	42.5	44.4	26	17.7
Jamaica	56.5	59.8	29	25.4
Japan	59.6	60.4	42.3	45.7
Jordan	36.3	33.5	19.8	14.9
Kazakhstan	61.9	65.7	42.4	38.9
Kenya	69	72.5	45.7	40.3
Kiribati	..	..	..	..
Korea, Dem. Peopleâ€™s Rep.	79.8	78.2	71.3	70.5
Korea, Rep.	58.4	60.5	31.2	27.1
Kosovo	..	..	..	..
Kuwait	67	71.9	25.5	22.3
Kyrgyz Republic	59.5	56.4	42	34.1
Lao PDR	78.5	77.9	67.8	59
Latvia	48.1	57.2	30.2	34.7
Lebanon	42.4	44.2	24.5	24.5
Lesotho	47.6	51.6	32.7	28.4
Liberia	72.7	74.1	54.7	54.8
Libya	36.2	40.5	9.6	8.5
Liechtenstein	..	..	..	..
Lithuania	50.5	58	26.6	33.4
Luxembourg	52.1	55.9	31.8	28.5
Madagascar	81.6	84.6	68.7	72.3
Malawi	73.3	72.3	50.4	57
Malaysia	59.8	62	38.8	36.6
Maldives	53.2	64.8	37.2	49.1
Mali	66	65.8	53.6	50.7
Malta	46.7	54.6	52.8	49.3
Marshall Islands	..	..	..	..
Mauritania	45.5	41.5	36.8	21.4
Mauritius	53.5	54.6	36.2	31.5
Mexico	58.4	58.7	49.5	41.5
Micronesia, Fed. Sts.	..	..	..	..
Moldova	46.7	42.1	20.4	19.3
Monaco	..	..	..	..
Mongolia	56.4	56.1	36	23.8
Montenegro	33.9	46.2	11.9	23.7
Morocco	43.2	41.3	30.8	20.8
Mozambique	82.9	75.7	67.1	57.9
Myanmar	70.8	61	75.5	49
Namibia	43.8	47.3	18.5	18.2
Nepal	84.2	82.6	79	74.5
Netherlands	61.1	61.4	68.4	63.9
New Caledonia	55.8	55.1	26.7	29.6
New Zealand	60.7	67	54.2	56.5
Nicaragua	57.1	62.9	45.8	45.2
Niger	78	71.9	65.8	61.3
Nigeria	57.7	48.7	27.3	25.5
North Macedonia	36.1	43.8	16.1	17.2
Northern Mariana Islands	..	..	..	..
Norway	64.6	61.5	58.6	49.2
Oman	52.2	69.9	31.2	37.4
Pakistan	50.7	50.3	40.9	38.3
Palau	..	..	..	..
Panama	60.6	64	46.6	40.1
Papua New Guinea	69.9	46.2	56.3	34.2
Paraguay	63.2	68.8	53	52.8
Peru	63.5	74.7	48	56.2
Philippines	60.2	58.2	41	34.8
Poland	47.1	54.8	23.2	31.6
Portugal	58.5	55	41.1	27.6
Puerto Rico	41.7	36.3	27.8	16.3
Qatar	75.9	86.6	46	63.7
Romania	59.9	52.7	35.4	25.1
Russian Federation	54.8	59.2	34.6	27.5
Rwanda	85	82.8	75.6	62.9
Samoa	43.6	40.2	30.2	26.1
San Marino	..	..	..	..
Sao Tome and Principe	47.2	50.4	30.4	27.9
Saudi Arabia	47.6	52.1	15	13.6
Senegal	48.6	42.7	38.1	26.1
Serbia	49.1	48.1	31.1	20.5
Seychelles	..	..	..	..
Sierra Leone	61.9	55.4	38.6	25.9
Singapore	63.6	67.8	39.8	37.9
Sint Maarten (Dutch part)	..	..	..	..
Slovak Republic	48.4	55.9	28.4	27.6
Slovenia	53.4	55.9	31.3	35.1
Solomon Islands	82.1	83.3	69.9	69.7
Somalia	43.6	42	27.7	28.2
South Africa	38.6	40.9	16.1	11.8
South Sudan	64.9	63.5	53.4	49.6
Spain	45.6	48.9	32.4	22.1
Sri Lanka	52.5	51.9	33.5	24
St. Kitts and Nevis	..	..	..	..
St. Lucia	53.3	53	37.7	27.9
St. Martin (French part)	..	..	..	..
St. Vincent and the Grenadines	51.3	53.4	32.9	29.1
Sudan	43.2	40.3	24.7	18.4
Suriname	43.8	47.6	19	22.6
Sweden	59	60.4	47.4	45.7
Switzerland	65.6	65.2	65	62.7
Syrian Arab Republic	45.5	40.6	34.6	23.5
Tajikistan	36	37.3	17.9	21.3
Tanzania	84.5	81.9	74.9	69
Thailand	71.4	67.1	49.3	39.8
Timor-Leste	70.2	64.4	46.3	36.9
Togo	76.9	76.1	62.4	59.9
Tonga	56.7	59.1	34.7	35.2
Trinidad and Tobago	59	58.8	47.6	37.6
Tunisia	40.1	39.2	24.8	21.2
Turkey	45.6	47.2	37.6	35.7
Turkmenistan	55.1	62.1	34.6	41.7
Turks and Caicos Islands	..	..	..	..
Tuvalu	..	..	..	..
Uganda	68.3	69.1	52.6	50.7
Ukraine	50.3	49.6	32	27.1
United Arab Emirates	74.3	80.3	45.1	49.6
United Kingdom	58	60.2	55.9	50.3
United States	63.8	59.9	56.9	47.4
Uruguay	54.4	58.6	41.6	36.1
Uzbekistan	54.8	61.3	34.3	41.1
Vanuatu	65.7	66.9	49.7	50.4
Venezuela, RB	54.6	55.8	35.8	29.1
Vietnam	74.6	76	62.4	53.6
Virgin Islands (U.S.)	58.6	55.6	31.3	25.5
West Bank and Gaza	36.5	32.1	24.4	17.6
Yemen, Rep.	40.7	33.1	29.4	20.2
Zambia	69	66.1	53.1	42.5
Zimbabwe	75	78.8	64.7	68
World	60.9	57.6	45.7	35.8
East Asia & Pacific	71	65.1	57.5	41.7
Europe & Central Asia	51.8	54.5	36.2	34.4
Latin America & Caribbean	57.2	58.9	44.7	40.2
Middle East & North Africa	41.3	42.9	25.6	20.8
North America	63.5	60	56.8	48.3
South Asia	54.4	48.6	38.5	26.2
Sub-Saharan Africa	65.2	62.8	46.8	43.1
Low income	66.6	63.9	51.7	47.4
Lower middle income	56.4	52	40.3	30.2
Upper middle income	65.8	61.4	50.9	37.7
High income	56.6	57.7	43.3	40.5
