Country	GDP (2010)	GDP (2019)
Kuwait	47	54.1
Kyrgyz Republic	49.3	50.2
Lao PDR	43.6	42.7
Latvia	64.4	64.1
Lebanon	71.9	75.9
Lesotho	54.6	51.4
Liberia	50.2	48.9
Libya	..	..
Liechtenstein	..	51
Lithuania	60.7	61.6
Luxembourg	78.3	79.2
Madagascar	53.3	52.4
Malawi	47.9	54.4
Malaysia	48.5	54.2
Maldives	77.7	67.9
Mali	35.5	33.1
Malta	68.7	75.8
Marshall Islands	71.3	71.1
Mauritania	39.9	45.7
Mauritius	62.9	67.3
Mexico	60.4	60.5
Micronesia, Fed. Sts.	60.7	66.8
Moldova	54.5	54.2
Monaco	87.1	86.9
Mongolia	44.8	39
Montenegro	58.6	59.2
Morocco	51	50
Mozambique	47	43.2
Myanmar	36.7	40.7
Namibia	57.2	59.3
Nepal	46.4	50.6
Netherlands	68.4	69.8
New Caledonia	..	..
New Zealand	64.4	65.2
Nicaragua	51.7	49.7
Niger	36.4	38.1
Nigeria	50.8	49.7
North Macedonia	55.1	54.6
Northern Mariana Islands	..	..
Norway	52.7	57.7
Oman	28.2	52.6
Pakistan	52.8	53.9
Palau	77.7	79
Panama	72.9	65
Papua New Guinea	44.1	41.5
Paraguay	45.3	50.4
Peru	48.9	53.7
Philippines	53.9	61
Poland	56.2	56.9
Portugal	66.1	65.5
Puerto Rico	48.6	49.6
Qatar	26.7	46.5
Romania	46.4	58.2
Russian Federation	53.1	54
Rwanda	49.9	49.3
Samoa	71.8	74.8
San Marino	..	..
Sao Tome and Principe	67.1	71.8
Saudi Arabia	39.2	50.4
Senegal	52.8	51.4
Serbia	51.7	51.2
Seychelles	68.5	72.1
Sierra Leone	35.3	32.8
Singapore	67.8	70.4
Sint Maarten (Dutch part)	77.8	81.2
Slovak Republic	58.2	58.1
Slovenia	58.8	56.9
Solomon Islands	..	..
Somalia	..	..
South Africa	61	61.2
South Sudan	33.6	..
Spain	66.3	67.9
Sri Lanka	54.6	58.2
St. Kitts and Nevis	67.4	67.8
St. Lucia	73.9	75.2
St. Martin (French part)	..	..
St. Vincent and the Grenadines	63.2	62.6
Sudan	41.1	32.3
Suriname	48.2	50.2
Sweden	62.8	65.2
Switzerland	70	70.9
Syrian Arab Republic	..	..
Tajikistan	45.1	42.1
Tanzania	43.3	37.9
Thailand	49.6	58.6
Timor-Leste	68.9	67.5
Togo	56.3	28.6
Tonga	..	..
Trinidad and Tobago	45.5	55.1
Tunisia	56.7	59.2
Turkey	54.3	55.9
Turkmenistan	28.1	..
Turks and Caicos Islands	83.4	74.4
Tuvalu	..	..
Uganda	38	43.3
Ukraine	55.1	54.4
United Arab Emirates	46.7	53.1
United Kingdom	70.6	71.3
United States	76.2	77.4
Uruguay	58.2	60.9
Uzbekistan	35.9	32.2
Vanuatu	..	..
Venezuela, RB	39	..
Vietnam	36.9	41.6
Virgin Islands (U.S.)	..	..
West Bank and Gaza	60.9	..
Yemen, Rep.	27.4	14.3
Zambia	52.8	50
Zimbabwe	57.8	61.3
World	63.2	61.2
East Asia & Pacific	57	60.5
Europe & Central Asia	64.1	64.7
Latin America & Caribbean	55.8	60.6
Middle East & North Africa	47.2	51.2
North America	75.2	77.4
South Asia	46.6	50.7
Sub-Saharan Africa	50.4	50.9
Low income	39.2	37.7
Lower middle income	47.1	50.6
Upper middle income	49.7	55.7
High income	69	69.8
