Country	% 1990	% 2014
South Africa	22.2	12.6
South Sudan	..	0.7
Spain	20.3	14.3
Sri Lanka	10.9	5.9
St. Kitts and Nevis	..	..
St. Lucia	..	..
St. Martin (French part)	..	..
St. Vincent and the Grenadines	..	..
Sudan	12.7	13.1
Suriname	..	3.5
Sweden	22.8	17.4
Switzerland	16	13.6
Syrian Arab Republic	10.9	13.5
Taiwan, China	..	..
Tajikistan	0	1.5
Tanzania	20.4	15.5
Thailand	18.2	20.9
Timor-Leste	..	..
Togo	3.4	9.3
Tonga	..	..
Trinidad and Tobago	21.6	22.4
Tunisia	27.8	21.3
Turkey	25.7	14.6
Turkmenistan	1.6	3.5
Turks and Caicos Islands	..	..
Tuvalu	..	..
Uganda	..	..
Ukraine	28.3	23.5
United Arab Emirates	51.3	36.9
United Kingdom	14	9.6
United States	12.6	8.7
Uruguay	15.6	12.8
Uzbekistan	0	13.7
Vanuatu	..	..
Venezuela, RB	25.1	27.6
Vietnam	32.6	33.8
Virgin Islands (U.S.)	..	..
West Bank and Gaza	..	..
Yemen, Rep.	0	2020.8
Zambia	50.4	46.7
Zimbabwe	29.2	9
World	20	20
East Asia & Pacific	30.7	27.7
Europe & Central Asia	17.8	13.3
Latin America & Caribbean	22.4	18.5
Middle East & North Africa	21.1	18.4
North America	13	9
South Asia	27.8	25.8
Sub-Saharan Africa	21.7	13
Low income	48.4	28.2
Lower middle income	25.4	23
Upper middle income	23	25.2
High income	16.9	12.8
