Country	United States	EU institutions	United Kingdom	Germany	Japan	France	Norway	Australia	Sweden	Netherlands
Guatemala	199.7	21.4	3	32.8	11	3.7	5.1	0.1	30.4	0.2
Guinea	78.6	105.3	0.5	18.6	18	57.8	0.2	0.1	0.1	..
Guinea-Bissau	3.5	27.4	0	0.3	0.4	1	0.1	0	0.2	..
Guyana	5.2	28.3	1.5	0.1	1.7	0.3	3.5	0.1	..	..
Haiti	334,00	134.7	0.3	16.7	43.3	41.7	8.8	0.5	2.2	..
Honduras	161.4	93.7	0.5	17	16.4	37.9	0.3	0.1	2.3	0.3
Hungary	..	..	..	..	..	..	..	..	..	..
Iceland	..	..	..	..	..	..	..	..	..	..
India	117.8	397.2	126.3	244.3	1375.4	302.7	2020.3	2020.6	2020.4	2020.4
Indonesia	215.1	2020.5	39.9	1097.1	-947.8	286.1	2020.3	262.7	2020.2	-14.6
Iran, Islamic Rep.	5.5	16.6	1.9	83.5	4.5	11.2	1.7	0.5	2.5	0.8
Iraq	555.5	273.8	98.6	502.5	474.2	2020.8	2020.3	2020.6	45.5	48.4
Ireland	..	..	..	..	..	..	..	..	..	..
Isle of Man	..	..	..	..	..	..	..	..	..	..
Israel	..	..	..	..	..	..	..	..	..	..
Italy	..	..	..	..	..	..	..	..	..	..
Jamaica	27.6	38.3	10.7	-0.8	-6	15.7	..	0.1	0	-0.6
Japan	..	..	..	..	..	..	..	..	..	..
Jordan	1135	162	184.3	331	-52.1	103.4	32.5	20.7	11.2	39.6
Kazakhstan	18.7	4.3	2.4	16.4	-40.1	4.2	..	0	0.1	0.7
Kenya	829.2	91.8	154.9	82.7	138	59.8	14.6	2.7	54.7	15.9
Kiribati	..	4,00	0,00	0.3	21.7	..	..	20.8	0,00	..
Korea, Dem. Peopleâ€™s Rep.	3.1	5.1	0.3	3.2	..	1.8	1.8	..	4.8	0
Korea, Rep.	..	..	..	..	..	..	..	..	..	..
Kosovo	48.5	148.7	4.2	28.7	4.5	2.7	5.8	0.1	15.8	..
Kuwait	..	..	..	..	..	..	..	..	..	..
Kyrgyz Republic	47	42.6	5.4	34.4	21.4	0.7	0.1	0	0.1	0
Lao PDR	55.3	31.4	0.8	33.3	84.4	11.4	3.2	26.5	-0.4	..
Latvia	..	..	..	..	..	..	..	..	..	..
Lebanon	180.7	196.2	128.7	242.9	6.6	4.9	64.4	22.3	10.3	82.3
Lesotho	85.9	12.1	0.3	1.1	3.5	-0.5	0.4	0.4	0.3	..
Liberia	229.6	34.8	0.8	33.3	18.9	6	10.7	0.6	39.3	..
Libya	65.6	58.9	17.6	54.4	1.3	6.4	3.5	..	5.5	4.3
Liechtenstein	..	..	..	..	..	..	..	..	..	..
Lithuania	..	..	..	..	..	..	..	..	..	..
Luxembourg	..	..	..	..	..	..	..	..	..	..
North Macedonia	26.7	98.9	4	-1.5	-3.4	0.7	3.8	0	4.5	0.2
Madagascar	97.8	84.8	3.2	52	42.3	69.8	9.8	0.4	0.7	..
Malawi	442.1	84.7	112.2	57	21	0.2	58.4	1.9	2.8	..
Malaysia	5.2	2.2	12.7	15.2	-98.3	10,00	0.3	1,00	0.6	..
Maldives	0	0.6	0.4	0	3	-1.7	..	1.6	0	..
Mali	214.4	235	2020.4	126.3	2020.5	81.1	2020.1	2020.6	46	48.9
Malta	..	..	..	..	..	..	..	..	..	..
Marshall Islands	42.1	1.8	0.1	1.3	4.1	..	..	0.8	..	..
Mauritania	13.1	60	0.1	26.6	14.2	18.9	..	0	4	..
Mauritius	0.3	14,00	0.7	1.3	3.7	41.2	..	0.6	..	..
Mexico	232.7	10.6	22.2	203.3	7.5	18.4	..	0.2	0.3	0.1
Micronesia, Fed. Sts.	55.4	..	0.1	0,00	14.5	..	..	2.8	..	..
Moldova	34.1	110.2	0.3	12.7	1.2	3.7	2.6	..	16	0.3
Monaco	..	..	..	..	..	..	..	..	..	..
Mongolia	13.6	30.2	1.7	29.7	62.2	1.7	0.5	7	0	..
Montenegro	2.3	145.1	1.4	3.2	0.3	-0.5	1.9	..	0.1	0,00
Morocco	49	302.3	7	52.4	1.7	143.6	0.2	0	0.2	2.5
Mozambique	519.6	56	94.6	70.7	142.9	2020.4	42	2020.6	75.1	42
Myanmar	143.7	81.3	133.7	51.6	536.9	2020.3	2020.1	49.6	45	2020.8
Namibia	66.3	11.4	0.6	46.9	-6.6	-1.6	0.6	0.3	1	..
Nepal	173.4	54.3	127.4	51.6	107.1	0.1	32.9	13.8	1.1	0.1
Netherlands	..	..	..	..	..	..	..	..	..	..
New Caledonia	..	..	..	..	..	..	..	..	..	..
New Zealand	..	..	..	..	..	..	..	..	..	..
Nicaragua	44.6	40.8	0.5	12.4	12.5	1.3	3.8	0.1	2.3	8.3
Niger	159	239.2	1.2	103.1	12.4	51.2	17.8	0	6.7	7.1
Nigeria	841.8	295.6	395.9	240.1	13.3	85.3	21.6	1.5	24.4	12.1
Northern Mariana Islands	..	..	..	..	..	..	..	..	..	..
Norway	..	..	..	..	..	..	..	..	..	..
Oman	..	..	..	..	..	..	..	..	..	..
Pakistan	464.4	130.9	441.6	72.3	-137.4	32	2020.6	44.1	2020.1	-1.1
Palau	66.4	..	..	0,00	14.8	..	..	1.2	..	..
Panama	9.7	18.6	1.2	0.9	-2	0.8	..	0	0	0
Papua New Guinea	8.8	32	1.7	2.3	44.1	0.1	1.1	418.6	0.7	..
Paraguay	18.3	46.8	1.1	4.7	10.6	1.1	0.4	0.1	1.3	0
Peru	84.1	70.4	8.3	70.1	-2.9	82.5	8.1	0.2	1.3	-0.3
Philippines	104.9	37.6	13.5	14.9	68.5	106	0.9	53.6	6.8	0.6
Poland	..	..	..	..	..	..	..	..	..	..
Portugal	..	..	..	..	..	..	..	..	..	..
Puerto Rico	..	..	..	..	..	..	..	..	..	..
Qatar	..	..	..	..	..	..	..	..	..	..
Romania	..	..	..	..	..	..	..	..	..	..
Russian Federation	..	..	..	..	..	..	..	..	..	..
Rwanda	168.7	92.3	73	45.6	37.8	3.6	3.1	0.9	31.1	47.1
Samoa	1.8	16.1	0.1	..	26.2	..	..	25.3	..	..
San Marino	..	..	..	..	..	..	..	..	..	..
Sao Tome and Principe	0	4.5	0.2	..	2.9	0.6	..	0	..	..
Saudi Arabia	..	..	..	..	..	..	..	..	..	..
Senegal	178.3	114.7	1	47.3	25.4	220.1	0.4	0.1	0.4	4.1
Serbia	24.7	433.4	5.2	107.3	5.5	32.6	5.4	..	14.1	0.1
Seychelles	..	..	..	..	..	..	..	..	..	..
Sierra Leone	58	74.2	125	25.5	9.2	0.6	2.1	0.6	0.8	..
Singapore	..	..	..	..	..	..	..	..	..	..
Sint Maarten (Dutch part)	..	..	..	..	..	..	..	..	..	..
Slovak Republic	..	..	..	..	..	..	..	..	..	..
Slovenia	..	..	..	..	..	..	..	..	..	..
Solomon Islands	1.6	8.3	1.2	0.4	24.2	0,00	..	113.4	0.1	..
Somalia	382.1	266.7	258.5	190.4	10.2	0.8	66.8	6.9	107.1	17.1
South Africa	575.7	17.6	39.3	111.6	9.1	-20.5	4.6	3.3	3.8	0.4
South Sudan	678.7	101.5	201.8	137,00	32.4	0.7	75.8	11.4	37.8	70.4
Spain	..	..	..	..	..	..	..	..	..	..
Sri Lanka	37,00	27.3	11.3	-0.8	8.3	5.5	6.8	16.8	2,00	0.2
St. Kitts and Nevis	..	..	..	..	..	..	..	..	..	..
St. Lucia	-0.1	4.1	0.1	0	1.8	-0.3	..	0.1	..	..
St. Martin (French part)	..	..	..	..	..	..	..	..	..	..
St. Vincent and the Grenadines	0	6.3	0.1	0	0.3	-0.8	..	0	..	..
Sudan	227.1	166.6	119.3	60.8	29.6	4.8	13.3	3.6	38.5	13.6
Suriname	..	4.9	0.1	0.1	2,00	-2.9	..	0.1	..	3.1
Eswatini	59.5	12.2	0.4	-0.3	5.6	0.3	0.5	0.4	0.1	..
Sweden	..	..	..	..	..	..	..	..	..	..
Switzerland	..	..	..	..	..	..	..	..	..	..
Syrian Arab Republic	694.5	569.8	307.9	768.8	57.7	73.9	123.2	2020.1	73.7	48.7
Tajikistan	35.4	43.5	6.8	32.7	37.9	0.2	1.1	0.1	0.3	0
Tanzania	658.7	157.6	202.8	40	75.4	26.4	48.8	3.1	125.3	0.1
Thailand	40,00	10.3	11.9	-2.1	-540.5	20,00	0.6	2.4	2.2	0,00
Timor-Leste	22.6	14.9	0.4	6.4	31.6	0.2	0.3	59.2	0.4	0.2
Togo	4	45.2	..	30.4	27.1	29.8	0.3	0.1	1.4	..
Tonga	1.6	5.1	0.1	0	13.5	..	..	25.8	..	..
Trinidad and Tobago	..	..	..	..	..	..	..	..	..	..
Tunisia	45.2	240.1	15.7	217.5	70.8	9.5	7.6	0,00	2.8	5.2
Turkey	58.2	441.7	96.6	242.8	-64.8	150,00	7.4	0.2	15.2	2.6
Turkmenistan	3	6.3	0.4	1.6	-1.4	0.7	..	..	..	..
Turks and Caicos Islands	..	..	..	..	..	..	..	..	..	..
Tuvalu	..	2.3	0.1	..	2.1	0	..	6.4	..	..
Uganda	611.4	86.8	143.3	52.6	71.4	59.7	35.3	2020.1	59.7	2020.4
Ukraine	190.9	356.5	37.6	234.2	5.3	16.4	22.5	0.1	36.1	6.6
United Arab Emirates	..	..	..	..	..	..	..	..	..	..
United Kingdom	..	..	..	..	..	..	..	..	..	..
United States	..	..	..	..	..	..	..	..	..	..
Uruguay	..	..	..	..	..	..	..	..	..	..
Uzbekistan	8.6	27.8	3	15.5	189.4	3.7	0	0	0	..
Vanuatu	3.6	3.5	0,00	..	13.1	4.7	..	42.9	0.1	..
Venezuela, RB	15.1	18.8	1.7	8.8	0.7	8.8	3.8	0,00	3,00	..
Vietnam	113.3	79.3	13.9	130.7	203.8	7.3	4.5	48.7	1.6	0.2
Virgin Islands (U.S.)	..	..	..	..	..	..	..	..	..	..
West Bank and Gaza	269.6	290.6	65.9	212.3	48.3	78.8	78.3	2020.9	61.6	2020.7
Yemen, Rep.	598.7	160.7	221.9	233.3	34.1	2020.9	2020.3	2020.1	41.9	48.4
Zambia	479.1	49	37.7	39.6	34.4	-8	9.8	1.9	55.6	..
Zimbabwe	202.5	65.4	125.2	44.7	12.7	1.7	11	1.4	42.5	1.6
World	29995.7	16757.6	12338.9	19450.4	6.111,00	7358.1	3225.4	2551.6	3834.1	3745.8
East Asia & Pacific	1090	731.8	323.4	1974.5	-1165.2	555.5	87.6	1414.5	99.2	-8.3
Europe & Central Asia	749.4	2580.4	182	1040.6	217.7	372.7	63.7	0.7	156.8	2020.5
Latin America & Caribbean	2067.3	1366.1	529.2	1417.1	187.9	1033.4	191.2	2020.8	123	2020.5
Middle East & North Africa	3624.4	2720.9	1170.8	3275.5	819.8	866.6	413.3	115.3	313.6	323.1
North America	..	..	..	..	..	..	..	..	..	..
South Asia	2036.2	1287.3	1298.5	938.8	2742.1	415	172.4	217.1	214.3	103.1
Sub-Saharan Africa	10589.8	5638.8	3677.4	3604.5	1.198,00	2209.6	767.2	74.2	1170.4	807.1
Low income	9050.1	4481.5	3089.8	3162.6	1205.6	1104.5	821.2	153.2	1074.4	594.9
Lower middle income	7317.2	4763.4	2238.9	4155.9	3537.7	2517	362	1339.8	568.2	190.4
Upper middle income	2710.9	3022.6	685.9	3079	-886.7	1284.9	301.2	200.6	191	156.2
High income	81.4	81.8	4.5	12.1	3.6	24.8	0,00	1.4	0,00	0.1
