Country	Most recent year	Tariff
Marshall Islands	..	..
Mauritania	2015	8.7
Mauritius	2017	0.9
Mexico	2017	1.2
Micronesia, Fed. Sts.	..	..
Moldova	2016	3.5
Monaco	..	..
Mongolia	2017	5.5
Montenegro	2017	3.1
Morocco	2017	3.9
Mozambique	2016	3.6
Myanmar	2015	1.7
Namibia	2017	0.9
Nepal	2016	12.4
Netherlands	2017	1.8
New Caledonia	..	..
New Zealand	2017	1.4
Nicaragua	2017	2.3
Niger	2017	11.9
Nigeria	2016	8.5
Northern Mariana Islands	..	..
Norway	2017	3.1
Oman	2017	1.7
Pakistan	2016	10.1
Palau	..	29.9
Panama	2015	5.4
Papua New Guinea	2013	2.6
Paraguay	2017	4.8
Peru	2017	0.8
Philippines	2017	1.7
Poland	2017	1.8
Portugal	2017	1.8
Puerto Rico	..	..
Qatar	2017	4.2
Romania	2017	1.8
Russian Federation	2017	3.6
Rwanda	2016	7.3
Samoa	2017	10.2
San Marino	..	..
Sao Tome and Principe	..	10.4
Saudi Arabia	2017	4.9
Senegal	2017	12.3
Serbia	..	..
Seychelles	2017	3.7
Sierra Leone	2012	10.3
Singapore	2017	0.1
Sint Maarten (Dutch part)	..	..
Slovak Republic	2017	1.8
Slovenia	2017	1.8
Solomon Islands	2017	18.5
Somalia	..	..
South Africa	2017	4.6
South Sudan	..	..
Spain	2017	1.8
Sri Lanka	2017	8.7
St. Kitts and Nevis	2017	21.1
St. Lucia	2016	9.3
St. Martin (French part)	..	..
St. Vincent and the Grenadines	2017	8.9
Sudan	..	12
Suriname	2013	7.6
Eswatini	2017	0.7
Sweden	2017	1.8
Switzerland	2017	1.7
Syrian Arab Republic	..	14.2
Tajikistan	2017	5
Tanzania	2016	8.6
Thailand	2015	3.5
Timor-Leste	..	2.5
Togo	2017	13.4
Tonga	2017	5.5
Trinidad and Tobago	2013	8.6
Tunisia	2016	9.4
Turkey	2017	3.5
Turkmenistan	..	..
Turks and Caicos Islands	..	..
Tuvalu	..	2.4
Uganda	2016	7.3
Ukraine	2017	1.9
United Arab Emirates	2017	4.8
United Kingdom	2017	1.8
United States	2017	1.7
Uruguay	2017	6.3
Uzbekistan	..	8.7
Vanuatu	2017	8.3
Venezuela, RB	2017	11
Vietnam	2017	2.7
Virgin Islands (U.S.)	..	..
West Bank and Gaza	..	..
Yemen, Rep.	2017	5
Zambia	2016	6.2
Zimbabwe	2016	5
World	2017	2.6
East Asia & Pacific	2017	2.5
Europe & Central Asia	2017	2.7
Latin America & Caribbean	2017	3.5
Middle East & North Africa	2017	4.9
North America	..	..
South Asia	2017	5.9
Sub-Saharan Africa	2017	5.7
Low income	2017	9.8
Lower middle income	..	..
Upper middle income	2017	3.7
High income	2017	2
