Country	imports (2010)	imports (2019)
St. Vincent and the Grenadines	22.2	26.3
Sudan	25.9	..
Suriname	15.2	13.2
Sweden	8.8	10.6
Switzerland	5.8	5.5
Syrian Arab Republic	21	..
Tajikistan	..	..
Tanzania	10	7.2
Thailand	5	6.3
Timor-Leste	..	30.2
Togo	13.3	17.7
Tonga	29.1	..
Trinidad and Tobago	11.2	..
Tunisia	9.3	11.1
Turkey	4	7.2
Turkmenistan	..	..
Turks and Caicos Islands	25.8	..
Tuvalu	21.5	..
Uganda	12.4	12.5
Ukraine	9.2	8.6
United Arab Emirates	7	8.2
United Kingdom	9	10.2
United States	5	6.2
Uruguay	9.5	14.6
Uzbekistan	..	9.4
Vanuatu	23.2	..
Venezuela, RB	15.5	..
Vietnam	8.7	7.9
Virgin Islands (U.S.)	..	..
West Bank and Gaza	22.5	..
Yemen, Rep.	30.8	..
Zambia	4.7	7.2
Zimbabwe	17.9	8.1
World	7.5	8.1
East Asia & Pacific	5.8	6.8
Europe & Central Asia	8.8	9.1
Latin America & Caribbean	7.5	6.2
Middle East & North Africa	14.3	11.9
North America	5.4	6.6
South Asia	6.2	4.9
Sub-Saharan Africa	11.8	12
Low income	18.7	..
Lower middle income	9.6	8.7
Upper middle income	6.8	7.4
High income	7.5	7.9
