Country	Income (2010)	Income (2019)
Indonesia	-20698	-33773
Iran, Islamic Rep.	..	..
Iraq	1593	-1155
Ireland	-34295	-88949
Isle of Man	..	..
Israel	-4566	-831
Italy	-5109	16597
Jamaica	-495	-596
Japan	155086	192610
Jordan	-214	-199
Kazakhstan	-19376	-22290
Kenya	-148	-820
Kiribati	73	169
Korea, Dem. Peopleâ€™s Rep.	..	..
Korea, Rep.	-693	12199
Kosovo	90	167
Kuwait	8462	21910
Kyrgyz Republic	-332	-256
Lao PDR	-83	-571
Latvia	199	-457
Lebanon	-509	-314
Lesotho	660	527
Liberia	-1106	-109
Libya	-30	913
Liechtenstein	..	..
Lithuania	-239	-1579
Luxembourg	-11398	-21726
Madagascar	-149	-399
Malawi	-190	-165
Malaysia	-8021	-12765
Maldives	-311	-492
Mali	-419	-510
Malta	-458	-1399
Marshall Islands	36	56
Mauritania	-178	44
Mauritius	-10	1491
Mexico	-12417	-37175
Micronesia, Fed. Sts.	11	..
Moldova	506	576
Monaco	..	..
Mongolia	-598	-1569
Montenegro	-27	19
Morocco	-1242	-1913
Mozambique	-359	-296
Myanmar	-1722	-1616
Namibia	-277	-346
Nepal	93	213
Netherlands	3393	3059
New Caledonia	404	..
New Zealand	-6790	-5880
Nicaragua	-250	-310
Niger	-47	-193
Nigeria	-19440	-15070
North Macedonia	-131	-502
Northern Mariana Islands	..	..
Norway	4858	16793
Oman	-3832	-5278
Pakistan	-3187	-6202
Palau	5	-3
Panama	-2311	-4403
Papua New Guinea	-598	-616
Paraguay	-1305	-1360
Peru	-11225	-11814
Philippines	677	5336
Poland	-15591	-26044
Portugal	-7660	-5832
Puerto Rico	..	..
Qatar	-13271	-4410
Romania	-1905	-3412
Russian Federation	-47105	-53351
Rwanda	-51	-302
Samoa	-24	-36
San Marino	..	..
Sao Tome and Principe	0	-3
Saudi Arabia	7044	7971
Senegal	-150	-601
Serbia	-867	-2773
Seychelles	-12	-89
Sierra Leone	-49	-112
Singapore	-2591	-34338
Sint Maarten (Dutch part)	-18	-26
Slovak Republic	-2498	-2203
Slovenia	-699	-784
Solomon Islands	-44	-13
Somalia	..	..
South Africa	-7996	-9933
South Sudan	..	-329
Spain	-20541	2790
Sri Lanka	-617	-2399
St. Kitts and Nevis	-29	-56
St. Lucia	-40	-124
St. Martin (French part)	..	..
St. Vincent and the Grenadines	-12	-8
Sudan	-4167	-1812
Suriname	-104	-413
Sweden	13690	13362
Switzerland	34179	13887
Syrian Arab Republic	-1514	..
Tajikistan	1328	1331
Tanzania	-578	-870
Thailand	-14314	-19247
Timor-Leste	2435	1126
Togo	-23	19
Tonga	2	40
Trinidad and Tobago	-1080	-669
Tunisia	-1925	-963
Turkey	-6515	-12522
Turkmenistan	..	..
Turks and Caicos Islands	..	-32
Tuvalu	11	..
Uganda	-262	-731
Ukraine	-2009	4753
United Arab Emirates	..	..
United Kingdom	1764	-38573
United States	168218	256997
Uruguay	-1501	-3073
Uzbekistan	..	873
Vanuatu	-22	7
Venezuela, RB	-6208	..
Vietnam	-4564	-15818
Virgin Islands (U.S.)	..	..
West Bank and Gaza	599	2394
Yemen, Rep.	-1819	..
Zambia	-1363	-298
Zimbabwe	-71	-161
World	..	..
East Asia & Pacific	..	..
Europe & Central Asia	..	..
Latin America & Caribbean	..	..
Middle East & North Africa	..	..
North America	..	..
South Asia	..	..
Sub-Saharan Africa	..	..
Low income	..	..
Lower middle income	..	..
Upper middle income	..	..
High income	..	..
