Country	Expenditures $ (2012)	Expenditures $ (2018)	Expenditures % (2012)	Expenditures % (2018)
Turkey	4.585,00	4.993,00	1.8	2
Turkmenistan	..	..	..	..
Turks and Caicos Islands	..	4,00	..	0.8
Tuvalu	12	..	23.1	..
Uganda	642	334	8.3	3.9
Ukraine	5536	8287	5.5	11.8
United Arab Emirates	15.072,00	17.999,00	..	..
United Kingdom	61.323,00	68.888,00	7.3	7.5
United States	129.902,00	186.508,00	4.7	6
Uruguay	1.043,00	1.309,00	6.3	10
Uzbekistan	..	2722	..	11.6
Vanuatu	43	21	10.8	4.6
Venezuela, RB	4592	..	5.4	..
Vietnam	1.856,00	5.910,00	1.6	2.4
Virgin Islands (U.S.)	..	..	..	..
West Bank and Gaza	646	755	10.3	8.6
Yemen, Rep.	148	..	1.1	..
Zambia	303	478	3.3	4.7
Zimbabwe	387	..	4.6	..
World	1.160.710,00	1.575.316,00	5.2	6.4
East Asia & Pacific	304682	525418	4.7	7.2
Europe & Central Asia	485137	562371	5.7	5.9
Latin America & Caribbean	70187	80394	5.2	5.8
Middle East & North Africa	89148	117682	7.5	10.4
North America	165.261,00	220.429,00	4.9	5.9
South Asia	19014	34040	2.7	4.1
Sub-Saharan Africa	27.490,00	33.969,00	5.4	7.6
Low income	5100	..	3.1	3.8
Lower middle income	60477	96922	3.9	5.5
Upper middle income	287597	484705	5.6	8.6
High income	807.118,00	987.624,00	5.3	5.8
