Country	Factor (2018)	Factor (2019)
St. Martin (French part)	..	..
St. Vincent and the Grenadines	1.6	1.6
Sudan	5.6	6.5
Suriname	2.6	3
Eswatini	6.2	6.2
Sweden	8.8	8.7
Switzerland	1.2	1.1
Syrian Arab Republic	..	..
Tajikistan	2.3	2.4
Tanzania	906	931.7
Thailand	12.7	12.6
Timor-Leste	0.4	0.4
Togo	237.3	238.1
Tonga	1.5	1.5
Trinidad and Tobago	4.3	4.3
Tunisia	0.8	0.9
Turkey	1.6	1.8
Turkmenistan	1.6	1.6
Turks and Caicos Islands	1	1
Tuvalu	1.2	1.3
Uganda	1.1	1.8
Ukraine	6.7	7.1
United Arab Emirates	2.3	2.3
United Kingdom	0.7	0.7
United States	1	1
Uruguay	24	25.4
Uzbekistan	1784.4	1.2
Vanuatu	106.5	106.7
Venezuela, RB	..	..
Vietnam	7470.4	7473.7
Virgin Islands (U.S.)	..	..
West Bank and Gaza	0.6	0.6
Yemen, Rep.	..	..
Zambia	4.5	4.6
Zimbabwe	0.5	0.5
