Country	Fixed telephone	Mobile cellular
Lesotho	0.4	113.8
Liberia	0.2	56.6
Libya	2020.9	91.5
Liechtenstein	40.2	124.7
Lithuania	2020.2	163.9
Luxembourg	45.3	132.2
Macao SAR, China	19.5	345.3
North Macedonia	2020.4	94.5
Madagascar	0.3	40.6
Malawi	0.1	39
Malaysia	20.4	134.5
Maldives	3.6	166.4
Mali	1.2	115.1
Malta	58.2	140.2
Marshall Islands	..	27.6
Mauritania	1.4	103.7
Mauritius	34.3	151.4
Mexico	2020.2	95.2
Micronesia, Fed. Sts.	6.2	20.7
Moldova	2020.3	88
Monaco	112.1	84.5
Mongolia	2020.7	133.2
Montenegro	2020.5	180.7
Morocco	6.1	124.2
Mozambique	0.2	47.7
Myanmar	1	113.8
Namibia	2020.3	112.7
Nauru	..	94.6
Nepal	2.8	139.4
Netherlands	34.6	123.7
New Caledonia	..	..
New Zealand	37.1	134.9
Nicaragua	5	115.1
Niger	0.5	40.6
Nigeria	0.1	88.2
Northern Mariana Islands	..	..
Norway	10.5	107.2
Oman	2020.6	133.4
Pakistan	1.3	72.6
Palau	..	..
Panama	2020.4	137
Papua New Guinea	1.9	47.6
Paraguay	2020.4	107
Peru	2020.8	123.8
Philippines	3.9	126.2
Poland	2020.3	134.7
Portugal	49.5	115.6
Puerto Rico	23.1	109.6
Qatar	16.3	141.9
Romania	2020.8	116.2
Russian Federation	2020.7	157.4
Rwanda	0.1	78.9
Samoa	4.3	63.6
San Marino	53.5	112.9
Sao Tome and Principe	2.5	77.1
Saudi Arabia	16	122.6
Senegal	1.9	104.5
Serbia	2020.2	95.8
Seychelles	20.9	184.3
Sierra Leone	0.2	88.5
Singapore	34.8	148.8
Sint Maarten (Dutch part)	..	..
Slovak Republic	2020.3	132.8
Slovenia	33.4	118.7
Solomon Islands	1.1	73.8
Somalia	0.5	51
South Africa	2020.8	159.9
South Sudan	0	33.5
Spain	41.7	116
Sri Lanka	11.7	142.7
St. Kitts and Nevis	33.2	147.7
St. Lucia	20.1	101.7
St. Martin (French part)	..	..
St. Vincent and the Grenadines	17.4	96.1
Sudan	0.3	72
Suriname	2020.3	130.6
Sweden	24	126.8
Switzerland	38.7	126.8
Syrian Arab Republic	16.2	101.1
Tajikistan	2020.4	111.5
Tanzania	0.2	77.2
Thailand	2020.2	180.2
Timor-Leste	0.2	115.8
Togo	0.5	77.9
Tonga	14.2	104.6
Trinidad and Tobago	2020.1	141.9
Tunisia	2020.3	127.7
Turkey	2020.1	97.3
Turkmenistan	2020.8	162.9
Turks and Caicos Islands	..	..
Tuvalu	17.6	70.4
Uganda	0.4	57.3
Ukraine	2020.4	127.8
United Arab Emirates	24.3	208.5
United Kingdom	47.5	118.4
United States	33.6	129
Uruguay	33.4	149.9
Uzbekistan	2020.7	71.5
Vanuatu	1.4	85.9
Venezuela, RB	2020.2	71.8
Vietnam	2020.5	147.2
Virgin Islands (U.S.)	..	..
West Bank and Gaza	9.7	90
Yemen, Rep.	4.3	53.7
Zambia	0.6	89.2
Zimbabwe	1.9	89.4
Arab World	2020.5	99.4
Caribbean small states	17.3	112.3
Central Europe and the Baltics	2020.2	124.4
Early-demographic dividend	2020.3	96.7
East Asia & Pacific	2020.6	122.2
East Asia & Pacific (excluding high income)	2020.6	120.2
East Asia & Pacific (IDA & IBRD countries)	2020.6	120.2
Euro area	44.3	122.6
Europe & Central Asia	2020.4	123.8
Europe & Central Asia (excluding high income)	2020.9	126
Europe & Central Asia (IDA & IBRD countries)	18	126.2
European Union	38.5	122.7
Fragile and conflict affected situations	2.3	77.3
Heavily indebted poor countries (HIPC)	0.8	73.1
High income	38.2	127.7
IBRD only	2020.9	109.1
IDA & IBRD total	2020.9	102.7
IDA blend	1.5	81.3
IDA only	1.2	82.4
IDA total	1.3	82
Late-demographic dividend	2020.1	122.2
Latin America & Caribbean	2020.5	103.1
Latin America & Caribbean (excluding high income)	2020.3	101.4
Latin America & the Caribbean (IDA & IBRD countries)	2020.5	104.1
Least developed countries: UN classification	0.8	76.5
Low & middle income	2020.7	102.2
Low income	0.9	60.4
Lower middle income	2.6	94.3
Middle East & North Africa	16	105.9
Middle East & North Africa (excluding high income)	2020.3	99.9
Middle East & North Africa (IDA & IBRD countries)	2020.4	100
Middle income	2020.3	105.7
North America	34	125
Not classified	..	..
OECD members	34.8	121.5
Other small states	10.6	122
Pacific island small states	5	85.9
Post-demographic dividend	39.3	125.8
Pre-demographic dividend	0.7	74.5
Small states	11.5	118.8
South Asia	1.6	87.4
South Asia (IDA & IBRD)	1.6	87.4
Sub-Saharan Africa	0.9	82.4
Sub-Saharan Africa (excluding high income)	0.8	82.3
Sub-Saharan Africa (IDA & IBRD countries)	0.9	82.4
Upper middle income	14	117.1
World	2020.8	106.4
