Country	Male_2000	Male_2018	Female_2000	Female_2018
Puerto Rico	14	17	6	6.6
Qatar	0.7	0.2	0	0.1
Romania	42.4	24.9	48	23.2
Russian Federation	10.3	5.9	9.6	4.8
Rwanda	86.4	58.2	94.9	77.7
Samoa	32	33	31.1	24.4
San Marino	..	..	..	..
Sao Tome and Principe	47	44.5	59.1	56
Saudi Arabia	6	3.3	2.1	1.2
Senegal	75	59.8	86.2	72.5
Serbia	32.6	27.2	35.2	21.5
Seychelles	..	..	..	..
Sierra Leone	83.1	80.5	93.1	91.9
Singapore	11.5	11.9	7	6.6
Sint Maarten (Dutch part)	..	..	..	..
Slovak Republic	7.6	14.9	2.8	8.2
Slovenia	13.4	12.8	11.2	9.7
Solomon Islands	60.9	57.2	78.1	75
Somalia	86.4	85.2	94.8	94.1
South Africa	7.4	10.4	16.1	10.2
South Sudan	76.2	79.5	89.7	91.1
Spain	15.1	13.2	13.3	8.4
Sri Lanka	40.3	37	43.9	43.3
St. Kitts and Nevis	..	..	..	..
St. Lucia	31.4	32.4	25	26
St. Martin (French part)	..	..	..	..
St. Vincent and the Grenadines	22	21.8	17.4	17.2
Sudan	55.2	44.9	72.2	64.7
Suriname	18.9	13.5	10.7	10
Sweden	9.7	7.9	4.3	4.1
Switzerland	10.4	8.6	11.3	9.5
Syrian Arab Republic	40.6	35.4	51.8	15.2
Tajikistan	42.1	39.3	53.2	46.6
Tanzania	84.8	78	93.9	88.3
Thailand	55.1	47.6	59.3	50.2
Timor-Leste	74	58.6	80.5	79.3
Togo	81.7	74.1	93.8	88.1
Tonga	52.9	49.3	59.3	57.4
Trinidad and Tobago	18.3	21.9	16.8	13
Tunisia	25.7	21.9	27.3	14.4
Turkey	34.6	24.9	57.6	33.2
Turkmenistan	27.7	25.7	29.6	25.1
Turks and Caicos Islands	..	..	..	..
Tuvalu	..	..	..	..
Uganda	79.1	68.4	93.2	82.6
Ukraine	15.6	16.7	20.2	13
United Arab Emirates	1.7	0.7	0.5	2.3
United Kingdom	11.5	16	6.2	9.7
United States	4.7	4.3	3.8	3.4
Uruguay	25.4	26.5	20.1	21.9
Uzbekistan	44.5	40.5	53.8	44.9
Vanuatu	68.8	67.4	76.4	74.7
Venezuela, RB	35	35.3	40	35.3
Vietnam	77.6	48.8	84.4	60.9
Virgin Islands (U.S.)	8.4	9.1	5.4	5.9
West Bank and Gaza	27.1	23.4	44	22.1
Yemen, Rep.	36.9	43.8	58	67.3
Zambia	73	69.2	90.3	88.1
Zimbabwe	46	54.5	76.9	74.4
World	50.3	44.1	55.2	45.5
East Asia & Pacific	52.4	40.2	63.5	47
Europe & Central Asia	17.7	15.5	17.1	12.6
Latin America & Caribbean	35.1	33	36.5	33.3
Middle East & North Africa	28.6	23.6	37.5	26.8
North America	5.4	5.1	4.3	4
South Asia	77.2	68.8	87.7	75
Sub-Saharan Africa	70.9	67.4	85.3	81.1
Low income	77.6	72.8	90.7	87.6
Lower middle income	70.3	61.7	79.3	68.2
Upper middle income	47.7	37.4	57.6	42.4
High income	12.1	10.1	11.3	8
