Country	employment (2000-02)	employment (2014-16)
Vanuatu	66.4	57.4
Venezuela, RB	10	7.6
Vietnam	62	41.9
Virgin Islands (U.S.)	5.2	3.6
West Bank and Gaza	15.4	7.4
Yemen, Rep.	35.7	29.4
Zambia	71.6	50.7
Zimbabwe	61.9	67.1
World	39.4	28.4
East Asia & Pacific	45	27.2
Latin America & Caribbean	18.8	13.8
Middle East & North Africa	24.1	16.8
North America	1.6	1.4
South Asia	57.5	44.9
Sub-Saharan Africa	61.6	54
Low income	68.2	60.3
Lower middle income	54.2	42.3
Upper middle income	40.2	23.4
High income	5.1	3.3
Europe & Central Asia	13.4	8.8
