Country	exports (2010)	exports (2019)
Uganda	1.9	0.4
Ukraine	7.4	8.3
United Arab Emirates	1.8	6.5
United Kingdom	3.9	4
United States	4.1	2.8
Uruguay	0.3	0.4
Uzbekistan	..	10.7
Vanuatu	0.1	..
Venezuela, RB	2.1	..
Vietnam	1	0.9
Virgin Islands (U.S.)	..	..
West Bank and Gaza	9.8	..
Yemen, Rep.	0.2	..
Zambia	84.8	75.7
Zimbabwe	42.9	46.7
World	4.7	4
East Asia & Pacific	4.3	3.2
Europe & Central Asia	3.6	3.2
Latin America & Caribbean	13.5	10.6
Middle East & North Africa	1.6	3.4
North America	5.1	3.8
South Asia	5.9	3.3
Sub-Saharan Africa	13.4	12.2
Low income	8.5	..
Lower middle income	5.5	4.8
Upper middle income	4.8	4.4
High income	4.6	3.2
