Country	Total (1990)	Total (2014)
Uruguay	1.1	2.6
Uzbekistan	38.6	55.8
Vanuatu	..	..
Venezuela, RB	144.8	185.7
Vietnam	18.3	71.2
Virgin Islands (U.S.)	..	..
West Bank and Gaza	..	..
Yemen, Rep.	9.4	16.1
Zambia	4.9	9.1
Zimbabwe	8.5	11.5
World	8815.9	13776
East Asia & Pacific	1503.3	3892.8
Europe & Central Asia	2799.2	2798.1
Latin America & Caribbean	632.2	1058.6
Middle East & North Africa	1179.6	2091
North America	1929.8	2483
South Asia	338.2	660.6
Sub-Saharan Africa	464.4	861.1
Low income	177.6	269
Lower middle income	1039.1	1974
Upper middle income	3736.8	6278.5
High income	3900.9	5313.5
