Country	Survey year	Poorest quintile	Richest quintile
Korea, Rep.	..	..	..
Kosovo	..	3.1	1.8
Kuwait	..	..	..
Kyrgyz Republic	2018	4.5	2.7
Lao PDR	2017	4.1	2
Latvia	..	..	..
Lebanon	..	..	..
Lesotho	2018	4.2	1.8
Liberia	2013	6.2	2.8
Libya	..	..	..
Liechtenstein	..	..	..
Lithuania	..	..	..
Luxembourg	..	..	..
Madagascar	2009	5.5	3
Malawi	2016	5.1	2.8
Malaysia	..	..	..
Maldives	2017	2.5	1.7
Mali	2018	7.5	4.6
Malta	..	..	..
Marshall Islands	..	..	..
Mauritania	2015	7.3	3.7
Mauritius	..	..	..
Mexico	..	..	..
Micronesia, Fed. Sts.	..	..	..
Moldova	..	..	..
Monaco	..	..	..
Mongolia	2018	4	3.3
Montenegro	..	..	..
Morocco	..	..	..
Mozambique	2011	7.2	2.7
Myanmar	2016	3.5	1.6
Namibia	2013	5.5	2.3
Nepal	2016	3.2	1.6
Netherlands	..	..	..
New Caledonia	..	..	..
New Zealand	..	..	..
Nicaragua	..	..	..
Niger	2012	8.2	6.1
Nigeria	2018	6.7	3.8
North Macedonia	..	..	..
Northern Mariana Islands	..	..	..
Norway	..	..	..
Oman	..	..	..
Pakistan	2018	4.9	2.8
Palau	..	..	..
Panama	..	..	..
Papua New Guinea	2018	5	3.2
Paraguay	2016	4.1	1.6
Peru	2012	4	1.7
Philippines	2017	4.3	1.7
Poland	..	..	..
Portugal	..	..	..
Puerto Rico	..	..	..
Qatar	..	..	..
Romania	..	..	..
Russian Federation	..	..	..
Rwanda	2015	4.5	3.4
Samoa	..	..	..
San Marino	..	..	..
Sao Tome and Principe	2009	5.3	3.7
Saudi Arabia	..	..	..
Senegal	2017	6.7	3
Serbia	..	2.8	1.5
Seychelles	..	..	..
Sierra Leone	2017	5.6	2.5
Singapore	..	..	..
Sint Maarten (Dutch part)	..	..	..
Slovak Republic	..	..	..
Slovenia	..	..	..
Solomon Islands	..	..	..
Somalia	..	..	..
South Africa	2016	3.1	2.1
South Sudan	..	..	..
Spain	..	..	..
Sri Lanka	..	..	..
St. Kitts and Nevis	..	..	..
St. Lucia	..	..	..
St. Martin (French part)	..	..	..
St. Vincent and the Grenadines	..	..	..
Sudan	2014	..	..
Suriname	2018	4.5	1.6
Sweden	..	..	..
Switzerland	..	..	..
Syrian Arab Republic	..	..	..
Tajikistan	2017	4	3
Tanzania	2016	7.2	3.3
Thailand	..	1.5	1.1
Timor-Leste	2016	5.2	3.4
Togo	2014	6.1	3
Tonga	..	..	..
Trinidad and Tobago	..	..	..
Tunisia	..	7	3
Turkey	2013	3.3	1.7
Turkmenistan	2016	3.7	2.5
Turks and Caicos Islands	..	..	..
Tuvalu	..	..	..
Uganda	2016	7.1	3.8
Ukraine	..	2	1.3
United Arab Emirates	..	..	..
United Kingdom	..	..	..
United States	..	..	..
Uruguay	..	..	..
Uzbekistan	..	..	..
Vanuatu	..	..	..
Venezuela, RB	..	..	..
Vietnam	..	2.5	1.8
Virgin Islands (U.S.)	..	..	..
West Bank and Gaza	2014	5	3.3
Yemen, Rep.	2013	6.1	2.9
Zambia	2014	7.1	3
Zimbabwe	2015	5.6	2.4
