Country	Electricity (2000)	Electricity (2015)
St. Lucia	0	0
St. Martin (French part)	0	0
St. Vincent and the Grenadines	26.6	15.7
Sudan	46	64.5
Suriname	88.4	60.1
Sweden	57.2	63.3
Switzerland	57	62.2
Syrian Arab Republic	12.8	2.3
Tajikistan	98.4	98.5
Tanzania	86.4	34.2
Thailand	6.8	8.5
Timor-Leste	0	0
Togo	57.1	75.3
Tonga	0	5.9
Trinidad and Tobago	0.4	0
Tunisia	0.8	2.8
Turkey	24.9	32
Turkmenistan	0	0
Turks and Caicos Islands	0	0
Tuvalu	0	28.2
Uganda	99.6	93
Ukraine	6.6	4.4
United Arab Emirates	0	0.2
United Kingdom	2.7	24.8
United States	8.2	13.2
Uruguay	93.4	88.6
Uzbekistan	12.5	20.7
Vanuatu	0	21.3
Venezuela, RB	73.7	63.7
Vietnam	54.8	36.7
Virgin Islands (U.S.)	0	3.9
West Bank and Gaza	0	0
Yemen, Rep.	0	0
Zambia	99.4	97
Zimbabwe	45.7	52.7
World	18.3	22.9
East Asia & Pacific	12.8	20.4
Europe & Central Asia	19	28
Latin America & Caribbean	60.3	51.7
Middle East & North Africa	3.7	2.7
North America	15.1	19.9
South Asia	15.4	16.9
Sub-Saharan Africa	20.6	26.6
Low income	56.2	66.4
Lower middle income	19.3	19.1
Upper middle income	25.8	25
High income	14.8	21.3
