Country	Male	Female
Northern Mariana Islands	..	..
Norway	91.6	95.7
Oman	96.3	95.5
Pakistan	46.6	28.4
Palau	..	..
Panama	61.3	64.5
Papua New Guinea	28.4	11.9
Paraguay	57.5	56.1
Peru	49.9	39.8
Philippines	65.6	60.1
Poland	76.3	84
Portugal	79.3	87.6
Puerto Rico	76.5	92
Qatar	99.6	99.6
Romania	73.8	76.1
Russian Federation	92.2	94.2
Rwanda	41.7	22.3
Samoa	63.2	74.2
San Marino	..	..
Sao Tome and Principe	53.8	42.5
Saudi Arabia	94.6	98.6
Senegal	39.1	27.1
Serbia	68.3	76.1
Seychelles	..	..
Sierra Leone	17.2	5.2
Singapore	82.5	90.9
Sint Maarten (Dutch part)	..	..
Slovak Republic	81.1	90.1
Slovenia	82	88.1
Solomon Islands	41.2	24.6
Somalia	13.4	5.4
South Africa	82	87.5
South Sudan	14.8	8
Spain	80.6	88.2
Sri Lanka	59	55.6
St. Kitts and Nevis	..	..
St. Lucia	58.6	69.9
St. Martin (French part)	..	..
St. Vincent and the Grenadines	71.4	79
Sudan	48.1	33.5
Suriname	83.9	89.3
Sweden	86.7	94.4
Switzerland	83.4	87.4
Syrian Arab Republic	59.4	83.7
Tajikistan	59.2	52.7
Tanzania	18.2	10
Thailand	48.6	48.4
Timor-Leste	40.2	19.8
Togo	23.1	11.1
Tonga	49.5	41.7
Trinidad and Tobago	71	84.1
Tunisia	69.8	82.4
Turkey	69.2	65.5
Turkmenistan	72	73.9
Turks and Caicos Islands	..	..
Tuvalu	..	..
Uganda	27.8	14.8
Ukraine	82.2	86.3
United Arab Emirates	96	96.3
United Kingdom	81.2	89.1
United States	92.8	94.8
Uruguay	68.6	75.8
Uzbekistan	57.7	54.3
Vanuatu	30.9	24.2
Venezuela, RB	60.8	63.4
Vietnam	48.3	38
Virgin Islands (U.S.)	83.2	91.2
West Bank and Gaza	68.7	75.5
Yemen, Rep.	48.5	30.3
Zambia	30.5	11.7
Zimbabwe	44.8	25.3
World	52.5	53.1
East Asia & Pacific	57.1	51.9
Europe & Central Asia	80	85.5
Latin America & Caribbean	61.4	64
Middle East & North Africa	70.6	71.7
North America	91.6	94.1
South Asia	28.5	24.5
Sub-Saharan Africa	29.4	17.6
Low income	24.4	11.5
Lower middle income	35.1	30.7
Upper middle income	59.4	56.3
High income	85.5	89.9
