Country	Preprimary	Primary	Secondary	Tertiary
Sri Lanka	..	100.2	100.3	19.6
St. Kitts and Nevis	90.4	108.7	106.9	..
St. Lucia	73.9	102.6	89.4	14.1
St. Martin (French part)	..	..	..	..
St. Vincent and the Grenadines	76.1	113.4	107.2	..
Sudan	46.6	76.8	46.6	..
Suriname	86.2	108.8	82.3	..
Sweden	96.3	126.6	152.9	67
Switzerland	103.6	105.2	102.5	59.6
Syrian Arab Republic	..	..	..	40.1
Tajikistan	9.9	100.9	..	31.3
Tanzania	41.4	94.2	29.4	..
Thailand	79	99.8	117.7	49.3
Timor-Leste	22.8	115.3	83.6	..
Togo	22.8	123.8	61.8	14.5
Tonga	..	..	..	..
Trinidad and Tobago	..	..	..	..
Tunisia	44.6	115.4	92.9	31.7
Turkey	32.7	93.2	106	..
Turkmenistan	..	..	..	..
Turks and Caicos Islands	..	..	..	..
Tuvalu	83.3	86	66.7	..
Uganda	14.4	102.7	..	..
Ukraine	..	..	..	..
United Arab Emirates	78	108.4	104.9	..
United Kingdom	106.4	101.2	125.9	60
United States	72.9	101.8	99	88.2
Uruguay	93.4	108.5	120.2	63.1
Uzbekistan	27.9	104.2	93.3	10.1
Vanuatu	..	..	..	..
Venezuela, RB	69.5	97.2	88.1	..
Vietnam	100.2	110.6	..	28.5
Virgin Islands (U.S.)	..	..	..	..
West Bank and Gaza	56.5	98.6	89.5	44.3
Yemen, Rep.	1.6	93.6	51.6	..
Zambia	7.6	98.7	..	..
Zimbabwe	..	..	..	..
World	52	103.9	75.6	38
East Asia & Pacific	81.5	102.9	84.8	45.8
Europe & Central Asia	75.2	100.4	105.1	70.1
Latin America & Caribbean	78.1	109.3	95.9	51.8
Middle East & North Africa	31.2	104.4	81.4	41.9
North America	72.7	101.7	100.2	86.3
South Asia	25.3	110.6	69.3	24.2
Sub-Saharan Africa	33.8	97.8	43.4	9.4
Low income	23.9	102.7	41.2	8.9
Lower middle income	36.8	105.5	68.4	24.8
Upper middle income	77.7	102.9	91.5	53
High income	82.7	102.2	105.8	75.1
