Country	Survey year	Poorest quintile	Richest quintile
Romania	..	..	..
Russian Federation	..	..	..
Rwanda	2015	38	49
Samoa	..	..	..
San Marino	..	..	..
Sao Tome and Principe	2014	75	81
Saudi Arabia	..	..	..
Senegal	2017	58	56
Serbia	2010	..	..
Seychelles	..	..	..
Sierra Leone	2017	82	74
Singapore	..	..	..
Sint Maarten (Dutch part)	..	..	..
Slovak Republic	..	..	..
Slovenia	..	..	..
Solomon Islands	..	..	..
Somalia	..	..	..
South Africa	2016	84	79
South Sudan	2010	..	..
Spain	..	..	..
Sri Lanka	..	..	..
St. Kitts and Nevis	..	..	..
St. Lucia	..	..	..
St. Martin (French part)	..	..	..
St. Vincent and the Grenadines	..	..	..
Sudan	2014	88	95
Suriname	2018	63	70
Sweden	..	..	..
Switzerland	..	..	..
Syrian Arab Republic	..	..	..
Tajikistan	2017	67	79
Tanzania	2016	45	62
Thailand	2016	83	84
Timor-Leste	2016	75	78
Togo	2014	52	40
Tonga	..	..	..
Trinidad and Tobago	..	..	..
Tunisia	2018	44	87
Turkey	2008	..	..
Turkmenistan	2016	..	..
Turks and Caicos Islands	..	..	..
Tuvalu	..	..	..
Uganda	2016	54	60
Ukraine	..	..	..
United Arab Emirates	..	..	..
United Kingdom	..	..	..
United States	..	..	..
Uruguay	..	..	..
Uzbekistan	..	..	..
Vanuatu	..	..	..
Venezuela, RB	..	..	..
Vietnam	2014	63	72
Virgin Islands (U.S.)	..	..	..
West Bank and Gaza	2014	64	68
Yemen, Rep.	2013	59	56
Zambia	2014	70	76
Zimbabwe	2015	76	79
