Country	Reference Year	Bottom 40%	Total population
Italy	2017	0.5	1
Jamaica	..	..	..
Japan	..	..	..
Jordan	..	..	..
Kazakhstan	2017	0	-0.6
Kenya	..	..	..
Kiribati	..	..	..
Korea, Dem. Peopleâ€™s Rep.	..	..	..
Korea, Rep.	..	..	..
Kosovo	2017	2.4	1.9
Kuwait	..	..	..
Kyrgyz Republic	2018	3.2	2.4
Lao PDR	..	..	..
Latvia	2017	7.9	8.2
Lebanon	..	..	..
Lesotho	..	..	..
Liberia	..	..	..
Libya	..	..	..
Liechtenstein	..	..	..
Lithuania	2017	6.3	7.4
Luxembourg	2017	3	3.7
North Macedonia	2017	7.1	4.3
Madagascar	..	..	..
Malawi	2016	3.1	1.6
Malaysia	2016	8.3	6
Maldives	..	..	..
Mali	..	..	..
Malta	2017	3.8	3.7
Marshall Islands	..	..	..
Mauritania	..	..	..
Mauritius	2017	2.7	2
Mexico	..	..	..
Micronesia, Fed. Sts.	..	..	..
Moldova	2018	1.9	0.3
Monaco	..	..	..
Mongolia	2018	1	0.7
Montenegro	2015	4.7	1.4
Morocco	..	..	..
Mozambique	..	..	..
Myanmar	..	..	..
Namibia	2015	5.7	6.6
Nepal	..	..	..
Netherlands	2017	1.5	1.9
New Caledonia	..	..	..
New Zealand	..	..	..
Nicaragua	..	..	..
Niger	..	..	..
Nigeria	..	..	..
Northern Mariana Islands	..	..	..
Norway	2017	0.4	1
Oman	..	..	..
Pakistan	2015	2.7	4.3
Palau	..	..	..
Panama	2018	5.3	3.9
Papua New Guinea	..	..	..
Paraguay	2018	1.6	0.3
Peru	2018	2.5	1.5
Philippines	2015	5.1	2.6
Poland	2017	6	4
Portugal	2017	3.3	2
Puerto Rico	..	..	..
Qatar	..	..	..
Romania	2017	10	10
Russian Federation	2018	-0.4	-2.3
Rwanda	2016	0.3	-0.2
Samoa	..	..	..
San Marino	..	..	..
Sao Tome and Principe	..	..	..
Saudi Arabia	..	..	..
Senegal	..	..	..
Serbia	2017	3.9	1.5
Seychelles	..	..	..
Sierra Leone	2018	2.7	2.9
Singapore	..	..	..
Sint Maarten (Dutch part)	..	..	..
Slovak Republic	2016	-0.6	-1.1
Slovenia	2017	2.2	1.5
Solomon Islands	..	..	..
Somalia	..	..	..
South Africa	..	..	..
South Sudan	..	..	..
Spain	2017	1.8	1.1
Sri Lanka	2016	4.2	4.7
St. Kitts and Nevis	..	..	..
St. Lucia	..	..	..
St. Martin (French part)	..	..	..
St. Vincent and the Grenadines	..	..	..
Sudan	..	..	..
Suriname	..	..	..
Eswatini	2016	4.7	6.1
Sweden	2017	1.4	2
Switzerland	2017	-0.3	0.3
Syrian Arab Republic	..	..	..
Taiwan, China	..	..	..
Tajikistan	..	..	..
Tanzania	2018	-0.2	0.9
Thailand	2018	1.5	1.2
Timor-Leste	..	..	..
Togo	2015	2.6	0.6
Tonga	..	..	..
Trinidad and Tobago	..	..	..
Tunisia	2015	5.4	3.4
Turkey	2018	2.1	2.7
Turkmenistan	..	..	..
Turks and Caicos Islands	..	..	..
Tuvalu	..	..	..
Uganda	2016	-2.2	-1
Ukraine	2018	-0.6	0.1
United Arab Emirates	..	..	..
United Kingdom	2016	1.8	2.4
United States	2016	1.3	1.7
Uruguay	2018	2	1.4
Uzbekistan	..	..	..
Vanuatu	..	..	..
Venezuela, RB	..	..	..
Vietnam	2018	4.9	5
Virgin Islands (U.S.)	..	..	..
West Bank and Gaza	2016	-0.9	-0.6
Yemen, Rep.	..	..	..
Zambia	2015	-0.6	2.9
Zimbabwe	2017	-3.8	-3.5
