Country	Depositors with commercial banks	Borrowers from commercial banks	Commercial bank branches	Automated teller machines
Europe & Central Asia	..	..	23.4	62.34
Latin America & Caribbean	850	254	13.7	41.42
Middle East & North Africa	..	..	13.8	34.74
North America	..	..	25.5	220.6
South Asia	361	17	10.2	10.36
Sub-Saharan Africa	207	31	5	6.46
Low income	140	..	2.9	3.96
Lower middle income	580	71	8	18.72
Upper middle income	..	269	14.8	54.72
High income	..	..	20.3	66.46
