Country	Primary_1999	Primary_2018	Secondary_1999	Secondary_2018
Korea, Dem. Peopleâ€™s Rep.	..	..	..	..
Korea, Rep.	98.5	97.3	93.3	98
Kosovo	..	..	..	..
Kuwait	88.3	82.6	81.8	..
Kyrgyz Republic	87.1	89.9	..	84.4
Lao PDR	74.9	91.5	25.6	60
Latvia	96.8	96.3	..	93.8
Lebanon	..	..	..	..
Lesotho	54.3	93.3	16.2	41.4
Liberia	48.1	44.3	..	..
Libya	..	..	..	..
Liechtenstein	..	92.1	..	85.9
Lithuania	95.2	98.2	89.2	98.4
Luxembourg	96.2	95	84	83.6
Madagascar	64.6	95.6	..	29.8
Malawi	97.6	..	29.9	34.2
Malaysia	95.6	99.6	75.7	72.2
Maldives	95.6	95.4	29.4	..
Mali	44	58.9	..	29.9
Malta	98.3	99.5	80.1	93
Marshall Islands	..	73.2	..	55.9
Mauritania	59.5	79.6	13.5	31
Mauritius	92.8	94.8	66.4	84.3
Mexico	97.5	95.3	55	81.2
Micronesia, Fed. Sts.	..	..	..	..
Moldova	89.1	86.3	78.2	78
Monaco	..	..	..	..
Mongolia	88.1	97.7	58.2	..
Montenegro	..	96.5	..	89.1
Morocco	71.8	99.1	..	64.5
Mozambique	53.2	93.9	2.8	..
Myanmar	89.7	97.9	29.7	64.1
Namibia	86.3	97.5	38.6	..
Nepal	65.9	96.3	..	61.9
Netherlands	99.4	98.6	91	93.2
New Caledonia	..	..	..	..
New Zealand	99.8	99.1	91.6	96.9
Nicaragua	78.4	..	34.7	..
Niger	26	65.1	5.4	20.1
Nigeria	62.1	..	..	..
North Macedonia	91.3	94.9	..	..
Northern Mariana Islands	..	..	..	..
Norway	99.8	99.9	95.3	95.6
Oman	81.2	86.3	63.4	96.2
Pakistan	..	67.6	..	37.4
Palau	..	..	..	..
Panama	93.1	86.2	57.1	63.8
Papua New Guinea	..	73.7	..	32.4
Paraguay	95.5	..	45.7	..
Peru	96.1	95.7	59.7	89.3
Philippines	89	93.8	49.8	..
Poland	96.9	95.8	89.7	94.1
Portugal	97	97.6	80.6	94.7
Puerto Rico	..	76.3	..	75.9
Qatar	93.7	94.1	74.4	..
Romania	86.7	82.2	71.2	82.8
Russian Federation	..	95.1	..	90.7
Rwanda	85.7	94.8	..	35.9
Samoa	90.5	94.4	71.1	85.5
San Marino	85.1	..	44.8	66.5
Sao Tome and Principe	80.1	93.1	..	..
Saudi Arabia	..	94.5	..	96.4
Senegal	55.6	75.4	..	37.7
Serbia	..	94.6	..	92.1
Seychelles	84.7	92.2	66.6	80.1
Sierra Leone	..	98.1	..	41.8
Singapore	..	99.7	..	99.8
Sint Maarten (Dutch part)	..	..	..	..
Slovak Republic	88.1	83.1	..	84.8
Slovenia	94.5	98.3	90.1	95.7
Solomon Islands	..	67.5	23.6	..
Somalia	..	..	..	..
South Africa	87.1	87	59.6	71.9
South Sudan	..	..	..	..
Spain	99.9	97.3	87.2	96.9
Sri Lanka	99.7	99.1	..	91
St. Kitts and Nevis	..	93.8	96	98
St. Lucia	89.3	95.4	60.9	81.3
St. Martin (French part)	..	..	..	..
St. Vincent and the Grenadines	96.7	93.6	67.9	89.5
Sudan	..	60	..	..
Suriname	..	86	..	..
Sweden	99.8	99.2	96.1	99.1
Switzerland	95.7	93.2	84.6	85.3
Syrian Arab Republic	93.5	..	38.5	..
Tajikistan	94.8	98.3	62	..
Tanzania	49.9	81.3	..	26.5
Thailand	..	..	..	..
Timor-Leste	..	92.3	..	62.7
Togo	85.1	90.7	20.3	41
Tonga	90.5	..	74.5	..
Trinidad and Tobago	93.7	..	..	..
Tunisia	93.5	..	..	..
Turkey	95	87.9	57.9	87.2
Turkmenistan	..	..	..	..
Turks and Caicos Islands	..	..	..	..
Tuvalu	..	76.2	..	66.7
Uganda	..	..	..	..
Ukraine	..	..	93.6	..
United Arab Emirates	79.4	95	69.9	92.8
United Kingdom	99.9	99.5	94.7	97.1
United States	..	94.6	..	92.5
Uruguay	92.2	99.4	..	88.2
Uzbekistan	..	94.6	..	90.9
Vanuatu	97.2	..	29.7	..
Venezuela, RB	85.5	87.4	48.5	73.2
Vietnam	98.9	..	..	..
Virgin Islands (U.S.)	..	..	..	..
West Bank and Gaza	88.4	94.8	73.2	87.2
Yemen, Rep.	56.8	84.2	33.5	47.6
Zambia	66.6	83.2	..	..
Zimbabwe	86.9	..	42.4	..
World	82.7	89.4	54.1	66.3
East Asia & Pacific	94.2	..	63.2	78.9
Europe & Central Asia	95	94.9	83.5	89.9
Latin America & Caribbean	93.6	93.7	64.8	77.5
Middle East & North Africa	83	93.7	60.1	72.9
North America	95.5	95.2	87.3	93.1
South Asia	74	87.8	37.9	60.5
Sub-Saharan Africa	58	..	20	35.6
Low income	53.4	80.8	19.9	33.6
Lower middle income	77	86.9	40	59.9
Upper middle income	94.1	95.5	68.9	82.2
High income	94.9	96.2	83.5	90.8
