Country	Consumption per capita	Transmission and distribution losses
Rwanda	..	..
Samoa	..	..
San Marino	..	..
Sao Tome and Principe	..	..
Saudi Arabia	9401.4	6.8
Senegal	229.4	12.9
Serbia	4271.7	15.4
Seychelles	..	..
Sierra Leone	..	..
Singapore	8844.7	2
Sint Maarten (Dutch part)	..	..
Slovak Republic	5137.1	2.5
Slovenia	6728	4.8
Solomon Islands	..	..
Somalia	..	..
South Africa	4197.9	8.4
South Sudan	43.6	5.7
Spain	5356	9.6
Sri Lanka	531.1	11.4
St. Kitts and Nevis	..	..
St. Lucia	..	..
St. Martin (French part)	..	..
St. Vincent and the Grenadines	..	..
Sudan	190.2	14.3
Suriname	3596.8	8.7
Sweden	13480.1	4.8
Switzerland	7520.2	6.7
Syrian Arab Republic	974.3	15.9
Tajikistan	1499.5	17
Tanzania	103.7	17.7
Thailand	2538.8	6.1
Timor-Leste	..	..
Togo	154.7	71
Tonga	..	..
Trinidad and Tobago	7092.9	2.3
Tunisia	1454.6	14.8
Turkey	2847.1	14.8
Turkmenistan	2678.8	12.5
Turks and Caicos Islands	..	..
Tuvalu	..	..
Uganda	..	..
Ukraine	3418.6	10.8
United Arab Emirates	11088.4	6.8
United Kingdom	5130.4	8.4
United States	12997.4	5.9
Uruguay	3085.2	9.6
Uzbekistan	1645.4	8.8
Vanuatu	..	..
Venezuela, RB	2718.9	36
Vietnam	1423.7	9.3
Virgin Islands (U.S.)	..	..
West Bank and Gaza	..	..
Yemen, Rep.	219.8	25.8
Zambia	717.3	15
Zimbabwe	609.1	16.4
Arab World	2501.5	14.4
Caribbean small states	3063	9.4
Central Europe and the Baltics	4115.6	7.4
Early-demographic dividend	1151.5	15.3
East Asia & Pacific	3677.5	5.4
East Asia & Pacific (excluding high income)	3048.8	5.8
East Asia & Pacific (IDA & IBRD countries)	3079.8	5.8
Euro area	6352.8	6.1
Europe & Central Asia	5376.5	8
Europe & Central Asia (excluding high income)	4346.4	10.9
Europe & Central Asia (IDA & IBRD countries)	4230.8	10.6
European Union	6021.9	6.2
Fragile and conflict affected situations	464.9	35.1
Heavily indebted poor countries (HIPC)	209.4	18.3
High income	8928.9	5.9
IBRD only	2406.8	10
IDA & IBRD total	1963.6	10.3
IDA blend	380.8	14.9
IDA only	273.4	17.6
IDA total	315.9	16.4
Late-demographic dividend	3709.1	7.2
Latin America & Caribbean	2157.9	15.6
Latin America & Caribbean (excluding high income)	2088.4	16.2
Latin America & the Caribbean (IDA & IBRD countries)	2170.6	15.6
Least developed countries: UN classification	208.8	16
Low & middle income	1932.2	10.4
Low income	..	17.6
Lower middle income	749.1	16.4
Middle East & North Africa	2895.9	13.5
Middle East & North Africa (excluding high income)	1702.8	19.3
Middle East & North Africa (IDA & IBRD countries)	1702.8	19.3
Middle income	2044.6	10.3
North America	13257	6.3
Not classified	..	..
OECD members	7771.1	6.3
Other small states	..	6.2
Pacific island small states	..	..
Post-demographic dividend	8900.4	6
Pre-demographic dividend	252.9	27.8
Small states	..	6.6
South Asia	705.3	18.8
South Asia (IDA & IBRD)	705.3	18.8
Sub-Saharan Africa	485.7	11.7
Sub-Saharan Africa (excluding high income)	482.9	11.8
Sub-Saharan Africa (IDA & IBRD countries)	485.7	11.7
Upper middle income	3307.4	8.8
World	3132.8	8.3
