Country	% 1990	% 2014
Guyana	..	..
Haiti	46.2	42.4
Honduras	47.7	39.5
Hong Kong SAR, China	13.8	13.7
Hungary	12.8	27.2
Iceland	33.2	40.2
India	12.2	11.5
Indonesia	24	30.8
Iran, Islamic Rep.	22.9	24.9
Iraq	41.5	20.6
Ireland	16.3	32.1
Isle of Man	..	..
Israel	24.5	26.1
Italy	24.7	33
Jamaica	14.9	24.3
Japan	19.2	17.5
Jordan	29.4	29.2
Kazakhstan	6.1	6.1
Kenya	48.7	52.9
Kiribati	..	..
Korea, Dem. Peopleâ€™s Rep.	4	3.5
Korea, Rep.	18.9	16.3
Kosovo	..	13.9
Kuwait	10.2	15.3
Kyrgyz Republic	26.4	27.8
Lao PDR	..	..
Latvia	16.3	42.9
Lebanon	33.8	24.4
Lesotho	..	..
Liberia	..	..
Libya	24	39.3
Liechtenstein	..	..
Lithuania	17.1	46.2
Luxembourg	24.4	66.8
Macao SAR, China	..	..
North Macedonia	9	21.5
Madagascar	..	..
Malawi	..	..
Malaysia	29.3	29.7
Maldives	..	..
Mali	..	..
Malta	19.5	23.1
Marshall Islands	..	..
Mauritania	..	..
Mauritius	37.9	25.5
Mexico	32.5	35.1
Micronesia, Fed. Sts.	..	..
Moldova	7.9	24.7
Monaco	..	..
Mongolia	12	11.1
Montenegro	..	23.4
Morocco	19.8	28.8
Mozambique	56.5	56.8
Myanmar	34.3	36.6
Namibia	42.5	55.4
Nepal	38.2	44
Netherlands	18	19.9
New Caledonia	..	..
New Zealand	39.8	44.9
Nicaragua	40.2	41.6
Niger	..	59.2
Nigeria	41.9	35.4
Northern Mariana Islands	..	..
Norway	36.5	39.8
Oman	16.5	20.8
Pakistan	24.6	28.9
Palau	..	..
Panama	49.6	36.4
Papua New Guinea	..	..
Paraguay	83.9	93.1
Peru	37.3	40.3
Philippines	36.1	27.8
Poland	5.9	15.7
Portugal	25.6	36.7
Puerto Rico	..	..
Qatar	11.8	18.2
Romania	7	22.4
Russian Federation	13.8	16.2
Rwanda	..	..
Samoa	..	..
San Marino	..	..
Sao Tome and Principe	..	..
Saudi Arabia	32.7	25.9
Senegal	34.3	38.9
Serbia	7.2	15.5
Seychelles	..	..
Sierra Leone	..	..
Singapore	14.1	15.2
Sint Maarten (Dutch part)	..	..
Slovak Republic	7.5	20.7
Slovenia	19.4	41.5
Solomon Islands	..	..
Somalia	..	..
South Africa	12.1	12
South Sudan	..	65.1
Spain	31.2	35.3
Sri Lanka	67.8	47.7
St. Kitts and Nevis	..	..
St. Lucia	..	..
St. Martin (French part)	..	..
St. Vincent and the Grenadines	..	..
Sudan	74.9	59.2
Suriname	..	33.7
Sweden	38.1	53.3
Switzerland	35.6	44.8
Syrian Arab Republic	26.6	24
Taiwan, China	..	..
Tajikistan	6.6	33.5
Tanzania	41.9	57.6
Thailand	33.8	24.7
Timor-Leste	..	..
Togo	74.1	77.3
Tonga	..	..
Trinidad and Tobago	17.1	13.8
Tunisia	20.4	25.3
Turkey	21.9	19.8
Turkmenistan	22	17.6
Turks and Caicos Islands	..	..
Tuvalu	..	..
Uganda	..	..
Ukraine	8	11.4
United Arab Emirates	21.8	21
United Kingdom	21	28.5
United States	29.7	33.4
Uruguay	42.2	55.3
Uzbekistan	5	6.8
Vanuatu	..	..
Venezuela, RB	30.5	32.3
Vietnam	24	22.3
Virgin Islands (U.S.)	..	..
West Bank and Gaza	..	..
Yemen, Rep.	63.7	34.6
Zambia	30.1	35.1
Zimbabwe	12.9	22.3
World	20	20.4
East Asia & Pacific	12.9	12.3
Europe & Central Asia	15.8	22.4
Latin America & Caribbean	34.7	36.3
Middle East & North Africa	26.1	24.6
North America	29.7	33.2
South Asia	13.8	13
Sub-Saharan Africa	18.9	22.9
Low income	13.5	31
Lower middle income	13.6	17.1
Upper middle income	14.3	14.8
High income	24.4	28
