Country	Growth	ID
Oman	4.6	Q842
Pakistan	2.7	Q843
Palau	1.3	Q695
Panama	2.2	Q804
Papua New Guinea	2.5	Q691
Paraguay	1.8	Q733
Peru	2	Q419
Philippines	1.9	Q928
Poland	-0.1	Q36
Portugal	0.7	Q45
Puerto Rico	-4.1	Q1183
Qatar	2.1	Q846
Romania	-0.5	Q218
Russian Federation	0.2	Q159
Rwanda	3.1	Q1037
Samoa	-0.7	Q683
San Marino	0.5	Q238
Sao Tome and Principe	3	Q1039
Saudi Arabia	2.1	Q851
Senegal	3.7	Q1041
Serbia	-0.3	Q403
Seychelles	1.7	Q1042
Sierra Leone	3.1	Q1044
Singapore	0.5	Q334
Sint Maarten (Dutch part)	0.2	Q26273
Slovak Republic	0.1	Q214
Slovenia	0.9	Q215
Solomon Islands	4.6	Q685
Somalia	4.1	Q1045
South Africa	2.1	Q258
South Sudan	2	Q958
Spain	0.7	Q29
Sri Lanka	1.5	Q854
St. Kitts and Nevis	0.8	Q763
St. Lucia	0.9	Q760
St. Vincent and the Grenadines	1.1	Q757
Sudan	3.2	Q1049
Suriname	1	Q730
Sweden	1.5	Q34
Switzerland	0.8	Q39
Syrian Arab Republic	0.3	Q858
Tajikistan	3	Q863
Tanzania	5.1	Q924
Thailand	1.8	Q869
Timor-Leste	3.2	Q574
Togo	3.7	Q945
Tonga	1	Q678
Trinidad and Tobago	0.4	Q754
Tunisia	1.6	Q948
Turkey	2.2	Q43
Turkmenistan	2.5	Q874
Turks and Caicos Islands	1.8	Q18221
Tuvalu	2.6	Q672
Uganda	6.2	Q1036
Ukraine	-0.3	Q212
United Arab Emirates	1.8	Q878
United Kingdom	0.9	Q145
United States	0.8	Q30
Uruguay	0.5	Q77
Uzbekistan	1.6	Q265
Vanuatu	2.9	Q686
Venezuela, RB	-1.8	Q717
Vietnam	3	Q881
Virgin Islands (U.S.)	-0.1	Q11703
West Bank and Gaza	2.9	Q407199
Yemen, Rep.	4.1	Q805
Zambia	4.2	Q953
Zimbabwe	1.3	Q954
