Country	Population	ID
Iceland	0.4	Q189
India	1,366.4	Q668
Indonesia	270.6	Q252
Iran, Islamic Rep.	82.9	Q794
Iraq	39.3	Q796
Ireland	4.9	Q27
Isle of Man	0.1	Q9676
Israel	9.1	Q801
Italy	60.3	Q38
Jamaica	2.9	Q766
Japan	126.3	Q17
Jordan	10.1	Q810
Kazakhstan	18.5	Q232
Kenya	52.6	Q114
Kiribati	0.1	Q710
Korea, Dem. People’s Rep.	25.7	Q423
Korea, Rep.	51.7	Q884
Kosovo	1.8	Q1246
Kuwait	4.2	Q817
Kyrgyz Republic	6.5	Q813
Lao PDR	7.2	Q819
Latvia	1.9	Q211
Lebanon	6.9	Q822
Lesotho	2.1	Q1013
Liberia	4.9	Q1014
Libya	6.8	Q1016
Liechtenstein	0.0	Q347
Lithuania	2.8	Q37
Luxembourg	0.6	Q32
Madagascar	27.0	Q1019
Malawi	18.6	Q1020
Malaysia	31.9	Q833
Maldives	0.5	Q826
Mali	19.7	Q912
Malta	0.5	Q233
Marshall Islands	0.1	Q709
Mauritania	4.5	Q1025
Mauritius	1.3	Q1027
Mexico	127.6	Q96
Micronesia, Fed. Sts.	0.1	Q702
Moldova	2.7	Q217
Monaco	0.0	Q235
Mongolia	3.2	Q711
Montenegro	0.6	Q236
Morocco	36.5	Q1028
Mozambique	30.4	Q1029
Myanmar	54.0	Q836
Namibia	2.5	Q1030
Nauru	0.0	Q697
Nepal	28.6	Q837
Netherlands	17.3	Q55
New Caledonia	0.3	Q33788
New Zealand	4.9	Q664
Nicaragua	6.5	Q811
Niger	23.3	Q1032
Nigeria	201.0	Q1033
North Macedonia	2.1	Q221
Northern Mariana Islands	0.1	Q16644
Norway	5.3	Q20
Oman	5.0	Q842
Pakistan	216.6	Q843
Palau	0.0	Q695
Panama	4.2	Q804
Papua New Guinea	8.8	Q691
Paraguay	7.0	Q733
Peru	32.5	Q419
Philippines	108.1	Q928
Poland	38.0	Q36
Portugal	10.3	Q45
Puerto Rico	3.2	Q1183
Qatar	2.8	Q846
Romania	19.4	Q218
Russian Federation	144.4	Q159
Rwanda	12.6	Q1037
Samoa	0.2	Q683
San Marino	0.0	Q238
Sao Tome and Principe	0.2	Q1039
Saudi Arabia	34.3	Q851
Senegal	16.3	Q1041
Serbia	6.9	Q403
Seychelles	0.1	Q1042
Sierra Leone	7.8	Q1044
Singapore	5.7	Q334
Sint Maarten (Dutch part)	0.0	Q26273
Slovak Republic	5.5	Q214
Slovenia	2.1	Q215
Solomon Islands	0.7	Q685
Somalia	15.4	Q1045
South Africa	58.6	Q258
South Sudan	11.1	Q958
Spain	47.1	Q29
Sri Lanka	21.8	Q854
St. Kitts and Nevis	0.1	Q763
St. Lucia	0.2	Q760
St. Martin (French part)	0.0	Q126125
St. Vincent and the Grenadines	0.1	Q757
Sudan	42.8	Q1049
Suriname	0.6	Q730
Sweden	10.3	Q34
Switzerland	8.6	Q39
Syrian Arab Republic	17.1	Q858
Tajikistan	9.3	Q863
Tanzania	58.0	Q924
Thailand	69.6	Q869
Timor-Leste	1.3	Q574
Togo	8.1	Q945
Tonga	0.1	Q678
Trinidad and Tobago	1.4	Q754
Tunisia	11.7	Q948
Turkey	83.4	Q43
Turkmenistan	5.9	Q874
Turks and Caicos Islands	0.0	Q18221
Tuvalu	0.0	Q672
Uganda	44.3	Q1036
Ukraine	44.4	Q212
United Arab Emirates	9.8	Q878
United Kingdom	66.8	Q145
United States	328.2	Q30
Uruguay	3.5	Q77
Uzbekistan	33.6	Q265
Vanuatu	0.3	Q686
Venezuela, RB	28.5	Q717
Vietnam	96.5	Q881
Virgin Islands (U.S.)	0.1	Q11703
West Bank and Gaza	4.7	Q407199
Yemen, Rep.	29.2	Q805
Zambia	17.9	Q953
Zimbabwe	14.6	Q954
