Country	Survey Year	Total	Male	Female	Work only	Study and work	ID
Sierra Leone	2013	59.2	60.7	57.5	26.8	73.2	Q1044
Somalia	2006	43.5	45.5	41.5	53.5	46.5	Q1045
South Sudan	2008	45.6	45.6	45.7	76	24	Q958
Sri Lanka	2009	10.7	13	8.5	3.2	96.8	Q854
Sudan	2014	30.6	34.3	26.9	25.5	74.5	Q1049
Syrian Arab Republic	2006	6.6	8.8	4.3	34.6	65.4	Q858
Tajikistan	2005	8.9	8.7	9.1	9	91	Q863
Tanzania	2014	34.7	35.3	34.2	29.2	70.8	Q924
Thailand	2006	15.1	15.7	14.4	4.2	95.8	Q869
Timor-Leste	2007	19.9	22.2	17.7	36.6	63.4	Q574
Togo	2014	35.2	37.1	33.1	14.9	85.1	Q945
Trinidad and Tobago	2006	3.4	4.1	2.7	2.6	97.4	Q754
Tunisia	2012	3.4	3.9	2.7	15.4	84.6	Q948
Turkey	2006	2.6	3.3	1.8	38.8	61.2	Q43
Uganda	2012	36.7	37.1	36.3	6.6	93.4	Q1036
Ukraine	2012	5	5.1	5	1.3	98.7	Q212
Uruguay	2009	7.3	9.4	5	10.7	89.3	Q77
Uzbekistan	2006	5.1	5.3	4.9	1	99	Q265
Venezuela, RB	2013	3.9	5.4	2.4	31.1	68.9	Q717
Vietnam	2012	10.9	11.7	10.1	19	81	Q881
Yemen, Rep.	2010	16.1	17.1	15	36	64	Q805
Zambia	2008	34.4	35.4	33.3	18.6	81.4	Q953
