Country	Electricity (2000)	Electricity (2015)	ID
Iran, Islamic Rep.	3.0	5.1	Q794
Iraq	1.9	3.7	Q796
Ireland	5.0	28.0	Q27
Isle of Man	0.0	0.8	Q9676
Israel	0.1	1.9	Q801
Italy	18.8	38.7	Q38
Jamaica	4.8	10.3	Q766
Japan	9.1	16.0	Q17
Jordan	0.6	1.0	Q810
Kazakhstan	14.7	8.9	Q232
Kenya	47.0	87.5	Q114
Kiribati	0.0	7.3	Q710
Korea, Dem. Peopleâ€™s Rep.	52.6	72.8	Q423
Korea, Rep.	1.4	1.9	Q884
Kosovo	1.8	2.3	Q1246
Kuwait	0.0	0.0	Q817
Kyrgyz Republic	85.9	85.2	Q813
Lao PDR	90.9	86.4	Q819
Latvia	68.3	50.2	Q211
Lebanon	4.6	2.6	Q822
Lesotho	100.0	100.0	Q1013
Liberia	0.0	0.0	Q1014
Libya	0.0	0.0	Q1016
Liechtenstein	0.0	96.9	Q347
Lithuania	3.1	39.4	Q37
Luxembourg	41.0	32.4	Q32
North Macedonia	17.2	35.9	Q221
Madagascar	61.1	54.6	Q1019
Malawi	84.3	91.3	Q1020
Malaysia	10.1	10.0	Q833
Maldives	0.0	1.3	Q826
Mali	30.4	43.5	Q912
Malta	0.0	7.7	Q233
Marshall Islands	0.0	0.2	Q709
Mauritania	0.0	13.4	Q1025
Mauritius	29.6	22.7	Q1027
Mexico	19.8	15.4	Q96
Micronesia, Fed. Sts.	0.2	1.6	Q702
Moldova	6.7	5.4	Q217
Monaco	0.0	0.0	Q235
Mongolia	0.0	3.1	Q711
Montenegro	0.0	49.7	Q236
Morocco	6.1	14.3	Q1028
Mozambique	99.5	86.4	Q1029
Myanmar	37.0	58.9	Q836
Namibia	99.2	97.8	Q1030
Nepal	98.4	100.0	Q837
Netherlands	3.3	12.4	Q55
New Caledonia	27.3	14.1	Q33788
New Zealand	71.5	80.1	Q664
Nicaragua	21.4	50.1	Q811
Niger	0.0	0.8	Q1032
Nigeria	38.2	18.2	Q1033
Northern Mariana Islands	0.0	0.0	Q16644
Norway	99.7	97.7	Q20
Oman	0.0	0.0	Q842
Pakistan	25.2	31.4	Q843
Palau	0.0	0.0	Q695
Panama	70.4	65.3	Q804
Papua New Guinea	47.1	34.5	Q691
Paraguay	100.0	100.0	Q733
Peru	82.0	52.7	Q419
Philippines	42.9	25.4	Q928
Poland	1.6	13.8	Q36
Portugal	29.7	47.5	Q45
Puerto Rico	0.7	1.8	Q1183
Qatar	0.0	0.0	Q846
Romania	28.5	39.7	Q218
Russian Federation	18.7	15.9	Q159
Rwanda	96.5	56.9	Q1037
Samoa	49.6	30.4	Q683
San Marino	0.0	0.0	Q238
Sao Tome and Principe	26.1	10.5	Q1039
Saudi Arabia	0.0	0.0	Q851
Senegal	3.3	10.4	Q1041
Serbia	35.1	26.9	Q403
Seychelles	0.0	2.4	Q1042
Sierra Leone	16.6	61.0	Q1044
Singapore	0.8	1.8	Q334
Sint Maarten (Dutch part)	0.0	0.0	Q26273
Slovak Republic	15.0	22.7	Q214
Slovenia	28.7	29.4	Q215
Solomon Islands	0.0	2.3	Q685
Somalia	0.0	0.0	Q1045
South Africa	0.7	2.3	Q258
South Sudan	0.0	0.6	Q958
Spain	15.6	34.9	Q29
Sri Lanka	45.8	48.5	Q854
St. Kitts and Nevis	0.0	4.6	Q763
St. Lucia	0.0	0.0	Q760
St. Martin (French part)	0.0	0.0	Q126125
St. Vincent and the Grenadines	26.6	15.7	Q757
Sudan	46.0	64.5	Q1049
Suriname	88.4	60.1	Q730
Sweden	57.2	63.3	Q34
Switzerland	57.0	62.2	Q39
Syrian Arab Republic	12.8	2.3	Q858
Tajikistan	98.4	98.5	Q863
Tanzania	86.4	34.2	Q924
Thailand	6.8	8.5	Q869
Timor-Leste	0.0	0.0	Q574
Togo	57.1	75.3	Q945
Tonga	0.0	5.9	Q678
Trinidad and Tobago	0.4	0.0	Q754
Tunisia	0.8	2.8	Q948
Turkey	24.9	32.0	Q43
Turkmenistan	0.0	0.0	Q874
Turks and Caicos Islands	0.0	0.0	Q18221
Tuvalu	0.0	28.2	Q672
Uganda	99.6	93.0	Q1036
Ukraine	6.6	4.4	Q212
United Arab Emirates	0.0	0.2	Q878
United Kingdom	2.7	24.8	Q145
United States	8.2	13.2	Q30
Uruguay	93.4	88.6	Q77
Uzbekistan	12.5	20.7	Q265
Vanuatu	0.0	21.3	Q686
Venezuela, RB	73.7	63.7	Q717
Vietnam	54.8	36.7	Q881
Virgin Islands (U.S.)	0.0	3.9	Q11703
West Bank and Gaza	0.0	0.0	Q407199
Yemen, Rep.	0.0	0.0	Q805
Zambia	99.4	97.0	Q953
Zimbabwe	45.7	52.7	Q954
