Country	Both sexes	Male	Female	ID
Czechia	34.1	39.2	29.3	Q213
Democratic People's Republic of Korea	19.2	18.8	19.4	Q423
Democratic Republic of the Congo	21.8	23.1	20.5	Q974
Denmark	27.0	32.1	22.1	Q35
Djibouti	21.8	23.4	20.2	Q977
Dominica	23.4	26.0	20.9	Q784
Dominican Republic	20.1	22.4	17.9	Q786
Ecuador	16.7	18.5	15.1	Q736
Egypt	22.6	22.4	22.9	Q79
El Salvador	16.8	18.0	15.9	Q792
Equatorial Guinea	24.1	25.6	22.4	Q983
Eritrea	21.1	21.0	21.1	Q986
Estonia	34.3	38.3	31.0	Q191
Eswatini	22.0	20.9	23.0	Q1050
Ethiopia	23.6	22.9	24.2	Q115
Fiji	20.3	20.9	19.7	Q712
Finland	26.5	29.7	23.5	Q33
France	28.5	33.0	24.5	Q142
Gabon	21.5	23.7	19.3	Q1000
Gambia	21.5	23.1	20.0	Q1005
Georgia	31.5	31.9	31.1	Q230
Germany	27.7	30.7	24.8	Q183
Ghana	18.6	19.8	17.5	Q117
Greece	26.0	28.2	23.9	Q41
Grenada	22.2	24.1	20.3	Q769
Guatemala	17.0	18.0	16.1	Q774
Guinea	24.1	23.6	24.7	Q1006
Guinea-Bissau	24.0	24.2	23.9	Q1007
Guyana	19.5	20.8	18.2	Q734
Haiti	20.2	21.2	19.3	Q790
Honduras	17.3	18.7	15.9	Q783
Hungary	36.7	40.5	33.3	Q28
Iceland	23.2	29.4	16.9	Q189
India	23.5	24.2	22.7	Q668
Indonesia	22.0	22.5	21.4	Q252
Iran (Islamic Republic of)	17.1	18.1	16.1	Q794
Iraq	19.4	20.2	18.6	Q796
Ireland	22.8	25.4	20.2	Q27
Israel	18.7	21.8	15.7	Q801
Italy	29.7	31.8	27.8	Q38
Jamaica	21.9	24.1	19.8	Q766
Japan	26.7	29.9	23.7	Q17
Jordan	16.4	18.9	13.8	Q810
Kazakhstan	26.5	28.4	24.8	Q232
Kenya	19.9	20.5	19.3	Q114
Kiribati	20.7	23.0	18.3	Q710
Kuwait	17.7	20.2	13.4	Q817
Kyrgyzstan	22.7	23.2	22.3	Q813
Lao People's Democratic Republic	19.3	19.4	19.2	Q819
Latvia	36.4	40.4	33.2	Q211
Lebanon	19.7	22.9	16.5	Q822
Lesotho	21.5	19.1	23.9	Q1013
Liberia	22.3	22.7	21.9	Q1014
Libya	20.5	22.6	18.6	Q1016
Lithuania	34.5	38.5	31.2	Q37
Luxembourg	26.2	31.5	21.1	Q32
Madagascar	21.8	22.2	21.3	Q1019
Malawi	21.7	21.3	22.1	Q1020
Malaysia	20.6	23.2	18.1	Q833
Maldives	20.0	23.1	17.0	Q826
Mali	24.9	24.1	25.6	Q912
Malta	24.9	29.0	20.8	Q233
Marshall Islands	20.4	22.9	17.9	Q709
Mauritania	25.7	26.2	25.1	Q1025
Mauritius	27.0	27.6	26.5	Q1027
Mexico	18.5	20.6	16.6	Q96
Micronesia (Federated States of)	20.5	21.8	19.2	Q702
Mongolia	24.7	27.9	21.7	Q711
Montenegro	34.0	37.9	30.2	Q236
Morocco	23.8	23.8	23.8	Q1028
Mozambique	22.8	22.1	23.4	Q1029
Myanmar	22.5	22.6	22.4	Q836
Namibia	22.4	22.3	22.4	Q1030
Nauru	19.7	22.9	16.5	Q697
Nepal	26.1	27.3	25.0	Q837
Netherlands	25.0	28.4	21.7	Q55
New Zealand	20.1	22.5	17.9	Q664
Nicaragua	17.2	18.2	16.2	Q811
Niger	27.1	26.5	27.7	Q1032
Nigeria	18.2	17.8	18.6	Q1033
Niue	23.3	24.9	21.6	Q34020
Norway	24.9	28.9	21.0	Q20
Oman	16.2	16.7	15.0	Q842
Pakistan	25.4	26.9	23.8	Q843
Palau	22.0	24.7	19.3	Q695
Panama	19.3	21.5	17.1	Q804
Papua New Guinea	20.3	20.2	20.4	Q691
Paraguay	21.6	24.9	18.4	Q733
Peru	12.6	14.7	10.4	Q419
Philippines	19.0	20.4	17.7	Q928
Poland	34.2	38.2	30.6	Q36
Portugal	31.7	35.0	28.6	Q45
Qatar	15.4	16.4	11.5	Q846
Republic of Korea	13.2	15.4	11.2	Q884
Republic of Moldova	33.2	35.3	31.5	Q217
North Macedonia	32.4	35.6	29.2	Q221
Romania	35.4	38.4	32.6	Q218
Russian Federation	31.7	34.5	29.4	Q159
Rwanda	19.6	19.2	20.0	Q1037
Saint Kitts and Nevis	26.2	28.3	24.3	Q763
Saint Lucia	27.6	29.9	25.5	Q760
Saint Vincent and the Grenadines	23.0	25.3	20.6	Q757
Samoa	22.0	24.1	19.7	Q683
Sao Tome and Principe	19.6	20.9	18.4	Q1039
Saudi Arabia	19.1	21.0	16.2	Q851
Senegal	23.0	22.9	23.1	Q1041
Serbia	35.0	37.8	32.5	Q403
Seychelles	23.5	25.7	21.3	Q1042
Sierra Leone	23.3	23.4	23.3	Q1044
Singapore	16.7	19.7	13.7	Q334
Slovakia	33.0	37.1	29.2	Q214
Slovenia	38.2	41.8	34.8	Q215
Solomon Islands	17.1	16.5	17.7	Q685
Somalia	25.8	27.0	24.7	Q1045
South Africa	24.0	23.6	24.4	Q258
Spain	25.2	28.2	22.3	Q29
Sri Lanka	23.8	23.8	23.8	Q854
Sudan (former)	24.0	25.0	23.0	Q1049
Suriname	21.7	23.5	19.9	Q730
Sweden	25.9	29.5	22.3	Q34
Switzerland	23.5	26.9	20.2	Q39
Syrian Arab Republic	20.3	21.3	19.4	Q858
Tajikistan	20.7	21.4	20.0	Q863
Thailand	25.0	26.2	23.8	Q869
Timor-Leste	21.2	20.9	21.5	Q574
Togo	21.9	22.0	21.8	Q945
Tonga	21.5	22.5	20.6	Q678
Trinidad and Tobago	27.6	28.7	26.6	Q754
Tunisia	22.8	23.2	22.4	Q948
Turkey	19.9	19.2	20.4	Q43
Turkmenistan	21.6	22.6	20.6	Q874
Tuvalu	22.8	24.9	20.8	Q672
Uganda	19.5	20.0	19.0	Q1036
Ukraine	32.4	34.9	30.4	Q212
United Arab Emirates	13.0	14.6	8.7	Q878
United Kingdom of Great Britain and Northern Ireland	20.3	21.9	18.8	Q145
United Republic of Tanzania	20.9	21.0	20.9	Q924
United States of America	16.4	18.0	15.0	Q30
Uruguay	24.4	26.8	22.3	Q77
Uzbekistan	21.6	22.6	20.7	Q265
Vanuatu	20.0	20.6	19.5	Q686
Venezuela (Bolivarian Republic of)	17.4	20.1	14.8	Q717
Viet Nam	22.2	23.0	21.5	Q881
Yemen	22.5	22.7	22.4	Q805
Zambia	19.5	21.0	18.0	Q953
Zimbabwe	20.3	19.9	20.7	Q954
