Country	Overall mean 	Female mean 	Male mean 	ID
Luxembourg	26.5	25.5	27.6	Q32
Slovakia	26.5	25.7	27.4	Q214
Russia	26.5	26.8	26.1	Q159
Guatemala	26.5	27.1	25.8	Q774
Poland	26.4	25.7	27.0	Q36
Turkmenistan	26.4	26.4	26.4	Q874
Honduras	26.4	27.3	25.05	Q783
Guyana	26.3	27.6	25.0	Q734
Hungary	26.3	25.2	27.5	Q28
Germany	26.3	25.6	27.0	Q183
Israel	26.3	26.2	26.3	Q801
Peru	26.3	26.9	25.7	Q419
Iran	26.2	27.2	25.3	Q794
Portugal	26.2	25.7	26.7	Q45
Brunei	26.2	26.6	25.8	Q921
Cuba	26.2	26.7	25.6	Q241
Kyrgyzstan	26.2	26.8	25.6	Q813
Vanuatu	26.2	26.8	25.6	Q686
Algeria	26.2	27.0	25.5	Q262
Albania	26.1	25.6	26.6	Q222
Bosnia and Herzegovina	26.1	25.7	26.5	Q225
Uzbekistan	26.1	26.3	25.9	Q265
Mongolia	26.0	26.4	25.5	Q711
Norway	26.0	25.2	26.9	Q20
Italy	26.0	25.2	26.8	Q38
Bulgaria	26.0	25.3	26.07	Q219
Montenegro	26.0	25.5	26.5	Q236
Ukraine	26.0	25.8	26.4	Q212
Bolivia	25.9	27.3	24.6	Q750
Colombia	25.9	26.5	25.4	Q739
Brazil	25.9	26.0	25.9	Q155
Iceland	25.9	25.1	26.7	Q189
Finland	25.9	25.3	26.5	Q33
Yemen	25.8	26.5	25.2	Q805
Paraguay	25.8	26.0	25.6	Q733
Latvia	25.8	25.1	26.8	Q211
Sweden	25.8	24.9	26.7	Q34
Serbia	25.8	25.2	26.4	Q403
Macedonia	25.8	25.3	26.04	Q221
Mauritius	25.6	26.2	25.0	Q1027
Equatorial Guinea	25.6	26.1	25.0	Q983
Morocco	25.6	25.9	25.02	Q1028
Gabon	25.5	26.4	24.6	Q1000
Solomon Islands	25.5	26.4	24.5	Q685
Belgium	25.5	24.7	26.2	Q31
Estonia	25.5	24.3	27.0	Q191
Croatia	25.5	24.6	26.5	Q224
Tajikistan	25.4	25.3	25.5	Q863
Netherlands	25.4	25.0	25.9	Q55
Austria	25.4	24.4	26.5	Q40
Papua New Guinea	25.3	25.6	25.0	Q691
Malaysia	25.3	25.6	25.0	Q833
Romania	25.3	24.9	25.7	Q218
Denmark	25.3	24.5	26.0	Q35
France	25.3	24.6	26.1	Q142
Switzerland	25.3	23.8	26.7	Q39
South Sudan	25.2	26.7	23.7	Q958
Sudan	25.2	26.7	23.7	Q1049
Maldives	25.1	25.9	24.2	Q826
Lesotho	24.9	27.1	22.7	Q1013
Mauritania	24.8	26.4	23.2	Q1025
Sao Tome and Principe	24.8	25.6	23.9	Q1039
Botswana	24.7	26.6	22.9	Q963
Cabo Verde	24.7	25.4	23.9	Q1011
Cameroon	24.4	25.1	23.8	Q1009
Namibia	24.3	25.6	22.9	Q1030
Ghana	24.2	25.1	23.4	Q117
Comoros	24.1	25.1	23.0	Q970
Thailand	24.1	24.6	23.6	Q869
Angola	24.1	24.6	23.5	Q916
Haiti	24.1	24.0	24.2	Q790
Gambia	24.0	25.1	23.0	Q1005
Liberia	24.0	24.9	23.2	Q1014
China	23.9	23.6	24.2	Q148
South Korea	23.9	23.4	24.3	Q884
Pakistan	23.8	24.4	23.3	Q843
Bhutan	23.8	24.2	23.4	Q917
Singapore	23.7	23.2	24.3	Q334
Côte d'Ivoire	23.6	24.1	23.2	Q1008
Zimbabwe	23.4	25.0	21.8	Q954
Benin	23.4	24.3	22.6	Q962
Nigeria	23.4	24.0	22.8	Q1033
Republic of the Congo	23.3	24.1	22.5	Q971
Djibouti	23.3	23.9	22.7	Q977
Togo	23.2	24.0	22.4	Q945
Philippines	23.2	23.4	22.9	Q928
Guinea-Bissau	23.1	23.9	22.2	Q1007
Tanzania	23.1	24.0	22.2	Q924
Senegal	23.0	24.1	21.8	Q1041
Kenya	23.0	24.0	21.9	Q114
Sri Lanka	23.0	23.5	22.5	Q854
Indonesia	22.9	23.4	22.4	Q252
Sierra Leone	22.8	23.6	22.0	Q1044
Malawi	22.8	23.3	22.3	Q1020
Mali	22.8	23.0	22.6	Q912
Guinea	22.7	23.3	22.1	Q1006
Zambia	22.6	23.8	21.5	Q953
Myanmar	22.6	23.2	22.1	Q836
Laos	22.6	22.7	22.4	Q819
Japan	22.6	21.7	23.6	Q17
Central African Republic	22.4	23.2	21.6	Q929
Mozambique	22.3	23.0	21.6	Q1029
Chad	22.3	22.5	22.1	Q657
Democratic Republic of the Congo	22.2	22.5	21.8	Q974
Nepal	22.2	22.0	22.4	Q837
Burkina Faso	22.1	22.0	22.1	Q965
Uganda	22.0	23.0	21.0	Q1036
Rwanda	22.0	22.7	21.3	Q1037
Somalia	21.9	22.5	21.2	Q1045
India	21.9	22.1	21.8	Q668
Cambodia	21.9	22.0	21.9	Q424
North Korea	21.8	21.8	21.9	Q423
Niger	21.7	22.2	21.3	Q1032
Vietnam	21.6	21.6	21.5	Q881
Afghanistan	21.6	21.8	21.5	Q889
East Timor	21.2	21.0	21.5	Q574
Madagascar	21.1	21.2	20.9	Q1019
Bangladesh	21.0	21.2	20.7	Q902
Burundi	20.9	21.3	20.4	Q967
Ethiopia	20.6	21.0	20.2	Q115
Eritrea	20.5	21.0	20.1	Q986
