Country	Both sexes	Male	Female	ID
Ecuador	17.9	19.8	16.0	Q736
Egypt	25.0	24.8	25.0	Q79
El Salvador	18.7	20.4	17.2	Q792
Equatorial Guinea	28.4	29.2	27.7	Q983
Eritrea	29.1	28.2	29.5	Q986
Estonia	27.4	34.3	20.9	Q191
Eswatini	29.8	28.1	30.9	Q1050
Ethiopia	30.3	28.8	31.7	Q115
Fiji	21.7	22.4	20.7	Q712
Finland	19.4	24.0	14.7	Q33
France	22.0	27.7	16.4	Q142
Gabon	25.5	27.8	23.0	Q1000
Gambia	29.1	29.6	28.8	Q1005
Georgia	26.3	28.9	23.8	Q230
Germany	19.9	24.3	15.5	Q183
Ghana	23.7	24.6	22.8	Q117
Greece	19.1	22.8	15.4	Q41
Grenada	24.3	26.8	21.6	Q769
Guatemala	21.2	22.0	20.4	Q774
Guinea	30.3	29.0	31.4	Q1006
Guinea-Bissau	30.3	29.7	30.7	Q1007
Guyana	23.1	24.5	21.5	Q734
Haiti	24.5	25.2	23.7	Q790
Honduras	21.4	22.6	20.2	Q783
Hungary	30.0	36.1	24.0	Q28
Iceland	19.7	26.2	13.0	Q189
India	25.8	26.6	24.7	Q668
Indonesia	23.8	24.3	23.1	Q252
Iran (Islamic Republic of)	19.7	20.4	18.9	Q794
Iraq	25.2	25.6	24.4	Q796
Ireland	19.7	22.8	16.5	Q27
Israel	16.6	20.6	12.8	Q801
Italy	21.2	25.2	17.1	Q38
Jamaica	21.8	24.5	19.2	Q766
Japan	17.6	22.5	12.6	Q17
Jordan	21.0	23.1	18.8	Q810
Kazakhstan	27.1	30.4	23.9	Q232
Kenya	26.7	26.5	26.7	Q114
Kiribati	21.5	24.0	19.0	Q710
Kuwait	23.6	25.5	20.3	Q817
Kyrgyzstan	26.7	27.4	25.7	Q813
Lao People's Democratic Republic	24.8	24.5	24.9	Q819
Latvia	29.4	36.4	22.9	Q211
Lebanon	20.7	23.3	17.8	Q822
Lesotho	29.0	26.1	30.8	Q1013
Liberia	28.3	28.2	28.3	Q1014
Libya	23.7	25.2	22.2	Q1016
Lithuania	29.3	36.1	23.1	Q37
Luxembourg	21.9	27.8	15.9	Q32
Madagascar	28.1	27.8	28.2	Q1019
Malawi	28.9	27.8	29.6	Q1020
Malaysia	22.9	25.3	20.8	Q833
Maldives	24.4	26.9	21.9	Q826
Mali	32.6	31.2	33.6	Q912
Malta	19.4	24.3	14.3	Q233
Marshall Islands	21.3	23.8	18.6	Q709
Mauritania	31.7	31.8	31.4	Q1025
Mauritius	25.0	26.5	23.4	Q1027
Mexico	19.7	22.3	17.3	Q96
Micronesia (Federated States of)	25.0	26.6	23.2	Q702
Mongolia	29.0	32.3	25.6	Q711
Montenegro	29.1	34.4	23.8	Q236
Morocco	26.1	26.2	25.8	Q1028
Mozambique	29.1	28.1	29.7	Q1029
Myanmar	24.6	24.9	24.2	Q836
Namibia	28.5	28.2	28.4	Q1030
Nauru	20.5	23.8	17.2	Q697
Nepal	29.4	29.7	29.5	Q837
Netherlands	18.7	23.1	14.3	Q55
New Zealand	16.2	19.3	13.3	Q664
Nicaragua	20.8	21.6	19.9	Q811
Niger	33.4	31.3	35.8	Q1032
Nigeria	23.9	22.7	25.0	Q1033
Niue	24.2	26.1	22.1	Q34020
Norway	19.7	24.6	14.7	Q20
Oman	24.8	25.7	22.5	Q842
Pakistan	30.5	31.5	29.5	Q843
Palau	22.9	25.7	20.0	Q695
Panama	19.9	22.3	17.3	Q804
Papua New Guinea	25.6	25.1	25.8	Q691
Paraguay	24.6	27.8	21.3	Q733
Peru	13.7	16.1	11.2	Q419
Philippines	22.6	24.1	21.0	Q928
Poland	28.7	34.6	23.0	Q36
Portugal	24.4	29.3	19.6	Q45
Qatar	22.4	23.0	19.1	Q846
Republic of Korea	11.0	13.8	8.2	Q884
Republic of Moldova	29.8	33.6	26.2	Q217
North Macedonia	28.5	32.7	24.1	Q221
Romania	30.0	34.7	25.2	Q218
Russian Federation	27.2	32.6	22.3	Q159
Rwanda	26.7	25.2	27.9	Q1037
Saint Kitts and Nevis	25.3	27.9	22.7	Q763
Saint Lucia	27.1	29.9	24.4	Q760
Saint Vincent and the Grenadines	23.3	25.9	20.7	Q757
Samoa	24.0	26.6	21.0	Q683
Sao Tome and Principe	25.8	26.9	24.6	Q1039
Saudi Arabia	23.3	24.7	20.8	Q851
Senegal	30.2	29.7	30.4	Q1041
Serbia	29.5	33.8	25.2	Q403
Seychelles	23.5	26.4	20.2	Q1042
Sierra Leone	30.3	29.4	31.0	Q1044
Singapore	14.6	17.8	11.3	Q334
Slovakia	28.5	34.3	22.8	Q214
Slovenia	30.5	35.8	24.9	Q215
Solomon Islands	22.0	20.4	23.6	Q685
Somalia	32.9	33.5	32.2	Q1045
South Africa	26.9	27.4	26.1	Q258
Spain	19.2	23.5	14.7	Q29
Sri Lanka	22.4	23.0	21.6	Q854
Sudan (former)	30.2	30.6	29.6	Q1049
Suriname	22.4	24.6	19.9	Q730
Sweden	19.3	24.1	14.4	Q34
Switzerland	18.0	22.3	13.7	Q39
Syrian Arab Republic	24.5	25.1	23.8	Q858
Tajikistan	26.1	26.4	25.7	Q863
Thailand	22.3	24.2	20.3	Q869
Timor-Leste	27.6	26.9	28.1	Q574
Togo	28.9	28.3	29.2	Q945
Tonga	23.7	25.4	21.8	Q678
Trinidad and Tobago	25.8	27.6	23.9	Q754
Tunisia	23.2	23.8	22.5	Q948
Turkey	20.3	20.3	20.1	Q43
Turkmenistan	25.4	26.6	24.1	Q874
Tuvalu	23.7	26.1	21.2	Q672
Uganda	27.3	26.7	27.7	Q1036
Ukraine	27.1	32.3	22.3	Q212
United Arab Emirates	21.1	22.1	18.3	Q878
United Kingdom of Great Britain and Northern Ireland	15.2	17.9	12.4	Q145
United Republic of Tanzania	27.3	26.6	27.7	Q924
United States of America	12.9	15.3	10.5	Q30
Uruguay	20.7	24.7	16.8	Q77
Uzbekistan	25.6	26.5	24.4	Q265
Vanuatu	24.2	24.2	24.1	Q686
Venezuela (Bolivarian Republic of)	18.6	21.5	15.7	Q717
Viet Nam	23.4	25.0	21.6	Q881
Yemen	30.7	29.9	31.2	Q805
Zambia	27.1	27.6	26.5	Q953
Zimbabwe	28.2	26.9	29.2	Q954
