Country	Total	Women's share of population ages 15+ living with HIV	Youth, Male	Youth, Female	ID
Nicaragua	0.2	33	0.1	0.1	Q811
Niger	0.2	57	0.1	0.1	Q1032
Nigeria	1.3	59	0.3	0.6	Q1033
Oman	0.1	31	0.1	0.1	Q842
Pakistan	0.1	30	0.1	0.1	Q843
Papua New Guinea	0.9	57	0.2	0.3	Q691
Paraguay	0.5	31	0.2	0.1	Q733
Peru	0.3	24	0.1	0.1	Q419
Philippines	0.2	6	0.2	0.1	Q928
Romania	0.1	40	0.1	0.1	Q218
Rwanda	2.6	61	0.7	1.1	Q1037
Senegal	0.4	58	0.1	0.1	Q1041
Serbia	0.1	15	0.1	0.1	Q403
Sierra Leone	1.6	60	0.6	1.2	Q1044
Singapore	0.2	9	0.1	0.1	Q334
Somalia	0.1	54	0.1	0.1	Q1045
South Africa	19	65	3.4	10.2	Q258
South Sudan	2.5	59	0.7	1.3	Q958
Spain	0.4	18	0.1	0.1	Q29
Sri Lanka	0.1	29	0.1	0.1	Q854
Sudan	0.2	48	0.1	0.1	Q1049
Suriname	1.3	45	0.2	0.3	Q730
Syrian Arab Republic	0.1	31	0.1	0.1	Q858
Tajikistan	0.2	26	0.1	0.1	Q863
Tanzania	4.8	61	1.2	2.2	Q924
Thailand	1	44	0.3	0.2	Q869
Timor-Leste	0.2	45	0.1	0.1	Q574
Togo	2.2	63	0.5	1	Q945
Trinidad and Tobago	0.7	51	0.1	0.1	Q754
Tunisia	0.1	26	0.1	0.1	Q948
Uganda	5.8	61	1.2	2.8	Q1036
Ukraine	1	45	0.1	0.1	Q212
United States	0.4	22	0.1	0.1	Q30
Uzbekistan	0.2	37	0.1	0.1	Q265
Venezuela, RB	0.6	41	0.2	0.3	Q717
Vietnam	0.3	31	0.1	0.1	Q881
Yemen, Rep.	0.1	22	0.1	0.1	Q805
Zambia	11.5	60	2.6	5.5	Q953
Zimbabwe	12.8	60	3.3	5.9	Q954
