Country	Growth % (2017-18)	Growth % (2018-19)	ID
Guatemala	1.2	3.4	Q774
Guinea	10.3	7.5	Q1006
Guinea-Bissau	-0.4	-7.4	Q1007
Guyana	5.4	5.8	Q734
Haiti	12.8	14.2	Q790
Honduras	1.9	4.3	Q783
Hungary	4.5	4.5	Q28
Iceland	2.6	4.4	Q189
India	4.6	2.3	Q668
Indonesia	3.8	1.6	Q252
Iraq	15.4	0	Q796
Ireland	0.8	1.5	Q27
Israel	1.2	2.2	Q801
Italy	0.9	0.9	Q38
Jamaica	4.8	7.6	Q766
Japan	-0.1	0.6	Q17
Jordan	1.8	1.6	Q810
Kazakhstan	9.2	6.7	Q232
Kenya	2.4	4	Q114
Kiribati	5.3	4	Q710
Korea, Rep.	0.5	-0.9	Q884
Kosovo	1	1	Q1246
Kuwait	14.6	-4.1	Q817
Kyrgyz Republic	3.4	-0.8	Q813
Lao PDR	1.9	2.4	Q819
Latvia	4	2.6	Q211
Lebanon	5.5	2.9	Q822
Lesotho	6.9	2.7	Q1013
Liberia	-1.9	-3.7	Q1014
Libya	18.1	-1.1	Q1016
Lithuania	3.3	3	Q37
Luxembourg	2.5	3.4	Q32
North Macedonia	3.6	2.4	Q221
Madagascar	7.6	5.3	Q1019
Malawi	6.7	8.2	Q1020
Malaysia	0.7	0.1	Q833
Maldives	5.3	2.2	Q826
Mali	2.1	2.4	Q912
Malta	2.1	2.3	Q233
Mauritania	1.8	4.6	Q1025
Mauritius	1.4	0.9	Q1027
Mexico	5	3.3	Q96
Moldova	3.2	5.5	Q217
Mongolia	8.4	8.3	Q711
Montenegro	3.2	1.6	Q236
Morocco	1.1	0.8	Q1028
Mozambique	2.1	3	Q1029
Myanmar	6.3	7.6	Q836
Namibia	4.3	1.5	Q1030
Nepal	6.7	6.2	Q837
Netherlands	2.2	3	Q55
New Zealand	0.2	2.3	Q664
Nicaragua	3.6	4.7	Q811
Niger	2.6	0.5	Q1032
Nigeria	10.2	10.4	Q1033
Norway	5.8	-0.6	Q20
Oman	10.3	-3.4	Q842
Pakistan	2.5	8.6	Q843
Panama	0.9	-0.4	Q804
Papua New Guinea	7.1	3.9	Q691
Paraguay	2.2	2.9	Q733
Peru	2	1.6	Q419
Philippines	3.7	0.8	Q928
Poland	1.2	2.9	Q36
Portugal	1.6	1.7	Q45
Puerto Rico	2.4	2.7	Q1183
Qatar	13	-4	Q846
Romania	6.3	6.9	Q218
Russian Federation	11.1	3.8	Q159
Rwanda	-0.7	0.4	Q1037
Samoa	2	2.2	Q683
Sao Tome and Principe	4.7	4.6	Q1039
Saudi Arabia	11.5	0.5	Q851
Senegal	-0.5	1.7	Q1041
Serbia	2.1	2.5	Q403
Seychelles	2.2	3.2	Q1042
Sierra Leone	13.4	3.9	Q1044
Singapore	3.1	0.1	Q334
Slovak Republic	2	2.6	Q214
Slovenia	2.2	2.4	Q215
Solomon Islands	3.5	2.2	Q685
South Africa	3.9	4	Q258
Spain	1.1	1.6	Q29
Sri Lanka	4.3	2.2	Q854
St. Kitts and Nevis	-1.5	1.4	Q763
St. Lucia	0.7	1	Q760
St. Vincent and the Grenadines	0.2	1.4	Q757
Sudan	23.9	17.8	Q1049
Suriname	4.6	16.1	Q730
Eswatini	2.8	1.8	Q1050
Sweden	2.4	2.8	Q34
Switzerland	0.2	0.4	Q39
Tajikistan	4.8	5	Q863
Tanzania	4.8	4.6	Q924
Thailand	1.5	0.7	Q869
Timor-Leste	-1.8	3.2	Q574
Togo	1.3	2.1	Q945
Trinidad and Tobago	6.1	1	Q754
Tunisia	6.5	7	Q948
Turkey	16.4	13.9	Q43
Tuvalu	4.9	8.7	Q672
Uganda	4.1	0.6	Q1036
Ukraine	15.4	8.1	Q212
United Arab Emirates	8.2	-1.9	Q878
United Kingdom	2.1	1.9	Q145
United States	2.4	1.7	Q30
Uruguay	5.6	7.7	Q77
Uzbekistan	27.5	19.2	Q265
Vanuatu	2.3	2	Q686
Vietnam	3.4	1.8	Q881
Zambia	10.2	3.5	Q953
Zimbabwe	5.2	-4	Q954
