Country	Annual (%)	ID
Namibia	-0.2	Q1030
Nepal	1.2	Q837
Netherlands	-4.2	Q55
New Caledonia	-0.1	Q33788
New Zealand	0.4	Q664
Nicaragua	0.7	Q811
Niger	3.7	Q1032
Nigeria	0.9	Q1033
Northern Mariana Islands	-0.5	Q16644
Norway	-1.4	Q20
Oman	-2.7	Q842
Pakistan	1.7	Q843
Palau	-2.2	Q695
Panama	0.6	Q804
Papua New Guinea	1.9	Q691
Paraguay	0.5	Q733
Peru	0.9	Q419
Philippines	1	Q928
Poland	0.1	Q36
Portugal	-1.8	Q45
Puerto Rico	-3.9	Q1183
Qatar	-4.3	Q846
Romania	-0.7	Q218
Russian Federation	-0.6	Q159
Rwanda	2.5	Q1037
Samoa	0.7	Q683
San Marino	-5.1	Q238
Sao Tome and Principe	-1.1	Q1039
Saudi Arabia	0.4	Q851
Senegal	1.9	Q1041
Serbia	-0.9	Q403
Seychelles	0	Q1042
Sierra Leone	1.4	Q1044
Slovak Republic	0.2	Q214
Slovenia	-0.2	Q215
Solomon Islands	2	Q685
Somalia	1.8	Q1045
South Africa	-0.1	Q258
South Sudan	0.3	Q958
Spain	-0.8	Q29
Sri Lanka	0.9	Q854
St. Kitts and Nevis	0.8	Q763
St. Lucia	0.4	Q760
St. Vincent and the Grenadines	-0.5	Q757
Sudan	2	Q1049
Suriname	0.9	Q730
Sweden	-1.1	Q34
Switzerland	0.6	Q39
Syrian Arab Republic	-2.4	Q858
Tajikistan	2.2	Q863
Tanzania	1.9	Q924
Thailand	-1.2	Q869
Timor-Leste	1.4	Q574
Togo	1.5	Q945
Tonga	1.2	Q678
Trinidad and Tobago	0.5	Q754
Tunisia	0.2	Q948
Turkey	-0.5	Q43
Turkmenistan	0.7	Q874
Turks and Caicos Islands	-2.5	Q18221
Tuvalu	-1	Q672
Uganda	3	Q1036
Ukraine	-0.8	Q212
United Arab Emirates	-0.5	Q878
United Kingdom	-0.9	Q145
United States	-0.6	Q30
Uruguay	-1.6	Q77
Uzbekistan	1.9	Q265
Vanuatu	2.3	Q686
Venezuela, RB	-2	Q717
Vietnam	-0.1	Q881
Virgin Islands (U.S.)	-3	Q11703
West Bank and Gaza	1.4	Q407199
Yemen, Rep.	1.4	Q805
Zambia	2	Q953
Zimbabwe	1.5	Q954
